"OMIM_ID"	"UMLS_CUI"	"UMLS_NAME"
"613743"	"C3151055"	"ADRENAL INSUFFICIENCY, CONGENITAL, WITH 46,XY SEX REVERSAL, PARTIAL OR COMPLETE"
"612964"	"C2751825"	"PREMATURE OVARIAN FAILURE 7 (disorder)"
"612964"	"C4479664"	"ADRENAL INSUFFICIENCY, NR5A1-RELATED"
"188830"	"C0406810"	"Carney Complex"
"188830"	"C1418907"	"PRKAR1A gene"
"188830"	"C1861077"	"PRKAR1A/RET Fusion Gene"
"188830"	"C1864846"	"PIGMENTED NODULAR ADRENOCORTICAL DISEASE, PRIMARY, 1 (disorder)"
"188830"	"C2607929"	"Carney Complex, Type 1"
"188830"	"C2931787"	"Intracardiac myxoma"
"188830"	"C3888191"	"PRKAR1A/RARA FUSION GENE"
"188830"	"C4016392"	"ADRENOCORTICAL TUMOR, SOMATIC"
"188830"	"C4016393"	"ACRODYSOSTOSIS 1 WITH HORMONE RESISTANCE"
"188830"	"C4016394"	"ACRODYSOSTOSIS 1 WITHOUT HORMONE RESISTANCE"
"201400"	"C0271583"	"ACTH Deficiency, Isolated"
"201400"	"C0342388"	"Adrenocorticotropic hormone (ACTH) deficiency (disorder)"
"300100"	"C0162309"	"Adrenoleukodystrophy"
"300100"	"C1527231"	"Adrenomyeloneuropathy"
"300100"	"C0162309"	"Adrenoleukodystrophy"
"300100"	"C1527231"	"Adrenomyeloneuropathy"
"110800"	"C0020717"	"I Blood-Group System"
"110800"	"C1292164"	"i>adult< phenotype"
"604348"	"C3807327"	"ADVANCED SLEEP PHASE SYNDROME, FAMILIAL, 1"
"615224"	"C3808874"	"ADVANCED SLEEP PHASE SYNDROME, FAMILIAL, 2"
"202400"	"C2584774"	"Congenital hypofibrinogenemia"
"202400"	"C2584774"	"Congenital hypofibrinogenemia"
"202400"	"C2584774"	"Congenital hypofibrinogenemia"
"601495"	"C3152144"	"AGAMMAGLOBULINEMIA 1, AUTOSOMAL RECESSIVE"
"613500"	"C3150750"	"AGAMMAGLOBULINEMIA 2, AUTOSOMAL RECESSIVE"
"613501"	"C3150751"	"AGAMMAGLOBULINEMIA 3, AUTOSOMAL RECESSIVE"
"612692"	"C3150207"	"AGAMMAGLOBULINEMIA 6, AUTOSOMAL RECESSIVE"
"616941"	"C4310786"	"AGAMMAGLOBULINEMIA 8, AUTOSOMAL DOMINANT"
"300755"	"C0221026"	"X-linked agammaglobulinemia"
"300755"	"C0241932"	"X-linked hypogammaglobulinemia"
"218000"	"C0795950"	"Corpus callosum agenesis neuronopathy"
"202650"	"C0265242"	"Otocephaly"
"202650"	"C1876185"	"Dysgnathia complex"
"304050"	"C0175713"	"Aicardi's syndrome"
"225750"	"C0393591"	"AICARDI-GOUTIERES SYNDROME"
"225750"	"C0796126"	"AICARDI-GOUTIERES SYNDROME 1"
"225750"	"C3150315"	"AICARDI-GOUTIERES SYNDROME 1, AUTOSOMAL DOMINANT"
"610181"	"C3489724"	"Aicardi-Goutieres Syndrome 2"
"610329"	"C1835916"	"AICARDI-GOUTIERES SYNDROME 3"
"610333"	"C1835912"	"AICARDI-GOUTIERES SYNDROME 4"
"612952"	"C2749659"	"AICARDI-GOUTIERES SYNDROME 5 (disorder)"
"615010"	"C3539013"	"AICARDI-GOUTIERES SYNDROME 6"
"615846"	"C3888244"	"AICARDI-GOUTIERES SYNDROME 7"
"617694"	"C4540156"	"AL KAISSI SYNDROME"
"616459"	"C4085595"	"AL-RAQAD SYNDROME"
"615510"	"C3809738"	"ALACRIMA, ACHALASIA, AND MENTAL RETARDATION SYNDROME"
"118450"	"C0085280"	"Alagille Syndrome"
"118450"	"C1956125"	"Alagille Syndrome 1"
"610205"	"C1857761"	"Alagille Syndrome 2"
"300600"	"C0268505"	"Ocular albinism, type II"
"615071"	"C3554439"	"Microcephalic primordial dwarfism Alazami type"
"617126"	"C4310702"	"ALAZAMI-YUAN SYNDROME"
"203200"	"C0268495"	"Oculocutaneous albinism type 2"
"203200"	"C0268497"	"Brown oculocutaneous albinism"
"203100"	"C0268494"	"Oculocutaneous albinism type 1"
"203100"	"C4551504"	"Oculocutaneous albinism type 1A"
"606952"	"C1847024"	"ALBINISM, OCULOCUTANEOUS, TYPE IB (disorder)"
"606952"	"C1847132"	"ALBINISM, OCULOCUTANEOUS, TYPE I, TEMPERATURE-SENSITIVE"
"203200"	"C0268495"	"Oculocutaneous albinism type 2"
"203200"	"C0268497"	"Brown oculocutaneous albinism"
"203290"	"C0342683"	"ALBINISM, OCULOCUTANEOUS, TYPE III"
"606574"	"C1847836"	"Oculocutaneous Albinism, Type IV"
"615312"	"C3888401"	"ALBINISM, OCULOCUTANEOUS, TYPE V"
"113750"	"C2676042"	"Skin-Hair-Eye Pigmentation, Variation In, 4"
"113750"	"C3805375"	"ALBINISM, OCULOCUTANEOUS, TYPE VI"
"615179"	"C3808786"	"ALBINISM, OCULOCUTANEOUS, TYPE VII"
"300700"	"C1845068"	"ALBINISM-DEAFNESS SYNDROME"
"610251"	"C2608086"	"HANGOVER, SUSCEPTIBILITY TO (finding)"
"610251"	"C2674838"	"ALCOHOL SENSITIVITY, ACUTE"
"124080"	"C0268293"	"Corticosterone Methyl Oxidase Type I Deficiency"
"124080"	"C1413857"	"CYP11B2 gene"
"124080"	"C1852324"	"ALDOSTERONE TO RENIN RATIO, INCREASED"
"124080"	"C3463917"	"Corticosterone Methyl Oxidase Type II Deficiency"
"103900"	"C1260386"	"Glucocorticoid-remediable aldosteronism"
"203450"	"C0270726"	"Alexander Disease"
"203500"	"C0002066"	"Alkaptonuria"
"617822"	"C4693347"	"ALKURAYA-KUCINSKAS SYNDROME"
"300523"	"C0795889"	"Allan-Herndon-Dudley syndrome (AHDS)"
"104000"	"C0263505"	"Alopecia universalis"
"104000"	"C1863094"	"ALOPECIA AREATA 1"
"610753"	"C1853104"	"ALOPECIA AREATA 2"
"203655"	"C1859877"	"Alopecia universalis congenita"
"109200"	"C0162311"	"Androgenetic Alopecia"
"109200"	"C4049090"	"Alopecia, Androgenetic, 1"
"109200"	"C4083212"	"Alopecia, Male Pattern"
"300710"	"C2678038"	"Alopecia, Androgenetic, 2"
"612421"	"C2676272"	"Alopecia, Androgenetic, 3"
"203650"	"C1859878"	"Alopecia-Mental Retardation Syndrome 1"
"203650"	"C4551986"	"AMR Syndrome"
"610422"	"C1835852"	"Alopecia-Mental Retardation Syndrome 2"
"613930"	"C3151362"	"ALOPECIA-MENTAL RETARDATION SYNDROME 3"
"107280"	"C1412050"	"SERPINA3 gene"
"107280"	"C4015791"	"ANTICHYMOTRYPSIN ISEHARA 1 PHENOTYPE"
"107280"	"C4015792"	"ANTICHYMOTRYPSIN ISEHARA 2 PHENOTYPE"
"107280"	"C4015793"	"ANTICHYMOTRYPSIN BOCHUM 1 PHENOTYPE"
"107280"	"C4015794"	"ANTICHYMOTRYPSIN BONN 1 PHENOTYPE"
"107280"	"C4015795"	"ANTICHYMOTRYPSIN SIGNAL PEPTIDE POLYMORPHISM"
"614036"	"C3279661"	"alpha-2-Macroglobulin Deficiency"
"262850"	"C2752081"	"ALPHA-2-PLASMIN INHIBITOR DEFICIENCY"
"615969"	"C1863081"	"alpha-Fetoprotein Deficiency"
"203740"	"C2752074"	"ALPHA-KETOGLUTARATE DEHYDROGENASE DEFICIENCY"
"203750"	"C1536500"	"Deficiency of acetyl-CoA acetyltransferase"
"614307"	"C3280428"	"Alpha-Methylacyl-CoA Racemase Deficiency"
"300448"	"C0585216"	"Alpha-Thalassemia Myelodysplasia Syndrome"
"301040"	"C1845055"	"ALPHA-THALASSEMIA/MENTAL RETARDATION SYNDROME, NONDELETION TYPE, X-LINKED"
"141750"	"C0795917"	"Alpha-Thalassemia Mental Retardation Syndrome, Deletion-Type"
"609889"	"C1835931"	"ALPHA/BETA T-CELL LYMPHOPENIA WITH GAMMA/DELTA T-CELL EXPANSION, SEVERE CYTOMEGALOVIRUS INFECTION, AND AUTOIMMUNITY"
"301050"	"C1567742"	"Alport Syndrome, X-Linked"
"301050"	"C4746986"	"ALPORT SYNDROME 1, X-LINKED"
"203780"	"C4746745"	"ALPORT SYNDROME 2, AUTOSOMAL RECESSIVE"
"203780"	"C4746745"	"ALPORT SYNDROME 2, AUTOSOMAL RECESSIVE"
"104200"	"C4746547"	"ALPORT SYNDROME 3, AUTOSOMAL DOMINANT"
"300194"	"C1846242"	"Alport Syndrome, Mental Retardation, Midface Hypoplasia, and Elliptocytosis"
"203800"	"C0268425"	"Alstrom Syndrome"
"104290"	"C3549447"	"ALTERNATING HEMIPLEGIA OF CHILDHOOD 1"
"614820"	"C3553788"	"ALTERNATING HEMIPLEGIA OF CHILDHOOD 2"
"265380"	"C0031190"	"Persistent Fetal Circulation Syndrome"
"606243"	"C0206657"	"Alveolar Soft Part Sarcoma"
"104300"	"C0002395"	"Alzheimer's Disease"
"104300"	"C1541844"	"PRESENILE AND SENILE DEMENTIA"
"104300"	"C1863052"	"ALZHEIMER DISEASE, FAMILIAL, 1"
"104300"	"C1863053"	"Alzheimer Disease, Early-Onset, With Cerebral Amyloid Angiopathy"
"104300"	"C3549448"	"ALZHEIMER DISEASE, PROTECTION AGAINST"
"615080"	"C3554452"	"ALZHEIMER DISEASE 17"
"605526"	"C1854187"	"ALZHEIMER DISEASE 6, LATE-ONSET"
"605526"	"C2676409"	"PLASMA BETA-AMYLOID-42 LEVEL QUANTITATIVE TRAIT LOCUS"
"607116"	"C1846735"	"ALZHEIMER DISEASE 8"
"607822"	"C1843013"	"Alzheimer disease, familial, type 3"
"607822"	"C1843014"	"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Unusual Plaques"
"607822"	"C1843015"	"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia"
"607822"	"C1843013"	"Alzheimer disease, familial, type 3"
"607822"	"C1843014"	"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Unusual Plaques"
"607822"	"C1843015"	"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia"
"607822"	"C1843013"	"Alzheimer disease, familial, type 3"
"607822"	"C1843014"	"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Unusual Plaques"
"607822"	"C1843015"	"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia"
"609636"	"C1864828"	"ALZHEIMER DISEASE 10"
"609790"	"C1853360"	"Alzheimer Disease 11"
"104310"	"C1863051"	"ALZHEIMER DISEASE 2"
"606889"	"C1847200"	"ALZHEIMER DISEASE 4"
"602096"	"C1865868"	"ALZHEIMER DISEASE 5"
"606187"	"C1853555"	"Alzheimer Disease 7"
"617217"	"C4310665"	"AMELOGENESIS IMPERFECTA, HYPOMATURATION TYPE, IIA6"
"301200"	"C1845052"	"AMELOGENESIS IMPERFECTA, HYPOPLASTIC/HYPOMATURATION, X-LINKED 1"
"301200"	"C1845053"	"Amelogenesis Imperfecta, Hypomaturation Type, with Snow-Capped Teeth"
"104530"	"C4011403"	"AMELOGENESIS IMPERFECTA, TYPE IA"
"104500"	"C0399368"	"Amelogenesis Imperfecta, Type IB"
"204650"	"C2673923"	"Amelogenesis Imperfecta, Type Ic"
"616270"	"C4225394"	"AMELOGENESIS IMPERFECTA, TYPE IF"
"204690"	"C2931783"	"Amelogenesis imperfecta nephrocalcinosis"
"616221"	"C4015557"	"AMELOGENESIS IMPERFECTA, TYPE IH"
"204700"	"C2673922"	"Amelogenesis Imperfecta, Hypomaturation Type, Iia1"
"612529"	"C2675858"	"Amelogenesis Imperfecta, Hypomaturation Type, Iia2"
"613211"	"C2750771"	"Amelogenesis Imperfecta, Hypomaturation Type, Iia3"
"614832"	"C3553830"	"AMELOGENESIS IMPERFECTA, HYPOMATURATION TYPE, IIA4"
"615887"	"C4014578"	"AMELOGENESIS IMPERFECTA, HYPOMATURATION TYPE, IIA5"
"130900"	"C0399376"	"Amelogenesis Imperfecta, Type III"
"617297"	"C4310630"	"AMELOGENESIS IMPERFECTA, TYPE IJ"
"104510"	"C1863012"	"Amelogenesis Imperfecta, Type IV"
"609924"	"C1835922"	"Aminoacylase 1 deficiency"
"105200"	"C0268389"	"Amyloidosis, familial visceral"
"105120"	"C1622345"	"Meretoja syndrome"
"105120"	"C1628319"	"Lattice corneal dystrophy Type II"
"105120"	"C2751493"	"Cerebral Amyloid Angiopathy, Gsn-Related"
"105200"	"C0268389"	"Amyloidosis, familial visceral"
"105210"	"C2751492"	"AMYLOIDOSIS, HEREDITARY, TRANSTHYRETIN-RELATED"
"105210"	"C3151470"	"AMYLOIDOSIS, LEPTOMENINGEAL, TRANSTHYRETIN-RELATED"
"105210"	"C3151471"	"AMYLOID CARDIOMYOPATHY, TRANSTHYRETIN-RELATED"
"105250"	"C0268398"	"Familial lichen amyloidosis"
"105250"	"C4551501"	"AMYLOIDOSIS, PRIMARY LOCALIZED CUTANEOUS, 1"
"617920"	"C4554421"	"AMYLOIDOSIS, PRIMARY LOCALIZED CUTANEOUS, 3"
"617920"	"C4554601"	"Amyloidosis cutis dyschromia"
"105200"	"C0268389"	"Amyloidosis, familial visceral"
"105400"	"C1862939"	"AMYOTROPHIC LATERAL SCLEROSIS 1"
"105400"	"C1862941"	"Amyotrophic Lateral Sclerosis, Sporadic"
"105400"	"C3542025"	"AMYOTROPHIC LATERAL SCLEROSIS 1, AUTOSOMAL RECESSIVE"
"612069"	"C2677565"	"AMYOTROPHIC LATERAL SCLEROSIS 10 (disorder)"
"612069"	"C3148872"	"FRONTOTEMPORAL DEMENTIA WITH TDP43 INCLUSIONS, TARDBP-RELATED"
"612069"	"C3150169"	"FRONTOTEMPORAL LOBAR DEGENERATION WITH TDP43 INCLUSIONS, TARDBP-RELATED"
"612069"	"C3150171"	"FTLD-TDP, TARDBP-RELATED"
"612577"	"C2675491"	"AMYOTROPHIC LATERAL SCLEROSIS 11"
"613435"	"C3150692"	"AMYOTROPHIC LATERAL SCLEROSIS 12"
"613954"	"C3151403"	"AMYOTROPHIC LATERAL SCLEROSIS 14 WITH OR WITHOUT FRONTOTEMPORAL DEMENTIA"
"300857"	"C3275459"	"AMYOTROPHIC LATERAL SCLEROSIS 15, WITH OR WITHOUT FRONTOTEMPORAL DEMENTIA"
