"MESH_ID"	"UMLS_CUI"	"UMLS_NAME"
"C567643"	"C2750074"	"Rhabdoid Tumor Predisposition Syndrome 2"
"C535963"	"C1862178"	"Cole Carpenter syndrome"
"C535666"	"C0796290"	"Acrorenal Syndrome, Autosomal Recessive"
"C536949"	"C2931374"	"Teebi Naguib Al Awadi syndrome"
"C563845"	"C1837245"	"Carney Complex Variant"
"C563853"	"C1837341"	"Transposition of the Great Arteries, Dextro-Looped 1"
"C563849"	"C3501008"	"Alpha-B Crystallinopathy with Cataract"
"C563855"	"C1837355"	"Leukodystrophy, Hypomyelinating, 2"
"C563880"	"C1837564"	"Robin Sequence with Distinctive Facial Appearance and Brachydactyly"
"C535743"	"C1837396"	"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ie"
"C563882"	"C1837593"	"Prostate Cancer, Hereditary, 4"
"C535279"	"C1837616"	"Primary ciliary dyskinesia, 4"
"C563895"	"C1837728"	"AMYOTROPHIC LATERAL SCLEROSIS 8 (disorder)"
"C563897"	"C1837739"	"Hypertension, Diastolic, Resistance to"
"C563903"	"C1837812"	"Atrial Fibrillation, Familial, 2"
"C563909"	"C1837868"	"Polydactyly, Postaxial, Type A4"
"C531783"	"C2930841"	"Hip socket neuropathy"
"C575534"	"C1850442"	"CEROID LIPOFUSCINOSIS, NEURONAL, 5"
"C535749"	"C2931005"	"Congenital disorder of glycosylation type 1K"
"C536287"	"C0340036"	"Immotile cilia syndrome, due to excessively long cilia"
"C538352"	"C1850052"	"Pellagra like syndrome"
"C537774"	"C1832609"	"Anterior polar cataract 2"
"C537066"	"C0343108"	"Flynn Aird syndrome"
"C537038"	"C0796021"	"Lowry Wood syndrome"
"C536405"	"C0265218"	"Neu-Laxova syndrome"
"C537351"	"C0432226"	"Metaphyseal anadysplasia"
"C557820"	"C0796101"	"Orofaciodigital syndrome 8"
"C535891"	"C2931056"	"Familial popliteal pterygium syndrome"
"C537657"	"C1847731"	"Basal ganglia calcification, idiopathic 2"
"C535897"	"C0270968"	"Limb-girdle muscular dystrophy type 2H"
"C535755"	"C0398739"	"Congenital disorder of glycosylation, type 2C"
"C536846"	"C1840386"	"Familial hypersensitivity pneumonitis"
"C535724"	"C0265349"	"Dwarfism stiff joint ocular abnormalities"
"C535653"	"C0545044"	"Acrokeratoelastoidosis of Costa"
"C537401"	"C1848902"	"Pineal Teratoma"
"C537589"	"C1865370"	"Severe combined immunodeficiency with sensitivity to ionizing radiation"
"C538613"	"C0342376"	"Panhypopituitarism - X-linked"
"C538240"	"C0399367"	"Amelogenesis imperfecta local hypoplastic form"
"C537323"	"C0220693"	"Microcephaly autosomal dominant"
"C537564"	"C0265295"	"Jansen type metaphyseal chondrodysplasia"
"C537352"	"C0265289"	"Metaphyseal chondrodysplasia Schmid type"
"C537599"	"C0432198"	"Short rib-polydactyly syndrome, Beemer type"
"C537052"	"C0265328"	"Alopecia epilepsy oligophrenia syndrome of Moynahan"
"C536019"	"C2931086"	"Achondrogenesis, type 4"
"C536018"	"C2931085"	"Achondrogenesis, type 3"
"C545036"	"C1839874"	"Low Molecular Weight Proteinuria with Hypercalciuria and Nephrocalcinosis"
"C548071"	"C2748555"	"Megarbane Jalkh Syndrome"
"C536326"	"C2931174"	"Polycystic kidney disease, type 1"
"C567644"	"C2750075"	"Chondrodysplasia, Megarbane-Dagher-Melki Type"
"C563248"	"C1442935"	"Chondrodysplasia Punctata, Autosomal Dominant"
"C563248"	"C1861578"	"Chondrodysplasia Punctata Due To Vitamin K Deficiency"
"C563248"	"C1861579"	"Chondrodysplasia Punctata Due To Warfarin Teratogenicity"
"C567642"	"C2750069"	"Lipodystrophy, Congenital Generalized, Type 4"
"C567641"	"C2750068"	"Roifman-Chitayat Syndrome"
"C535316"	"C2930875"	"46,XX Gonadal dysgenesis epibulbar dermoid"
"C576203"	"C3713789"	"Alcohol fetopathy"
"C538144"	"C0472694"	"Supraumbilical midabdominal raphe and facial cavernous hemangiomas"
"C535477"	"C0521723"	"Corneal dystrophy, epithelial basement membrane"
"C567843"	"C2751831"	"Myopathy, Myofibrillar, Bag3-Related"
"C567864"	"C2752043"	"Giacheti Syndrome"
"C538197"	"C2931767"	"Deafness, autosomal dominant nonsyndromic sensorineural 22"
"C537315"	"C1844936"	"SPINOCEREBELLAR ATAXIA, X-LINKED 3"
"C538063"	"C2931720"	"Fronto-facio-nasal dysplasia"
"C536498"	"C2931216"	"Tetra-amelia autosomal recessive"
"C563921"	"C1837970"	"Congenital Corneal Opacities, Cornea Guttata, and Corectopia"
"C563924"	"C1837991"	"Colorectal Adenomatous Polyposis, Autosomal Recessive"
"C563926"	"C1838019"	"INFLAMMATORY BOWEL DISEASE 9"
"C536840"	"C1838206"	"Aplasia cutis congenita of limbs recessive"
"C563941"	"C1838160"	"Pectus Excavatum, Macrocephaly, Short Stature, Dysplastic Nails"
"C563940"	"C1838141"	"Angiokeratoma Corporis Diffusum with Arteriovenous Fistulas"
"C563939"	"C3151237"	"Hirschsprung Disease, Cardiac Defects, and Autonomic Dysfunction"
"C563938"	"C3151303"	"Obesity, Hyperphagia, and Developmental Delay"
"C563937"	"C1838122"	"Arterial Dissection with Lentiginosis"
"C535487"	"C2930916"	"Ring Chromosome 14 Syndrome"
"C562492"	"C0265205"	"Robinow Syndrome"
"C562492"	"C4551476"	"Robinow Syndrome, Autosomal Dominant"
"C537126"	"C1853139"	"OPTIC ATROPHY 5 (disorder)"
"C565287"	"C1853941"	"DEAFNESS, AUTOSOMAL RECESSIVE 27"
"C565310"	"C1854104"	"Thyroid Carcinoma, Papillary, With Papillary Renal Neoplasia"
"C566896"	"C1968782"	"MYOPATHY, CONGENITAL, WITH EXCESS OF MUSCLE SPINDLES"
"C563930"	"C1838049"	"Epilepsy, Nocturnal Frontal Lobe, Type 1"
"C563929"	"C1838023"	"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 3"
"C563948"	"C1838230"	"SPINAL MUSCULAR ATROPHY, TYPE IV"
"C536669"	"C2931281"	"Sjögren-Mikulicz syndrome"
"C535885"	"C2931054"	"Jones Hersh Yusk syndrome"
"C563949"	"C1838238"	"Enteropathy, Familial, with Villous Edema and Immunoglobulin G2 Deficiency"
"C563950"	"C1838239"	"Band Heterotopia of Brain"
"C563989"	"C1838571"	"Ceroid Lipofuscinosis, Neuronal, 7"
"C535353"	"C1859301"	"Cerebellar hypoplasia with endosteal sclerosis"
"C535374"	"C0406778"	"Dermatopathia pigmentosa reticularis"
"C538351"	"C1836447"	"Nemaline myopathy 4"
"C538351"	"C2750413"	"Cap Myopathy, Tpm2-Related"
"C538348"	"C1836448"	"Nemaline myopathy 1"
"C538348"	"C2750414"	"CAP MYOPATHY, TPM3-RELATED (disorder)"
"C563482"	"C1833693"	"Otodental Dysplasia"
"C563482"	"C2750325"	"Oculootodental Syndrome"
"C567661"	"C2750285"	"Progeria Syndrome, Childhood-Onset"
"C567658"	"C2750247"	"Polymicrogyria, Asymmetric"
"C567650"	"C2750081"	"Diamond-Blackfan Anemia 9"
"C567649"	"C2750080"	"Diamond-Blackfan Anemia 10"
"C567253"	"C2675511"	"Diamond-Blackfan Anemia 8"
"C567390"	"C2677109"	"Leukodystrophy, Hypomyelinating, 4"
"C567738"	"C2751092"	"Neuropathy, Hereditary Sensory And Autonomic, Type IIB"
"C567738"	"C2752089"	"Neuropathy, Hereditary Sensory And Autonomic, Type IIA"
"C580095"	"C3665488"	"Familial Osteochondritis Dissecans"
"C580335"	"C3711749"	"Nonsyndromic Holoprosencephaly"
"C536546"	"C1865810"	"TREMOR, HEREDITARY ESSENTIAL, 2"
"C535479"	"C1857800"	"CORNEAL DYSTROPHY, FUCHS ENDOTHELIAL, 2"
"C536409"	"C1866558"	"Neural tube defect, folate-sensitive"
"C535993"	"C1857340"	"Deafness conductive ptosis skeletal anomalies"
"C535471"	"C1852558"	"Cornea guttata with anterior polar cataract"
"C537117"	"C1969056"	"LEOPARD SYNDROME 2"
"C536781"	"C1866426"	"T-cell immunodeficiency, congenital alopecia and nail dystrophy"
"C535728"	"C1857153"	"Dysautonomia like disorder"
"C535615"	"C1856110"	"Al Gazali Hirschsprung syndrome"
"C535623"	"C1856198"	"Hall Riggs mental retardation syndrome"
"C537159"	"C1970936"	"Hypotonia, congenital nystagmus, ataxia and abnormal auditory brainstem response"
"C536653"	"C1866182"	"Penttinen-Aula syndrome"
"C536010"	"C1860212"	"Achalasia microcephaly"
"C536000"	"C1860215"	"Acanthosis nigricans muscle cramps acral enlargement"
"C535616"	"C2930951"	"Al Gazali Khidr Prem Chandran syndrome"
"C567461"	"C2677877"	"Surfactant Metabolism Dysfunction, Pulmonary, 4"
"C536276"	"C1861967"	"Idiopathic basal ganglia calcification, childhood onset"
"C535738"	"C1851481"	"Erythrokeratodermia with ataxia"
"C564473"	"C1845096"	"MYOPIA 13"
"C563951"	"C1838240"	"Parotid Salivary Glands, Polycystic Disease of"
"C538338"	"C1868660"	"Nasopalpebral lipoma coloboma syndrome"
"C535278"	"C1837618"	"CILIARY DYSKINESIA, PRIMARY, 3"
"C537494"	"C1861481"	"Stickler syndrome, type 3"
"C537004"	"C1857355"	"Leigh syndrome , French Canadian type"
"C537421"	"C1861975"	"Cafe au lait spots, multiple"
"C535499"	"C1842531"	"Epilepsy, rolandic with paroxysmal exercise-induced dystonia and writer's cramp"
"C535559"	"C1844862"	"Abruzzo Erickson syndrome"
"C536089"	"C1850792"	"Congenital myasthenic syndrome ib"
"C538265"	"C2674616"	"FAMILIAL ADENOMATOUS POLYPOSIS, ATTENUATED (disorder)"
"C536710"	"C3489787"	"Pituitary Hormone Deficiency, Combined, 3"
"C536923"	"C1860403"	"Tucker syndrome"
"C537093"	"C1862103"	"Brachydactyly type C"
"C537088"	"C1862151"	"BRACHYDACTYLY, TYPE A1 (disorder)"
"C537087"	"C1862162"	"Brachydactyly preaxial with hallux varus and thumb abduction"
"C565236"	"C3501265"	"Deafness, Sensorineural, with Hypertrophic Cardiomyopathy"
"C565240"	"C1853473"	"PAGET DISEASE OF BONE 4"
"C565247"	"C1853488"	"Thyroid Carcinoma, Nonmedullary 1"
"C565249"	"C1853509"	"Atrioventricular Septal Defect, Partial, with Heterotaxy Syndrome"
"C537587"	"C1839073"	"Sertoli cell-only syndrome, Y-linked"
"C537587"	"C4551960"	"Sertoli cell-only syndrome, type 1"
"C536093"	"C1838670"	"Myelocytic leukemia-like syndrome, familial, chronic"
"C563134"	"C0796205"	"SPINOCEREBELLAR ATAXIA, X-LINKED 1"
"C535396"	"C0265283"	"Atelosteogenesis, type 1"
"C535393"	"C1848533"	"Ataxia with vitamin E deficiency"
"C535395"	"C1850554"	"Atelosteogenesis type 2"
"C535395"	"C1850555"	"De La Chapelle Dysplasia"
"C563798"	"C1836823"	"Nephropathy with Pretibial Epidermolysis Bullosa and Deafness"
"C563789"	"C1836727"	"Peripheral Demyelinating Neuropathy, Central Dysmyelination, Waardenburg Syndrome, and Hirschsprung Disease"
"C535766"	"C1836683"	"Czech dysplasia, metatarsal type"
"C563788"	"C1836724"	"CORNEAL DYSTROPHY, POSTERIOR POLYMORPHOUS, 3 (disorder)"
"C563750"	"C1836460"	"Progressive External Ophthalmoplegia with Mitochondrial DNA Deletions, Autosomal Dominant, 2"
"C563747"	"C1836439"	"Progressive External Ophthalmoplegia with Mitochondrial DNA Deletions, Autosomal Dominant, 3"
"C563753"	"C1836474"	"SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 7"
"C563754"	"C1836481"	"Li-Fraumeni Syndrome 3"
"C563756"	"C1836484"	"Stuttering, Familial Persistent 2"
"C537303"	"C1836573"	"GRISCELLI SYNDROME, TYPE 3"
"C536130"	"C1853666"	"Anemia, Diamond-Blackfan, 2"
"C567281"	"C2675860"	"Diamond-Blackfan Anemia 4"
"C567647"	"C2750078"	"Hypophosphatemic Rickets, Autosomal Recessive, 2"
"C535311"	"C0574084"	"3-Methylglutaconic aciduria type 3"
"C537769"	"C0599973"	"Waardenburg Anophthalmia Syndrome"
"C564069"	"C3501302"	"Mental Retardation, X-Linked, Syndromic, Ube2a-Related"
"C564065"	"C1839368"	"RETINITIS PIGMENTOSA 6 (disorder)"
"C564063"	"C1839332"	"Rett Syndrome, Preserved Speech Variant"
"C564058"	"C1839263"	"Turner Syndrome-Associated Neurocognitive Phenotype"
"C536692"	"C2931291"	"Wells Jankovic syndrome"
"C564054"	"C1839173"	"Midline Defects, X-Linked"
"C564053"	"C1839164"	"Thrombocytopenia, X-Linked, Intermittent"
"C564050"	"C1839161"	"Thrombocytopenia, Platelet Dysfunction, Hemolysis, and Imbalanced Globin Synthesis"
"C563959"	"C1838261"	"DIABETES MELLITUS, INSULIN-DEPENDENT, 4"
"C563961"	"C1838263"	"Deafness, Autosomal Recessive 3"
"C563965"	"C1838300"	"Peroxisome Biogenesis Disorder, Complementation Group J"
"C563978"	"C1838440"	"ICHTHYOSIS EXFOLIATIVA"
"C536465"	"C1838447"	"WAARDENBURG SYNDROME, TYPE 2B (disorder)"
"C563997"	"C1838630"	"Dysphasia, Familial Developmental"
"C567254"	"C2675512"	"Diamond-Blackfan Anemia 7"
"C567280"	"C2675859"	"Diamond-Blackfan Anemia 5"
"C564972"	"C1850718"	"MYOPATHY WITH EXERCISE INTOLERANCE, SWEDISH TYPE"
"C537523"	"C2931520"	"Sclerosing bone dysplasia mental retardation"
"C536106"	"C2931112"	"Myostatin-related muscle hypertrophy"
"C536841"	"C1858680"	"Familial encephalopathy with neuroserpin inclusion bodies"
"C535378"	"C0220662"	"ARTHROGRYPOSIS, DISTAL, TYPE 1"
"C535523"	"C1849096"	"Infantile onset spinocerebellar ataxia"
"C567632"	"C2750027"	"Growth Hormone Deficiency With Pituitary Anomalies"
"C536317"	"C1850055"	"PEHO syndrome"
"C536317"	"C1850056"	"PEHO-Like Syndrome"
"C538344"	"C1850406"	"NAVAJO NEUROHEPATOPATHY"
"C538344"	"C1850407"	"Navajo Familial Neurogenic Arthropathy"
"C564969"	"C1850674"	"MINICORE MYOPATHY WITH EXTERNAL OPHTHALMOPLEGIA (disorder)"
"C564395"	"C1843852"	"SPINOCEREBELLAR ATAXIA WITH EPILEPSY"
"C536416"	"C1853396"	"Primary lateral sclerosis juvenile"
"C535388"	"C0796028"	"ATAXIA, FATAL X-LINKED, WITH DEAFNESS AND LOSS OF VISION"
"C537297"	"C1838062"	"Autosomal Dominant Lateral Temporal Lobe Epilepsy"
"C536573"	"C0432201"	"Boomerang dysplasia"
"C536607"	"C1832918"	"Brody myopathy"
"C565238"	"C1853445"	"PARKINSON DISEASE 7, AUTOSOMAL RECESSIVE EARLY-ONSET"
"C567841"	"C2751829"	"Ventricular Fibrillation, Paroxysmal Familial, 2"
"C567839"	"C2751826"	"Multiple Synostoses Syndrome 3"
"C567838"	"C2751825"	"PREMATURE OVARIAN FAILURE 7 (disorder)"
"C564476"	"C1845105"	"Premature Ovarian Failure 2b"
"C564498"	"C1845293"	"Premature Ovarian Failure 2a"
"C567835"	"C2751822"	"Cataract, Autosomal Recessive Congenital 3"
"C535588"	"C1829703"	"Carnitine palmitoyl transferase 1A deficiency"
"C566343"	"C1863599"	"Hereditary Myopathy with Early Respiratory Failure"
"C564874"	"C1849718"	"POPLITEAL PTERYGIUM SYNDROME, LETHAL TYPE"
"C565384"	"C1855081"	"MICROCEPHALY, PRIMARY AUTOSOMAL RECESSIVE, 1"
"C565437"	"C1838652"	"SPLIT-HAND/FOOT MALFORMATION 3"
"C535902"	"C1858593"	"Limb-girdle muscular dystrophy, type 2E"
"C576976"	"C3493776"	"HYPOTHYROIDISM, CONGENITAL, NONGOITROUS, 1"
"C537805"	"C0268296"	"17-Hydroxysteroid Dehydrogenase Deficiency"
"C579849"	"C3697269"	"15q24 Microdeletion"
"C535765"	"C2931013"	"Cystinosis, benign, nonnephropathic"
"C535680"	"C1832229"	"Rieger syndrome 2 (disorder)"
"C537394"	"C1832589"	"Neuronal Intestinal Dysplasia, Type B"
"C537394"	"C1855733"	"Neuronal intestinal pseudoobstruction"
"C580539"	"C0585539"	"X-Linked Infantile Nystagmus"
"C564185"	"C1840572"	"HIP DYSPLASIA, BEUKES TYPE"
"C579754"	"C3659789"	"abc disease"
"C536075"	"C1840452"	"Hyaloideoretinal degeneration of Wagner"
"C535776"	"C1848488"	"Pierre Robin syndrome with fetal chondrodysplasia"
"C580551"	"C3711648"	"Y Chromosome Infertility"
"C536722"	"C2931299"	"ZAP70 deficiency"
"C535992"	"C0265201"	"De Sanctis-Cacchione syndrome"
"C580533"	"C3669395"	"X-Linked Chondrodysplasia Punctata 1"
"C548033"	"C1859040"	"Medullary Cystic Kidney Disease Type 2"
"C567067"	"C1970848"	"Phosphoglycerate Kinase 1 Deficiency"
"C563627"	"C1835437"	"Platyspondylic Lethal Skeletal Dysplasia, Torrance Type"
"C538133"	"C2931743"	"Lactate dehydrogenase deficiency type A"
"C567273"	"C2675711"	"Dyschromatosis Universalis Hereditaria 1"
"C537487"	"C1866650"	"Steatocystoma multiplex with natal teeth"
"C567194"	"C2675183"	"Dyschromatosis Universalis Hereditaria 2"
"C536084"	"C1840283"	"ICHTHYOSIS--CHEEK--EYEBROW SYNDROME"
"C566605"	"C1866070"	"OROFACIAL CLEFT 10"
"C566039"	"C1860896"	"COLORECTAL CANCER, HEREDITARY NONPOLYPOSIS, TYPE 6"
"C537791"	"C1862372"	"Axial osteomalacia"
"C565486"	"C1855867"	"L-Gulonolactone Oxidase, Nonfunctional"
"C565659"	"C1857438"	"Cysteine Peptiduria"
"C565696"	"C1857720"	"KALLMANN SYNDROME 4 (disorder)"
"C566574"	"C1865832"	"Spondyloepimetaphyseal Dysplasia, Missouri Type"
"C566594"	"C1865981"	"FRIEDREICH ATAXIA 2"
"C566690"	"C1866960"	"Sinus Node Disease and Myopia"
"C567220"	"C2675302"	"KALLMANN SYNDROME 5 (disorder)"
"C567199"	"C2675188"	"Kallmann Syndrome 6"
"C567357"	"C2676770"	"Birk-Barel Mental Retardation Dysmorphism Syndrome"
"C567558"	"C2748544"	"Spondyloepimetaphyseal Dysplasia, Aggrecan Type"
"C531689"	"C2930815"	"Acute cerebral Gaucher disease"
"C538620"	"C2931902"	"Acute brachial neuritis"
"C538367"	"C0796072"	"Mirhosseini-Holmes-Walton syndrome"
"C536143"	"C0796086"	"Neuhauser syndrome"
"C536232"	"C0796094"	"Blepharophimosis syndrome Ohdo type"
"C562907"	"C0406443"	"Twenty nail dystrophy"
"C562907"	"C4551561"	"Onychodystrophy Totalis, Isolated"
"C538241"	"C2931783"	"Amelogenesis imperfecta nephrocalcinosis"
"C563221"	"C1303010"	"Mydriasis, Congenital"
"C563426"	"C1833118"	"Cataract, Pulverulent"
"C562377"	"C0008127"	"Glutamate Monosodium Sensitivity"
"C579395"	"C0265248"	"Ruvalcaba Syndrome"
"C535842"	"C2936918"	"Thyroiditis, Chronic"
"C536136"	"C0221386"	"Idiopathic hilar fibrosis"
"C536136"	"C0264573"	"Mediastinal Fibrosis"
"C557818"	"C0796102"	"Orofaciodigital syndrome 9"
"C536420"	"C0796121"	"Primrose syndrome"
"C564174"	"C1840438"	"Orthostatic Hypotensive Disorder, Streeten Type"
"C564640"	"C1847013"	"NEPHRONOPHTHISIS 4"
"C565780"	"C1858392"	"NEPHRONOPHTHISIS 3"
"C566582"	"C1865872"	"NEPHRONOPHTHISIS 2"
"C566930"	"C1969092"	"NEPHRONOPHTHISIS 7"
"C564750"	"C1848590"	"Vascular Hyalinosis"
"C565017"	"C1851184"	"Fibrinolytic Defect"
"C565026"	"C1851378"	"Factor V Excess with Spontaneous Thrombosis"
"C565121"	"C1852282"	"DEAFNESS, AUTOSOMAL DOMINANT 1 (disorder)"
"C565081"	"C1851994"	"Dwarfism, Levi Type"
"C537260"	"C0266000"	"Congenital Koilonychia"
"C538196"	"C0186005"	"Atlanto-Axial Fusion"
"C538177"	"C2931760"	"Acrocallosal syndrome, Schinzel type"
"C536937"	"C1866994"	"Ulnar-mammary syndrome"
"C538306"	"C0795868"	"Chromosome 18, tetrasomy 18p"
"C562657"	"C0268468"	"Dystonia, Dopa-Responsive, due to Sepiapterin Reductase Deficiency"
"C537776"	"C2931608"	"Anterior spinal artery stroke"
"C535284"	"C2930865"	"Ramer Ladda syndrome"
