OMIM_ID	OMIM_NAME
218000	Agenesis of the corpus callosum with peripheral neuropathy
202650	Agnathia-otocephaly complex
304050	Aicardi syndrome
225750	Aicardi-Goutieres syndrome 1, dominant and recessive
610181	Aicardi-Goutieres syndrome 2
610329	Aicardi-Goutieres syndrome 3
610333	Aicardi-Goutieres syndrome 4
612952	Aicardi-Goutieres syndrome 5
615010	Aicardi-Goutieres syndrome 6
615846	Aicardi-Goutieres syndrome 7
617694	Al Kaissi syndrome
616459	Al-Raqad syndrome
615510	Alacrima, achalasia, and mental retardation syndrome
118450	Alagille syndrome 1
610205	Alagille syndrome 2
300600	Aland Island eye disease
615071	Alazami syndrome
617126	Alazami-Yuan syndrome
203200	Albinism, brown oculocutaneous
203100	Albinism, oculocutaneous, type IA
606952	Albinism, oculocutaneous, type IB
203200	Albinism, oculocutaneous, type II
203290	Albinism, oculocutaneous, type III
606574	Albinism, oculocutaneous, type IV
615312	Albinism, oculocutaneous, type V
113750	Albinism, oculocutaneous, type VI
615179	Albinism, oculocutaneous, type VII
300700	Albinism-deafness syndrome
610251	Alcohol sensitivity, acute
124080	Aldosterone to renin ratio raised
103900	Aldosteronism, glucocorticoid-remediable
203450	Alexander disease
203500	Alkaptonuria
617822	Alkuraya-Kucinskas syndrome
300523	Allan-Herndon-Dudley syndrome
104000	Alopecia areata 1
610753	Alopecia areata 2
203655	Alopecia universalis
109200	Alopecia, androgenetic, 1
300710	Alopecia, androgenetic, 2
612421	Alopecia, androgenetic, 3
203650	Alopecia-mental retardation syndrome 1
610422	Alopecia-mental retardation syndrome 2
613930	Alopecia-mental retardation syndrome 3
107280	Alpha-1-antichymotrypsin deficiency
614036	Alpha-2-macroglobulin deficiency
262850	Alpha-2-plasmin inhibitor deficiency
615969	Alpha-fetoprotein deficiency
203740	Alpha-ketoglutarate dehydrogenase deficiency
203750	Alpha-methylacetoacetic aciduria
614307	Alpha-methylacyl-CoA racemase deficiency
300448	Alpha-thalassemia myelodysplasia syndrome, somatic
301040	Alpha-thalassemia/mental retardation syndrome
141750	Alpha-thalassemia/mental retardation syndrome, type 1
609889	Alpha/beta T-cell lymphopenia with gamma/delta T-cell expansion, severe cytomegalovirus infection, and autoimmunity
301050	Alport syndrome 1, X-linked
203780	Alport syndrome 2, autosomal recessive
203780	Alport syndrome 2, autosomal recessive
104200	Alport syndrome 3, autosomal dominant
300194	Alport syndrome, mental retardation, midface hypoplasia, and elliptocytosis
203800	Alstrom syndrome
104290	Alternating hemiplegia of childhood 1
614820	Alternating hemiplegia of childhood 2
265380	Alveolar capillary dysplasia with misalignment of pulmonary veins
606243	Alveolar soft-part sarcoma
104300	Alzheimer disease 1, familial
615080	Alzheimer disease 17
605526	Alzheimer disease 6
607116	Alzheimer disease 8
607822	Alzheimer disease, type 3
607822	Alzheimer disease, type 3, with spastic paraparesis and apraxia
607822	Alzheimer disease, type 3, with spastic paraparesis and unusual plaques
609636	Alzheimer disease-10
609790	Alzheimer disease-11
104310	Alzheimer disease-2
606889	Alzheimer disease-4
602096	Alzheimer disease-5
606187	Alzheimer disease-7
617217	Amelogenesis imperfecta, hypomaturation type, IIA6
301200	Amelogenesis imperfecta, type 1E
104530	Amelogenesis imperfecta, type IA
104500	Amelogenesis imperfecta, type IB
204650	Amelogenesis imperfecta, type IC
616270	Amelogenesis imperfecta, type IF
204690	Amelogenesis imperfecta, type IG (enamel-renal syndrome)
616221	Amelogenesis imperfecta, type IH
204700	Amelogenesis imperfecta, type IIA1
612529	Amelogenesis imperfecta, type IIA2
613211	Amelogenesis imperfecta, type IIA3
614832	Amelogenesis imperfecta, type IIA4
615887	Amelogenesis imperfecta, type IIA5
130900	Amelogenesis imperfecta, type IIIA
618386	Amelogenesis imperfecta, type IIIC
617297	Amelogenesis imperfecta, type IJ
104510	Amelogenesis imperfecta, type IV
609924	Aminoacylase 1 deficiency
105200	Amyloidosis, 3 or more types
105120	Amyloidosis, Finnish type
105200	Amyloidosis, familial visceral
105210	Amyloidosis, hereditary, transthyretin-related
105250	Amyloidosis, primary localized cutaneous, 1
617920	Amyloidosis, primary localized cutaneous, 3
105200	Amyloidosis, renal
105400	Amyotrophic lateral sclerosis 1
612069	Amyotrophic lateral sclerosis 10, with or without FTD
612577	Amyotrophic lateral sclerosis 11
613435	Amyotrophic lateral sclerosis 12
613954	Amyotrophic lateral sclerosis 14, with or without frontotemporal dementia
300857	Amyotrophic lateral sclerosis 15, with or without frontotemporal dementia
614696	Amyotrophic lateral sclerosis 17
614808	Amyotrophic lateral sclerosis 18
615515	Amyotrophic lateral sclerosis 19
205100	Amyotrophic lateral sclerosis 2, juvenile
615426	Amyotrophic lateral sclerosis 20
606070	Amyotrophic lateral sclerosis 21
616208	Amyotrophic lateral sclerosis 22 with or without frontotemporal dementia
606640	Amyotrophic lateral sclerosis 3
602433	Amyotrophic lateral sclerosis 4, juvenile
602099	Amyotrophic lateral sclerosis 5, juvenile
608030	Amyotrophic lateral sclerosis 6, with or without frontotemporal dementia
608031	Amyotrophic lateral sclerosis 7
608627	Amyotrophic lateral sclerosis 8
611895	Amyotrophic lateral sclerosis 9
162100	Amyotrophy, hereditary neuralgic
617839	Amytrophic lateral sclerosis 23
616000	Analbuminemia
607095	Anauxetic dysplasia 1
617396	Anauxetic dysplasia 2
170390	Andersen syndrome
300068	Androgen insensitivity
312300	Androgen insensitivity, partial, with or without breast cancer
300835	Anemia, X-linked, with/without neutropenia and/or platelet abnormalities
268150	Anemia, hemolytic, Rh-null, regulator type
266120	Anemia, hemolytic, due to UMPH1 deficiency
206100	Anemia, hypochromic microcytic, with iron overload 1
617948	Anemia, neonatal hemolytic, fatal or near-fatal
300751	Anemia, sideroblastic, 1
205950	Anemia, sideroblastic, 2, pyridoxine-refractory
616860	Anemia, sideroblastic, 3, pyridoxine-refractory
182170	Anemia, sideroblastic, 4
301310	Anemia, sideroblastic, with ataxia
105800	Aneurysm, intracranial berry, 1
614252	Aneurysm, intracranial berry, 11
608542	Aneurysm, intracranial berry, 2
609122	Aneurysm, intracranial berry, 3
610213	Aneurysm, intracranial berry, 4
300870	Aneurysm, intracranial berry, 5
612161	Aneurysm, intracranial berry, 7
612162	Aneurysm, intracranial berry, 8
606179	Aneurysmal bone cysts
105830	Angelman syndrome
300652	Angio serpiginosum
610618	Angioedema, hereditary, type III
106100	Angioedema, hereditary, types I and II
613733	Angiofibroma, somatic
611773	Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps
106210	Aniridia
605746	Anisomastia
206800	Anonychia congenita
107200	Anosmia, isolated congenital
602588	Anterior segment anomalies with or without cataract
107250	Anterior segment dysgenesis 1, multiple subtypes
610256	Anterior segment dysgenesis 2, multiple subtypes
601631	Anterior segment dysgenesis 3, multiple subtypes
137600	Anterior segment dysgenesis 4
604229	Anterior segment dysgenesis 5, multiple subtypes
617315	Anterior segment dysgenesis 6, multiple subtypes
269400	Anterior segment dysgenesis 7, with sclerocornea
617319	Anterior segment dysgenesis 8
201750	Antley-Bixler syndrome with genital anomalies and disordered steroidogenesis
207410	Antley-Bixler syndrome without genital anomalies or disordered steroidogenesis
100070	Aortic aneurysm, familial abdominal 1
609782	Aortic aneurysm, familial abdominal 2
614375	Aortic aneurysm, familial abdominal, 4
607086	Aortic aneurysm, familial thoracic 1
617168	Aortic aneurysm, familial thoracic 10
607087	Aortic aneurysm, familial thoracic 2
132900	Aortic aneurysm, familial thoracic 4
611788	Aortic aneurysm, familial thoracic 6
613780	Aortic aneurysm, familial thoracic 7
615436	Aortic aneurysm, familial thoracic 8
616166	Aortic aneurysm, familial thoracic 9
109730	Aortic valve disease 1
614823	Aortic valve disease 2
618496	Aortic valve disease 8
101200	Apert syndrome
607485	Aphasia, primary progressive
180920	Aplasia of lacrimal and salivary glands
609135	Aplastic anemia
609135	Aplastic anemia
107680	ApoA-I and apoC-III deficiency, combined
107670	Apolipoprotein A-II deficiency
614028	Apolipoprotein C-III deficiency
218030	Apparent mineralocorticoid excess
207800	Argininemia
207900	Argininosuccinic aciduria
613546	Aromatase deficiency
139300	Aromatase excess syndrome
608643	Aromatic L-amino acid decarboxylase deficiency
107970	Arrhythmogenic right ventricular dysplasia 1
610193	Arrhythmogenic right ventricular dysplasia 10
610476	Arrhythmogenic right ventricular dysplasia 11 with mild palmoplantar keratoderma and woolly hair
610476	Arrhythmogenic right ventricular dysplasia 11
611528	Arrhythmogenic right ventricular dysplasia 12
600996	Arrhythmogenic right ventricular dysplasia 2
602086	Arrhythmogenic right ventricular dysplasia 3
602087	Arrhythmogenic right ventricular dysplasia 4
604400	Arrhythmogenic right ventricular dysplasia 5
604401	Arrhythmogenic right ventricular dysplasia 6
607450	Arrhythmogenic right ventricular dysplasia 8
609040	Arrhythmogenic right ventricular dysplasia 9
615616	Arrhythmogenic right ventricular dysplasia, familial, 13
208000	Arterial calcification, generalized, of infancy, 1
614473	Arterial calcification, generalized, of infancy, 2
208050	Arterial tortuosity syndrome
108010	Arteriovenous malformation of the brain, somatic
618484	Arthrogryposis multiplex congenita, myogenic type
617468	Arthrogryposis multiplex congenita, neurogenic, with myelin defect
618265	Arthrogryposis, cleft palate, craniosynostosis, and impaired intellectual development
187370	Arthrogryposis, distal, type 10
108120	Arthrogryposis, distal, type 1A
614335	Arthrogryposis, distal, type 1B
193700	Arthrogryposis, distal, type 2A (Freeman-Sheldon)
601680	Arthrogryposis, distal, type 2B1
618435	Arthrogryposis, distal, type 2B2
618436	Arthrogryposis, distal, type 2B3 (Sheldon-Hall)
108120	Arthrogryposis, distal, type 2B4
114300	Arthrogryposis, distal, type 3
108145	Arthrogryposis, distal, type 5
615065	Arthrogryposis, distal, type 5D
617146	Arthrogryposis, distal, with impaired proprioception and touch
208085	Arthrogryposis, renal dysfunction, and cholestasis 1
613404	Arthrogryposis, renal dysfunction, and cholestasis 2
208230	Arthropathy, progressive pseudorheumatoid, of childhood
301835	Arts syndrome
615574	Asparagine synthetase deficiency
614419	Aspartate aminotransferase, serum level of, QTL1
208400	Aspartylglucosaminuria
271400	Asplenia, isolated congenital
208550	Asthma and nasal polyps
277460	Ataxia with isolated vitamin E deficiency
601238	Ataxia, cerebellar, Cayman type
208920	Ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia
609033	Ataxia, posterior column, with retinitis pigmentosa
608984	Ataxia, sensory, 1, autosomal dominant
615217	Ataxia-oculomotor apraxia 3
616267	Ataxia-oculomotor apraxia 4
159550	Ataxia-pancytopenia syndrome
208900	Ataxia-telangiectasia
604391	Ataxia-telangiectasia-like disorder 1
108720	Atelosteogenesis, type I
256050	Atelosteogenesis, type II
108721	Atelosteogenesis, type III
601536	Athabaskan brainstem dysgenesis syndrome
209300	Atransferrinemia
608583	Atrial fibrillation, familial, 1
614022	Atrial fibrillation, familial, 10
614049	Atrial fibrillation, familial, 11
614050	Atrial fibrillation, familial, 12
615377	Atrial fibrillation, familial, 13
615378	Atrial fibrillation, familial, 14
613120	Atrial fibrillation, familial, 16
611819	Atrial fibrillation, familial, 17
608988	Atrial fibrillation, familial, 2
607554	Atrial fibrillation, familial, 3
611493	Atrial fibrillation, familial, 4
612201	Atrial fibrillation, familial, 6
612240	Atrial fibrillation, familial, 7
613055	Atrial fibrillation, familial, 8
613980	Atrial fibrillation, familial, 9
108800	Atrial septal defect 1
607941	Atrial septal defect 2
614089	Atrial septal defect 3
611363	Atrial septal defect 4
612794	Atrial septal defect 5
613087	Atrial septal defect 6
108900	Atrial septal defect 7, with or without AV conduction defects
614433	Atrial septal defect 8
614475	Atrial septal defect 9
615745	Atrial standstill 2
108770	Atrial standstill, digenic (GJA5/SCN5A)
209500	Atrichia with papular lesions
600309	Atrioventricular septal defect 3
614430	Atrioventricular septal defect 4
614474	Atrioventricular septal defect 5
606217	Atrioventricular septal defect, partial, with heterotaxy syndrome
616580	Au-Kline syndrome
617717	Auditory neuropathy and optic atrophy
609129	Auditory neuropathy, autosomal dominant, 1
601071	Auditory neuropathy, autosomal recessive, 1
607842	Aural atresia, congenital
602483	Auriculocondylar syndrome 1
614669	Auriculocondylar syndrome 2
615706	Auriculocondylar syndrome 3
615952	Autoimmune disease, multisystem, infantile-onset, 1
617006	Autoimmune disease, multisystem, infantile-onset, 2
613385	Autoimmune disease, multisystem, with facial dysmorphism
601859	Autoimmune lymphoproliferative syndrome, type IA
601859	Autoimmune lymphoproliferative syndrome, type IB
603909	Autoimmune lymphoproliferative syndrome, type II
615559	Autoimmune lymphoproliferative syndrome, type III
616100	Autoimmune lymphoproliferative syndrome, type V
240300	Autoimmune polyendocrinopathy syndrome , type I, with or without reversible metaphyseal dysplasia
617388	Autoinflammation with arthritis and dyskeratosis
616050	Autoinflammation with infantile enterocolitis
614878	Autoinflammation, antibody deficiency, and immune dysregulation syndrome
617099	Autoinflammation, panniculitis, and dermatosis syndrome
616744	Autoinflammatory syndrome, familial, Behcet-like
126452	Autonomic nervous system dysfunction
608805	Avascular necrosis of the femoral head
180500	Axenfeld-Rieger syndrome, type 1
602482	Axenfeld-Rieger syndrome, type 3
601088	Ayme-Gripp syndrome
616452	B-cell expansion with NFKB and T-cell anergy
601406	B-cell non-Hodgkin lymphoma, high-grade
615485	Bainbridge-Ropers syndrome
618218	Baker-Gordon syndrome
218600	Baller-Gerold syndrome
241850	Bamforth-Lazarus syndrome
600348	Band heterotopia
243310	Baraitser-Winter syndrome 1
614583	Baraitser-Winter syndrome 2
209885	Barber-Say syndrome
209900	Bardet-Biedl syndrome 1
615987	Bardet-Biedl syndrome 10
615989	Bardet-Biedl syndrome 12
615990	Bardet-Biedl syndrome 13
615993	Bardet-Biedl syndrome 16
615994	Bardet-Biedl syndrome 17
615981	Bardet-Biedl syndrome 2
617406	Bardet-Biedl syndrome 21
600151	Bardet-Biedl syndrome 3
615982	Bardet-Biedl syndrome 4
615983	Bardet-Biedl syndrome 5
605231	Bardet-Biedl syndrome 6
615984	Bardet-Biedl syndrome 7
615985	Bardet-Biedl syndrome 8
615986	Bardet-Biedl syndrome 9
604571	Bare lymphocyte syndrome, type I
604571	Bare lymphocyte syndrome, type I
604571	Bare lymphocyte syndrome, type I, due to TAP2 deficiency
209920	Bare lymphocyte syndrome, type II, complementation group A
209920	Bare lymphocyte syndrome, type II, complementation group C
209920	Bare lymphocyte syndrome, type II, complementation group D
209920	Bare lymphocyte syndrome, type II, complementation group E
614266	Barrett esophagus/esophageal adenocarcinoma
614266	Barrett esophagus/esophageal adenocarcinoma
614266	Barrett esophagus/esophageal adenocarcinoma
149200	Bart-Pumphrey syndrome
302060	Barth syndrome
601678	Bartter syndrome, type 1
241200	Bartter syndrome, type 2
607364	Bartter syndrome, type 3
602522	Bartter syndrome, type 4a
613090	Bartter syndrome, type 4b, digenic
613090	Bartter syndrome, type 4b, digenic
300971	Bartter syndrome, type 5, antenatal, transient
605462	Basal cell carcinoma, somatic
605462	Basal cell carcinoma, somatic
605462	Basal cell carcinoma, somatic
605462	Basal cell carcinoma, somatic
109400	Basal cell nevus syndrome
109400	Basal cell nevus syndrome
109400	Basal cell nevus syndrome
213600	Basal ganglia calcification, idiopathic, 1
606656	Basal ganglia calcification, idiopathic, 2
615007	Basal ganglia calcification, idiopathic, 4
615483	Basal ganglia calcification, idiopathic, 5
616413	Basal ganglia calcification, idiopathic, 6
618317	Basal ganglia calcification, idiopathic, 7, autosomal recessive
126700	Basal laminar drusen
129200	Basan syndrome
616449	Basel-Vanagait-Smirin-Yosef syndrome
301845	Bazex syndrome
123790	Beare-Stevenson cutis gyrata syndrome
613680	Beaulieu-Boycott-Innes syndrome
300376	Becker muscular dystrophy
130650	Beckwith-Wiedemann syndrome
130650	Beckwith-Wiedemann syndrome
130650	Beckwith-Wiedemann syndrome
130650	Beckwith-Wiedemann syndrome
210000	Behr syndrome
614592	Bent bone dysplasia syndrome
231200	Bernard-Soulier syndrome, type A1 (recessive)
153670	Bernard-Soulier syndrome, type A2 (dominant)
231200	Bernard-Soulier syndrome, type B
231200	Bernard-Soulier syndrome, type C
611809	Bestrophinopathy, autosomal recessive
109690	Beta-2-adrenoreceptor agonist, reduced response to
613161	Beta-ureidopropionase deficiency
158810	Bethlem myopathy 1
158810	Bethlem myopathy 1
158810	Bethlem myopathy 1
616471	Bethlem myopathy 2
210370	Bietti crystalline corneoretinal dystrophy
608980	Bifid nose with or without anorectal and renal anomalies
613291	Bile acid malabsorption, primary
607765	Bile acid synthesis defect, congenital, 1
235555	Bile acid synthesis defect, congenital, 2
613812	Bile acid synthesis defect, congenital, 3
214950	Bile acid synthesis defect, congenital, 4
617308	Bile acid synthesis defect, congenital, 6
109720	Biliary cirrhosis, primary, 1
614220	Biliary cirrhosis, primary, 4
614221	Biliary cirrhosis, primary, 5
253260	Biotinidase deficiency
612292	Birk-Barel mental retardation dysmorphism syndrome
135150	Birt-Hogg-Dube syndrome
262000	Bjornstad syndrome
109800	Bladder cancer, somatic
109800	Bladder cancer, somatic
109800	Bladder cancer, somatic
109800	Bladder cancer, somatic
186580	Blau syndrome
605913	Bleeding disorder, east Texas type
614201	Bleeding disorder, platelet-type, 11
615193	Bleeding disorder, platelet-type, 15
187800	Bleeding disorder, platelet-type, 16, autosomal dominant
187800	Bleeding disorder, platelet-type, 16, autosomal dominant
187900	Bleeding disorder, platelet-type, 17
616913	Bleeding disorder, platelet-type, 20
617443	Bleeding disorder, platelet-type, 21
609821	Bleeding disorder, platelet-type, 8
119580	Blepharocheilodontic syndrome 1
617681	Blepharocheilodontic syndrome 2
110100	Blepharophimosis, epicanthus inversus, and ptosis, type 1
110100	Blepharophimosis, epicanthus inversus, and ptosis, type 2
111150	Blood group--Lutheran inhibitor
210900	Bloom syndrome
303700	Blue cone monochromacy
303700	Blue cone monochromacy
605039	Bohring-Opitz syndrome
614675	Bone marrow failure syndrome 1
615715	Bone marrow failure syndrome 2
617052	Bone marrow failure syndrome 3
618116	Bone marrow failure syndrome 4
618165	Bone marrow failure syndrome 5
300910	Bone mineral density QTL18, osteoporosis
112310	Boomerang dysplasia
600257	Bor-Duane hydrocephalus contiguous gene syndrome
301900	Borjeson-Forssman-Lehmann syndrome
300843	Bornholm eye disease
615722	Bosch-Boonstra-Schaaf optic atrophy syndrome
601536	Bosley-Salih-Alorainy syndrome
603457	Bosma arhinia microphthalmia syndrome
607475	Bothnia retinal dystrophy
215470	Boucher-Neuhauser syndrome
211180	Bowen-Conradi syndrome
617412	Brachycephaly, trichomegaly, and developmental delay
112500	Brachydactyly, type A1
607004	Brachydactyly, type A1, B
615072	Brachydactyly, type A1, C
616849	Brachydactyly, type A1, D
112600	Brachydactyly, type A2
112600	Brachydactyly, type A2
112600	Brachydactyly, type A2
113000	Brachydactyly, type B1
611377	Brachydactyly, type B2
113100	Brachydactyly, type C
113200	Brachydactyly, type D
113300	Brachydactyly, type E
613382	Brachydactyly, type E2
612847	Brachyolmia 4 with mild epiphyseal and metaphyseal changes
113500	Brachyolmia type 3
608415	Bradyopsia
608415	Bradyopsia
618476	Brain abnormalities, neurodegeneration, and dysosteosclerosis
613735	Brain malformations with or without urinary tract defects
614483	Brain small vessel disease 2
618360	Brain small vessel disease 3
175780	Brain small vessel disease with or without ocular anomalies
175100	Brain tumor-polyposis syndrome 2
614923	Branched-chain ketoacid dehydrogenase kinase deficiency
113620	Branchiooculofacial syndrome
602588	Branchiootic syndrome 1
120502	Branchiootic syndrome 2
608389	Branchiootic syndrome 3
113650	Branchiootorenal syndrome 1, with or without cataracts
610896	Branchiootorenal syndrome 2
113721	Breast cancer
114480	Breast cancer, somatic
114480	Breast cancer, somatic
114480	Breast cancer, somatic
114480	Breast cancer, somatic
114480	Breast cancer, somatic
114480	Breast cancer, somatic
114480	Breast cancer, somatic
114480	Breast cancer, somatic
229200	Brittle cornea syndrome 1
614170	Brittle cornea syndrome 2
601003	Brody myopathy
211400	Bronchiectasis with or without elevated sweat chloride 1
613021	Bronchiectasis with or without elevated sweat chloride 2
613071	Bronchiectasis with or without elevated sweat chloride 3
605041	Brooke-Spiegler syndrome
211530	Brown-Vialetto-Van Laere syndrome 1
614707	Brown-Vialetto-Van Laere syndrome 2
259450	Bruck syndrome 1
609220	Bruck syndrome 2
601144	Brugada syndrome 1
611777	Brugada syndrome 2
611875	Brugada syndrome 3
611876	Brugada syndrome 4
612838	Brugada syndrome 5
613120	Brugada syndrome 7
613123	Brugada syndrome 8
616399	Brugada syndrome 9
300615	Brunner syndrome
113970	Burkitt lymphoma, somatic
608572	Burn-McKeown syndrome
166700	Buschke-Ollendorff syndrome
617936	Butyrylcholinesterase deficiency
211750	C syndrome
613652	C1q deficiency
613652	C1q deficiency
613652	C1q deficiency
613783	C1s deficiency
217000	C2 deficiency
613779	C3 deficiency
614379	C4B deficiency
614380	C4a deficiency
609536	C5 deficiency
612446	C6 deficiency
610102	C7 deficiency
613790	C8 deficiency, type I
613789	C8 deficiency, type II
613825	C9 deficiency
609284	CAP myopathy 1
609285	CAP myopathy 2
601338	CAPOS syndrome
600142	CARASIL syndrome
610474	CATSHL syndrome
608957	CD8 deficiency, familial
603116	CDAGS syndrome
214350	CHAND syndrome
214800	CHARGE syndrome
308050	CHILD syndrome
280000	CHIME syndrome
616368	CHOPS syndrome
607115	CINCA syndrome
300831	CK syndrome
613089	CLAPO syndrome, somatic
612918	CLOVE syndrome, somatic
216360	COACH syndrome
216360	COACH syndrome
216360	COACH syndrome
600373	CODAS syndrome
617306	COMMAD syndrome
606963	COPD, rate of decline of lung function in
600649	CPT II deficiency, infantile
608836	CPT II deficiency, lethal neonatal
255110	CPT II deficiency, myopathic, stress-induced
255120	CPT deficiency, hepatic, type IA
120620	CR1 deficiency
303350	CRASH syndrome
114000	Caffey disease
211800	Calcification of joints and arteries
126550	Calvarial doughnut lesions with bone fragility with or without spondylometaphyseal dysplasia
114290	Campomelic dysplasia with autosomal sex reversal
114290	Campomelic dysplasia
114200	Camptodactyly 1
208250	Camptodactyly-arthropathy-coxa vara-pericarditis syndrome
131300	Camurati-Engelmann disease
271900	Canavan disease
114580	Candidiasis, familial, 1, autosomal dominant
212050	Candidiasis, familial, 2, autosomal recessive
607644	Candidiasis, familial, 3
613108	Candidiasis, familial, 4, autosomal recessive
616445	Candidiasis, familial, 9
608354	Capillary malformation-arteriovenous malformation 1
618196	Capillary malformation-arteriovenous malformation 2
163000	Capillary malformations, congenital, 1, somatic, mosaic
237300	Carbamoylphosphate synthetase I deficiency
212070	Carboxypeptidase N deficiency
613733	Carcinoid tumor of lung
600919	Cardiac arrhythmia, ankyrin-B-related
612838	Cardiac conduction defect, nonspecific
616117	Cardiac conduction disease with or without dilated cardiomyopathy
212093	Cardiac valvular defect, developmental
