MESH_SCR_ID	MESH_SCR_NAME	MESH_ID
C565078	Lewy Body Variant of Alzheimer Disease	D000544
C565079	Dyskeratosis Congenita, Scoggins Type	D019871
C565080	Dyschondrosteosis and Nephritis	D006130
C565080	Dyschondrosteosis and Nephritis	D009393
C565080	Dyschondrosteosis and Nephritis	D010009
C565083	Dupuytren Contracture 1	D004387
C565084	Plantar Fibromas	D005350
C565084	Plantar Fibromas	D005534
C565086	Duodenal Ulcer, Hyperpepsinogenemic I	D004381
C565088	Drusen, Radial, Autosomal Dominant	D015593
C565088	Drusen, Radial, Autosomal Dominant	D015785
C565090	Double Nail for Fifth Toe	D009260
C565090	Double Nail for Fifth Toe	D009264
C565093	Osteosclerosis, Distal	D010026
C565094	Disproportionate Short Stature with Ptosis and Valvular Heart Lesions	D001763
C565094	Disproportionate Short Stature with Ptosis and Valvular Heart Lesions	D004392
C565094	Disproportionate Short Stature with Ptosis and Valvular Heart Lesions	D006349
C565094	Disproportionate Short Stature with Ptosis and Valvular Heart Lesions	D019066
C565099	Diarrhea, Glucose-Stimulated Secretory, with Common Variable Immunodeficiency	D003967
C565099	Diarrhea, Glucose-Stimulated Secretory, with Common Variable Immunodeficiency	D007153
C565099	Diarrhea, Glucose-Stimulated Secretory, with Common Variable Immunodeficiency	D008661
C565100	Insulin-Dependent Diabetes Mellitus 2	D003922
C565102	Keratoderma, Palmoplantar, Striate Form II	D007645
C564264	Growth Failure, Microcephaly, Mental Retardation, Cataracts, Large Joint Contractures, Osteoporosis, Cortical Dysplasia, and Cerebellar Atrophy	D002386
C564264	Growth Failure, Microcephaly, Mental Retardation, Cataracts, Large Joint Contractures, Osteoporosis, Cortical Dysplasia, and Cerebellar Atrophy	D003286
C564264	Growth Failure, Microcephaly, Mental Retardation, Cataracts, Large Joint Contractures, Osteoporosis, Cortical Dysplasia, and Cerebellar Atrophy	D006130
C564264	Growth Failure, Microcephaly, Mental Retardation, Cataracts, Large Joint Contractures, Osteoporosis, Cortical Dysplasia, and Cerebellar Atrophy	D008607
C564264	Growth Failure, Microcephaly, Mental Retardation, Cataracts, Large Joint Contractures, Osteoporosis, Cortical Dysplasia, and Cerebellar Atrophy	D010024
C564264	Growth Failure, Microcephaly, Mental Retardation, Cataracts, Large Joint Contractures, Osteoporosis, Cortical Dysplasia, and Cerebellar Atrophy	D013132
C564264	Growth Failure, Microcephaly, Mental Retardation, Cataracts, Large Joint Contractures, Osteoporosis, Cortical Dysplasia, and Cerebellar Atrophy	D054220
C564948	Neuropathy, Hereditary Sensory, with Spastic Paraplegia, Autosomal Recessive	D015417
C565246	Kondoh Syndrome	D003286
C565246	Kondoh Syndrome	D006130
C565246	Kondoh Syndrome	D008607
C565246	Kondoh Syndrome	D019465
C565273	Arthropathy, Erosive	D003286
C565273	Arthropathy, Erosive	D012868
C565273	Arthropathy, Erosive	D019465
C565441	Leukemia, Acute Myelocytic, with Polyposis Coli and Colon Cancer	D011125
C565441	Leukemia, Acute Myelocytic, with Polyposis Coli and Colon Cancer	D015470
C566361	Microcephaly, Facial Abnormalities, Micromelia, and Mental Retardation	D008607
C566361	Microcephaly, Facial Abnormalities, Micromelia, and Mental Retardation	D019465
C566378	Osteosclerotic Chondrodysplasia, Lethal, With Intracellular Inclusions	D002479
C566378	Osteosclerotic Chondrodysplasia, Lethal, With Intracellular Inclusions	D010026
C563291	Epiphyseal Dysplasia, Multiple, with Robin Phenotype	D002972
C563291	Epiphyseal Dysplasia, Multiple, with Robin Phenotype	D008844
C563291	Epiphyseal Dysplasia, Multiple, with Robin Phenotype	D010009
C563291	Epiphyseal Dysplasia, Multiple, with Robin Phenotype	D017880
C566655	Steinfeld Syndrome	D006330
C566655	Steinfeld Syndrome	D016142
C566655	Steinfeld Syndrome	D017880
C566672	Spinal Muscular Atrophy, Proximal, Adult, Autosomal Dominant	D009134
C567445	Hunter-Macdonald Syndrome	D000015
C567445	Hunter-Macdonald Syndrome	D008579
C567480	Xmpma	D020389
C567481	Scapuloperoneal Myopathy, FHL1-Related	D020389
C567591	Emery-Dreifuss Muscular Dystrophy 6	D020389
C567850	Microcephaly-Faciocardioskeletal Syndrome	D000015
C567850	Microcephaly-Faciocardioskeletal Syndrome	D004392
C567850	Microcephaly-Faciocardioskeletal Syndrome	D008831
C567850	Microcephaly-Faciocardioskeletal Syndrome	D019066
C536024	Dystonia, familial, with visual failure and striatal lucencies	D004421
C536024	Dystonia, familial, with visual failure and striatal lucencies	D029242
C563067	Hypospadias-Mental Retardation Syndrome	D007021
C563067	Hypospadias-Mental Retardation Syndrome	D007593
C563067	Hypospadias-Mental Retardation Syndrome	D008607
C563067	Hypospadias-Mental Retardation Syndrome	D008831
C563067	Hypospadias-Mental Retardation Syndrome	D009264
C563455	Dermoid Cysts, Familial Frontonasal	D003884
C563455	Dermoid Cysts, Familial Frontonasal	D009669
C563810	Mental Retardation with Optic Atrophy, Facial Dysmorphism, Microcephaly, and Short Stature	D006130
C563810	Mental Retardation with Optic Atrophy, Facial Dysmorphism, Microcephaly, and Short Stature	D008607
C563810	Mental Retardation with Optic Atrophy, Facial Dysmorphism, Microcephaly, and Short Stature	D009896
C563810	Mental Retardation with Optic Atrophy, Facial Dysmorphism, Microcephaly, and Short Stature	D019465
C564021	Atpase Deficiency, Nuclear-Encoded	D007888
C537992	Hereditary motor and sensory neuropathy 2 C	D002607
C567688	Factor XIII, B Subunit, Deficiency Of	D005177
C567687	Focal Segmental Glomerulosclerosis 5	D005923
C567691	Factor Xiii, A Subunit, Deficiency Of	D005177
C567691	Factor Xiii, A Subunit, Deficiency Of	D026122
C565831	Glomerulosclerosis, Focal Segmental, 2	D005923
C566169	Cardiomyopathy, Familial Hypertrophic, 4	D024741
C567684	Cardiomyopathy, Familial Hypertrophic, 14	D024741
C566005	Cardiomyopathy, Familial Hypertrophic, 1	D024741
C567419	Cardiomyopathy, Familial Hypertrophic, 11	D024741
C567677	Corneal Dystrophy, Fuchs Endothelial, 4	D005642
C567675	Corneal Dystrophy, Fuchs Endothelial, 6	D005642
C536527	Van Buchem Disease, Type 2	D008334
C536527	Van Buchem Disease, Type 2	D010009
C536527	Van Buchem Disease, Type 2	D012886
C536527	Van Buchem Disease, Type 2	D019465
C538639	Sarcoma, Breast, Leukemia, and Adrenal Gland (SBLA) Syndrome	D016864
C564211	Growth Retardation, Aged Facies, Normal Development, Decreased Subcutaneous Fat, Autosomal Dominant Inheritance	D005317
C564211	Growth Retardation, Aged Facies, Normal Development, Decreased Subcutaneous Fat, Autosomal Dominant Inheritance	D019066
C538617	Thrombocytopenia, Paris-Trousseau Type	D054868
C535896	Muscular Dystrophy, Limb-Girdle, Type 2F	D058088
C538401	Lethal autosomal recessive arthrogryposis multiplex congenita with whistling face and calcifications of the nervous system	D001176
C538401	Lethal autosomal recessive arthrogryposis multiplex congenita with whistling face and calcifications of the nervous system	D019465
C538049	Congenital profound sensorineural deafness and oligodontia	D000848
C538049	Congenital profound sensorineural deafness and oligodontia	D006319
C537830	Macrosomia microphthalmia cleft palate	D000015
C537830	Macrosomia microphthalmia cleft palate	D002972
C537830	Macrosomia microphthalmia cleft palate	D005320
C537830	Macrosomia microphthalmia cleft palate	D008850
C538006	Dystonia 2, Torsion, Autosomal Recessive	D004422
C537240	Parkinson-Dementia Syndrome	D010300
C537240	Parkinson-Dementia Syndrome	D013494
C538078	Deafness with Charcot-Marie-Tooth Disease	D002607
C538078	Deafness with Charcot-Marie-Tooth Disease	D006319
C538287	Microcornea cataract syndrome	D002386
C538287	Microcornea cataract syndrome	D003316
C537974	Camptodactyly with Fibrous Tissue Hyperplasia and Skeletal Dysplasia	D001848
C537974	Camptodactyly with Fibrous Tissue Hyperplasia and Skeletal Dysplasia	D005357
C537974	Camptodactyly with Fibrous Tissue Hyperplasia and Skeletal Dysplasia	D006228
C537974	Camptodactyly with Fibrous Tissue Hyperplasia and Skeletal Dysplasia	D009135
C536426	Cleft Palate, X-Linked	D002972
C536426	Cleft Palate, X-Linked	D040181
C537361	Methylmalonic Acidemia, cblB Type	D000592
C535796	Spondylometaphyseal Dysplasia, East African Type	D010009
C536184	Ectopia Lentis, Isolated	D004479
C536620	Trigonocephaly, short stature, and retarded psychomotor development	D000015
C536620	Trigonocephaly, short stature, and retarded psychomotor development	D006130
C536620	Trigonocephaly, short stature, and retarded psychomotor development	D019465
C531673	Childhood ependymoma	D004806
C538125	Alopecia, macular degeneration, and growth retardation	D000505
C538125	Alopecia, macular degeneration, and growth retardation	D003317
C538125	Alopecia, macular degeneration, and growth retardation	D006130
C537129	Charcot-Marie-Tooth Neuropathy, X-Linked Recessive, 5	D006313
C537129	Charcot-Marie-Tooth Neuropathy, X-Linked Recessive, 5	D011115
C537129	Charcot-Marie-Tooth Neuropathy, X-Linked Recessive, 5	D015418
C537129	Charcot-Marie-Tooth Neuropathy, X-Linked Recessive, 5	D020966
C537360	Methylmalonic Aciduria, cblA Type	D000592
C536711	Severe microcephaly and self-limiting dilated cardiomyopathy	D002311
C536711	Severe microcephaly and self-limiting dilated cardiomyopathy	D008607
C536711	Severe microcephaly and self-limiting dilated cardiomyopathy	D008831
C535557	Ablepharon-Macrostomia Syndrome	D000015
C535557	Ablepharon-Macrostomia Syndrome	D005124
C535557	Ablepharon-Macrostomia Syndrome	D008265
C536339	Porokeratosis, Disseminated Superficial Actinic, 1	D017499
C536331	Postaxial Polydactyly with progressive myopia	D009216
C536331	Postaxial Polydactyly with progressive myopia	D017689
C535350	Ectodermal dysplasia and cerebellar ataxia	D002524
C535350	Ectodermal dysplasia and cerebellar ataxia	D004476
C535336	Cataract-Alopecia-Sclerodactyly Syndrome	D000505
C535336	Cataract-Alopecia-Sclerodactyly Syndrome	D002386
C535336	Cataract-Alopecia-Sclerodactyly Syndrome	D012594
C535582	Cardiomyopathy-Hypogonadism-Collagenoma Syndrome	D003095
C535582	Cardiomyopathy-Hypogonadism-Collagenoma Syndrome	D007006
C535582	Cardiomyopathy-Hypogonadism-Collagenoma Syndrome	D009202
C535582	Cardiomyopathy-Hypogonadism-Collagenoma Syndrome	D012878
C535941	Chondrodysplasia Punctata, Brachytelephalangic, Autosomal	D002806
C535941	Chondrodysplasia Punctata, Brachytelephalangic, Autosomal	D040181
C567643	Rhabdoid Tumor Predisposition Syndrome 2	D018335
C535963	Cole-Carpenter Syndrome	D003398
C535963	Cole-Carpenter Syndrome	D005124
C535963	Cole-Carpenter Syndrome	D006849
C535963	Cole-Carpenter Syndrome	D010013
C535666	Curran syndrome	D004065
C535666	Curran syndrome	D017880
C536949	Al Awadi Teebi Farag syndrome	D010009
C563845	Carney Complex Variant	D056733
C563853	Transposition of the Great Arteries, Dextro-Looped 1	D014188
C563849	Desmin-Related Myopathy with Cataract	D002386
C563849	Desmin-Related Myopathy with Cataract	D009136
C563855	Pelizaeus-Merzbacher-Like Disease, 1	D020279
C563880	Robin Sequence with Distinctive Facial Appearance and Brachydactyly	D008607
C563880	Robin Sequence with Distinctive Facial Appearance and Brachydactyly	D010855
C563880	Robin Sequence with Distinctive Facial Appearance and Brachydactyly	D019066
C563880	Robin Sequence with Distinctive Facial Appearance and Brachydactyly	D059327
C535743	Congenital Disorder of Glycosylation, Type IE	D018981
C563882	Prostate Cancer, Hereditary, on Chromosome 7	D011471
C535279	Ciliary Dyskinesia, Primary, 4	D007619
C563895	ALS8	D000690
C563897	Hypertension, Diastolic, Resistance to	D006973
C563903	Atrial Fibrillation, Familial, 2	D001281
C563909	Postaxial Polydactyly, Type A4	D013576
C563909	Postaxial Polydactyly, Type A4	D017689
C531783	Deep gluteal syndrome	D012585
C531783	Deep gluteal syndrome	D055958
C575534	Finnish VLINCL	D009472
C535749	Congenital Disorder Of Glycosylation, Type IK	D018981
C536287	Ciliary Dyskinesia With Excessively Long Cilia	D001991
C536287	Ciliary Dyskinesia With Excessively Long Cilia	D002925
C536287	Ciliary Dyskinesia With Excessively Long Cilia	D012220
C536287	Ciliary Dyskinesia With Excessively Long Cilia	D012852
C538352	Pellagra-like rash with neurologic manifestations	D010383
C537774	Cataract, anterior polar 2	D002386
C537066	Flynn-Aird Syndrome	D002386
C537066	Flynn-Aird Syndrome	D002493
C537066	Flynn-Aird Syndrome	D003731
C537066	Flynn-Aird Syndrome	D006319
C537066	Flynn-Aird Syndrome	D007592
C537066	Flynn-Aird Syndrome	D012174
C537066	Flynn-Aird Syndrome	D012871
C537038	Epiphyseal dysplasia, microcephaly and nystagmus	D006130
C537038	Epiphyseal dysplasia, microcephaly and nystagmus	D008607
C537038	Epiphyseal dysplasia, microcephaly and nystagmus	D008831
C537038	Epiphyseal dysplasia, microcephaly and nystagmus	D010009
C536405	Neu-Laxova Syndrome	D000015
C536405	Neu-Laxova Syndrome	D001927
C536405	Neu-Laxova Syndrome	D005317
C536405	Neu-Laxova Syndrome	D007057
C536405	Neu-Laxova Syndrome	D008831
C536405	Neu-Laxova Syndrome	D017880
C537351	Early-onset regressive form of metaphyseal dysplasia	D010009
C537351	Early-onset regressive form of metaphyseal dysplasia	D017880
C557820	Oral-facial-digital syndrome 8	D009958
C535891	Lewis Pashayan syndrome	D002971
C535891	Lewis Pashayan syndrome	D002972
C535891	Lewis Pashayan syndrome	D012868
C537657	Basal Ganglia Calcification, Idiopathic, 2	D001480
C537657	Basal Ganglia Calcification, Idiopathic, 2	D002114
C535897	Muscular dystrophy, limb-girdle type 2H	D049288
C535755	CDG2C	D018981
C536846	Hypersensitivity pneumonitis familial	D000542
C535724	Moore Federman syndrome	D004392
C535724	Moore Federman syndrome	D005124
C535724	Moore Federman syndrome	D006228
C535724	Moore Federman syndrome	D007592
C535653	Palmoplantar keratoderma, punctate type 3	D007645
C537401	Teratoma, Pineal	D010871
C537401	Teratoma, Pineal	D013724
C537589	RS-SCID	D016511
C538613	Panhypopituitarism, X-Linked	D007018
C538613	Panhypopituitarism, X-Linked	D040181
C538240	Local, hypoplastic type of amelogenesis imperfecta	D000567
C537323	Microcephaly, Autosomal Dominant	D008831
C537564	Murk Jansen type metaphyseal chondrodysplasia	D010009
C537352	Metaphyseal Chondrodysplasia, Schmid Type	D010009
C537599	Short Rib Syndrome, Beemer Type	D012779
C537052	Alopecia-Epilepsy-Oligophrenia Syndrome Of Moynahan	D000505
C537052	Alopecia-Epilepsy-Oligophrenia Syndrome Of Moynahan	D004827
C537052	Alopecia-Epilepsy-Oligophrenia Syndrome Of Moynahan	D008607
C536019	Type 4 Achondrogenesis	D000130
C536018	Type 3 Achondrogenesis	D000130
C545036	Proteinuria, Low Molecular Weight, with Hypercalciuria and Nephrocalcinosis	D057973
C548071	Developmental Delay, Dysmorphic Features, Neonatal Spontaneous Fractures, Wrinkled Skin, And Hepatic Failure	D000015
C536326	Polycystic kidney disease, type 1	D007690
C567644	Chondrodysplasia, Megarbane-Dagher-Melki Type	D000015
C567644	Chondrodysplasia, Megarbane-Dagher-Melki Type	D002658
C567644	Chondrodysplasia, Megarbane-Dagher-Melki Type	D004392
C567644	Chondrodysplasia, Megarbane-Dagher-Melki Type	D010009
C567644	Chondrodysplasia, Megarbane-Dagher-Melki Type	D019066
C563248	Chondrodysplasia Punctata Due To Warfarin Teratogenicity	D002806
C567642	Lipodystrophy, Berardinelli-Seip Congenital, Type 4, With Muscular Dystrophy	D052497
C567641	Combined Immunodeficiency, Facial Dysmorphism, Optic Nerve Atrophy, Skeletal Anomalies, And Developmental Delay	D001848
C567641	Combined Immunodeficiency, Facial Dysmorphism, Optic Nerve Atrophy, Skeletal Anomalies, And Developmental Delay	D002658
C567641	Combined Immunodeficiency, Facial Dysmorphism, Optic Nerve Atrophy, Skeletal Anomalies, And Developmental Delay	D007153
C567641	Combined Immunodeficiency, Facial Dysmorphism, Optic Nerve Atrophy, Skeletal Anomalies, And Developmental Delay	D009901
C567641	Combined Immunodeficiency, Facial Dysmorphism, Optic Nerve Atrophy, Skeletal Anomalies, And Developmental Delay	D019066
C535316	46,XX Gonadal dysgenesis epibulbar dermoid	D003884
C535316	46,XX Gonadal dysgenesis epibulbar dermoid	D023961
C535316	46,XX Gonadal dysgenesis epibulbar dermoid	D041321
C576203	Alcohol fetopathy	D063647
C538144	Hemangiomas, Cavernous, of Face and Supraumbilical Midline Raphe	D005153
C538144	Hemangiomas, Cavernous, of Face and Supraumbilical Midline Raphe	D006392
C535477	Map-dot-fingerprint dystrophy of cornea	D055952
C567843	Myopathy, Myofibrillar, Bag3-Related	D020914
C567864	Marfanoid Habitus and Specific Language and Learning Disabilities	D007806
C567864	Marfanoid Habitus and Specific Language and Learning Disabilities	D007859
C567864	Marfanoid Habitus and Specific Language and Learning Disabilities	D019066
C538197	DFNA 22	D006319
C537315	Spinocerebellar Ataxia, X-Linked 3	D017827
C537315	Spinocerebellar Ataxia, X-Linked 3	D040181
C538063	Fronto-facio-nasal dysostosis	D004413
C538063	Fronto-facio-nasal dysostosis	D004677
C538063	Fronto-facio-nasal dysostosis	D005124
C538063	Fronto-facio-nasal dysostosis	D005146
C538063	Fronto-facio-nasal dysostosis	D009666
C538063	Fronto-facio-nasal dysostosis	D019465
C536498	Tetra-Amelia Syndrome	D004480
C563921	Corneal Opacities, Congenital, with Cornea Guttata and Corectopia	D003317
C563921	Corneal Opacities, Congenital, with Cornea Guttata and Corectopia	D011681
C563924	Adenomas, Multiple Colorectal, Autosomal Recessive	D011125
C563926	Inflammatory Bowel Disease 9	D015212
C536840	Recessive aplasia cutis congenita of the limbs	D002754
C536840	Recessive aplasia cutis congenita of the limbs	D004476
C563941	Pectus Excavatum, Macrocephaly, Short Stature, Dysplastic Nails	D005660
C563941	Pectus Excavatum, Macrocephaly, Short Stature, Dysplastic Nails	D006130
C563941	Pectus Excavatum, Macrocephaly, Short Stature, Dysplastic Nails	D009260
C563941	Pectus Excavatum, Macrocephaly, Short Stature, Dysplastic Nails	D058627
C563940	Angiokeratoma Corporis Diffusum with Arteriovenous Fistulas	D000795
C563940	Angiokeratoma Corporis Diffusum with Arteriovenous Fistulas	D001164
C563939	Hirschsprung Disease, Cardiac Defects, and Autonomic Dysfunction	D001342
C563939	Hirschsprung Disease, Cardiac Defects, and Autonomic Dysfunction	D006330
C563939	Hirschsprung Disease, Cardiac Defects, and Autonomic Dysfunction	D006627
C563938	Obesity, Hyperphagia, and Developmental Delay	D002658
C563938	Obesity, Hyperphagia, and Developmental Delay	D006963
C563938	Obesity, Hyperphagia, and Developmental Delay	D009765
C563937	Arterial Dissection with Lentiginosis	D007911
C563937	Arterial Dissection with Lentiginosis	D014652
C535487	Ring 14	D002883
C535487	Ring 14	D012303
C562492	Robinow Dwarfism	D004392
C562492	Robinow Dwarfism	D014564
C562492	Robinow Dwarfism	D017880
C562492	Robinow Dwarfism	D019465
C537126	Optic atrophy 5	D015418
C565287	DFNB27	D006319
C565310	PTCPRN	D002291
C565310	PTCPRN	D002292
C565310	PTCPRN	D013964
C566896	Myopathy, Congenital, With Excess Of Muscle Spindles	D009135
C563930	Epilepsy, Nocturnal Frontal Lobe, Type 1	D017034
C563929	Mental Retardation, Autosomal Recessive 3	D008607
C563948	Spinal Muscular Atrophy, Adult Form	D009134
C536669	Sjogren-Mikulicz syndrome	D001172
C536669	Sjogren-Mikulicz syndrome	D010309
C535885	Aplasia cutis cleft palate epidermolysis	D004476
C535885	Aplasia cutis cleft palate epidermolysis	D019465
C563949	Enteropathy, Familial, with Villous Edema and Immunoglobulin G2 Deficiency	D004487
C563949	Enteropathy, Familial, with Villous Edema and Immunoglobulin G2 Deficiency	D007153
C563949	Enteropathy, Familial, with Villous Edema and Immunoglobulin G2 Deficiency	D011504
C563950	Band Heterotopia of Brain	D054221
C563989	Ceroid Lipofuscinosis, Neuronal, 7	D009472
C535353	Cerebellar hypoplasia with endosteal sclerosis	D002524
C535353	Cerebellar hypoplasia with endosteal sclerosis	D010026
C535374	Dermatopathia pigmentosa reticularis	D000505
C535374	Dermatopathia pigmentosa reticularis	D009260
C535374	Dermatopathia pigmentosa reticularis	D012878
C535374	Dermatopathia pigmentosa reticularis	D017495
C538351	Cap Myopathy, Tpm2-Related	D017696
C538348	Cap Myopathy, Tpm3-Related	D017696
C563482	Otodental Syndrome With Coloboma	D002872
C563482	Otodental Syndrome With Coloboma	D002880
C563482	Otodental Syndrome With Coloboma	D003103
C563482	Otodental Syndrome With Coloboma	D006319
C563482	Otodental Syndrome With Coloboma	D014071
C563482	Otodental Syndrome With Coloboma	D025063
C567661	Progeria Syndrome, Childhood-Onset	D011371
C567658	Polymicrogyria, Asymmetric	D054220
C567650	Diamond-Blackfan Anemia 9	D029503
C567649	Diamond-Blackfan Anemia 10	D029503
C567253	Diamond-Blackfan Anemia 8	D029503
C567390	Mitochondrial Hsp60 Chaperonopathy	D020279
C567390	Mitochondrial Hsp60 Chaperonopathy	D028361
C567738	HSAN2A	D009477
C580095	Osteochondritis Dissecans, Short Stature, and Early-Onset Osteoarthritis	D010008
C580335	Isolated Hpe	D016142
C536546	Tremor, Hereditary Essential, 2	D014202
C536546	Tremor, Hereditary Essential, 2	D015417
C535479	Fuchs' endothelial corneal dystrophy 2	D005642
C536409	Neural Tube Defects, Folate-Sensitive	D000757
C535993	Jackson Barr syndrome	D001763
C535993	Jackson Barr syndrome	D001848
C535993	Jackson Barr syndrome	D006314
C535471	Familial congenital cornea guttata with anterior polar cataracts	D002386
C535471	Familial congenital cornea guttata with anterior polar cataracts	D005642
C537117	Leopard Syndrome 2	D044542
C536781	Congenital alopecia and nail dystrophy associated with severe functional T-cell immunodeficiency	D000505
C536781	Congenital alopecia and nail dystrophy associated with severe functional T-cell immunodeficiency	D009260
C536781	Congenital alopecia and nail dystrophy associated with severe functional T-cell immunodeficiency	D016511
C535728	Dysautonomia-Like Disorder	D054969
C535615	Hirschsprung's disease, hypoplastic nails, and minor dysmorphic features	D006627
C535615	Hirschsprung's disease, hypoplastic nails, and minor dysmorphic features	D009260
C535615	Hirschsprung's disease, hypoplastic nails, and minor dysmorphic features	D019066
C535623	Hall-Riggs Mental Retardation Syndrome	D001848
C535623	Hall-Riggs Mental Retardation Syndrome	D008607
C535623	Hall-Riggs Mental Retardation Syndrome	D019465
C537159	Hypotonia, Congenital Nystagmus, Ataxia, And Abnormal Auditory Brainstem Responses	D001259
C537159	Hypotonia, Congenital Nystagmus, Ataxia, And Abnormal Auditory Brainstem Responses	D003711
C537159	Hypotonia, Congenital Nystagmus, Ataxia, And Abnormal Auditory Brainstem Responses	D009123
C537159	Hypotonia, Congenital Nystagmus, Ataxia, And Abnormal Auditory Brainstem Responses	D020417
C536653	Premature aging syndrome Penttinen type	D011371
C536653	Premature aging syndrome Penttinen type	D017880
C536653	Premature aging syndrome Penttinen type	D030981
C536010	Achalasia-Microcephaly Syndrome	D004931
C536010	Achalasia-Microcephaly Syndrome	D008831
C536000	Acanthosis Nigricans With Muscle Cramps And Acral Enlargement	D000052
C536000	Acanthosis Nigricans With Muscle Cramps And Acral Enlargement	D006628
C536000	Acanthosis Nigricans With Muscle Cramps And Acral Enlargement	D009120
C535616	Cherubism, optic atrophy and short stature	D002636
C535616	Cherubism, optic atrophy and short stature	D006130
C535616	Cherubism, optic atrophy and short stature	D009896
C567461	Pulmonary Alveolar Proteinosis, Congenital, 4	D011649
C567461	Pulmonary Alveolar Proteinosis, Congenital, 4	D040181
C536276	Cerebral Calcification, Nonarteriosclerotic, Idiopathic, Childhood-Onset	D001480
C536276	Cerebral Calcification, Nonarteriosclerotic, Idiopathic, Childhood-Onset	D002114
C535738	Giroux Barbeau Syndrome	D001259
C535738	Giroux Barbeau Syndrome	D012873
C564473	MYP13	D009216
C564473	MYP13	D040181
C563951	Parotid Salivary Glands, Polycystic Disease of	D012466
C538338	Palpebral coloboma lipoma Syndrome	D000015
C538338	Palpebral coloboma lipoma Syndrome	D003103
C538338	Palpebral coloboma lipoma Syndrome	D005142
C538338	Palpebral coloboma lipoma Syndrome	D008067
C535278	Ciliary Dyskinesia, Primary, 3	D007619
C537494	Stickler Syndrome, Type III	D001168
C537494	Stickler Syndrome, Type III	D003240
C537004	Leigh Syndrome, French-Canadian Type	D007888
C537004	Leigh Syndrome, French-Canadian Type	D030401
C537421	Cafe-au-Lait Spots, Multiple	D019080
C535499	EPRPDC	D004421
C535499	EPRPDC	D019305
C535499	EPRPDC	D020821
C535559	CHARGE like syndrome, X linked	D006314
C535559	CHARGE like syndrome, X linked	D017880
C535559	CHARGE like syndrome, X linked	D019767
C535559	CHARGE like syndrome, X linked	D040181
C536089	Myasthenia, familial limb-girdle	D020294
C538265	Familial Adenomatous Polyposis, Attenuated	D011125
C536710	Deafness, Sensorineural, With Pituitary Dwarfism	D004393
C536710	Deafness, Sensorineural, With Pituitary Dwarfism	D006319
C536923	Ptosis vocal cord paralysis	D001763
C536923	Ptosis vocal cord paralysis	D014826
C537093	Brachydactyly Haws type	D059327
C537088	Brachydactyly, Type A1	D059327
C537087	Dominant preaxial brachydactyly with hallux varus and thumb abduction	D050488
C537087	Dominant preaxial brachydactyly with hallux varus and thumb abduction	D059327
C565236	Deafness, Sensorineural, with Hypertrophic Cardiomyopathy	D002312
C565236	Deafness, Sensorineural, with Hypertrophic Cardiomyopathy	D006319
C565240	Paget Disease Of Bone 4	D010001
C565247	Nonmedullary Thyroid Carcinoma 1	D013964
C565249	Atrioventricular Septal Defect, Partial, with Heterotaxy Syndrome	D006343
C565249	Atrioventricular Septal Defect, Partial, with Heterotaxy Syndrome	D059446
C537587	Sertoli cell-only syndrome, type 1	D050174
C537587	Sertoli cell-only syndrome, type 1	D054331
C536093	Cml-Like Syndrome, Familial	D007951
C536093	Cml-Like Syndrome, Familial	D009386
C563134	SCAX1	D009849
C563134	SCAX1	D020754
C563134	SCAX1	D040181
