MESH_ID	MESH_NAME	PARENT_MESH_ID	PARENT_MESH_CATEGORY	ROOT_MESH_CATEGORY	LEVEL
D012562	Schizophrenia, Disorganized	D012559	F03.700.750	F03	2
D012563	Schizophrenia, Paranoid	D012559	F03.700.750	F03	2
D000592	Amino Acid Metabolism, Inborn Errors	D008661	C16.320.565	C16	2
D000592	Amino Acid Metabolism, Inborn Errors	D008661	C18.452.648	C18	2
D000568	Amenorrhea	D008599	C23.550.568	C23	2
D000567	Amelogenesis Imperfecta	D003744	C07.650.800.255	C07	3
D000567	Amelogenesis Imperfecta	D003744	C07.793.700.255	C07	3
D000567	Amelogenesis Imperfecta	D003744	C16.131.850.800.255	C16	4
D000564	Ameloblastoma	D009808	C04.557.695	C04	2
D000562	Amebiasis	D011528	C03.752	C03	1
D012544	Scheuermann Disease	D055035	C05.116.821.500	C05	3
D012544	Scheuermann Disease	D007738	C05.116.900.800.500	C05	4
D012544	Scheuermann Disease	D055035	C05.116.900.808	C05	3
D012541	Scarlet Fever	D013290	C01.252.410.890	C01	3
D012557	Schizoid Personality Disorder	D010554	F03.675	F03	1
D012555	Schistosomiasis mansoni	D012552	C03.335.865.859	C03	3
D012559	Schizophrenia	D019967	F03.700	F03	1
D012553	Schistosomiasis haematobia	D014552	C01.539.895	C01	2
D012553	Schistosomiasis haematobia	D012552	C03.335.865.859	C03	3
D012553	Schistosomiasis haematobia	D014552	C12.777.892	C12	2
D012553	Schistosomiasis haematobia	D014552	C13.351.968.892	C13	3
D012554	Schistosomiasis japonica	D012552	C03.335.865.859	C03	3
D012552	Schistosomiasis	D014201	C03.335.865	C03	2
D000544	Alzheimer Disease	D003704	C10.228.140.380	C10	3
D000544	Alzheimer Disease	D024801	C10.574.945	C10	2
D000544	Alzheimer Disease	D003704	F03.615.400	F03	2
D000542	Alveolitis, Extrinsic Allergic	D017563	C08.381.483	C08	2
D000542	Alveolitis, Extrinsic Allergic	D012130	C08.674	C08	1
D000542	Alveolitis, Extrinsic Allergic	D012130	C20.543.480.680	C20	3
D012523	Sarcocystosis	D003048	C03.752.250	C03	2
D000550	Amblyopia	D001927	C10.228.140	C10	2
D000550	Amblyopia	D014786	C10.597.751.941	C10	3
D000550	Amblyopia	D014786	C11.966	C11	1
D000550	Amblyopia	D014786	C23.888.592.763.941	C23	4
D012536	Scalp Dermatoses	D012871	C17.800	C17	1
D012532	Scabies	D008924	C03.858.211.480	C03	3
D012532	Scabies	D012876	C17.800.838.775	C17	3
D012509	Sarcoma	D018204	C04.557.450	C04	2
D012507	Sarcoidosis	D008232	C15.604.515	C15	2
D000532	Altitude Sickness	D012120	C08.618	C08	1
D012513	Sarcoma, Experimental	D012509	C04.557.450.795	C04	3
D012513	Sarcoma, Experimental	D009374	C04.619	C04	1
D012513	Sarcoma, Experimental	D009374	E05.598.500.496	E05	3
D012514	Sarcoma, Kaposi	D006566	C02.256.466	C02	2
D012514	Sarcoma, Kaposi	D012509	C04.557.450.795	C04	3
D012514	Sarcoma, Kaposi	D009383	C04.557.645	C04	2
D012511	Sarcoma 37	D012513	C04.557.450.795.830	C04	4
D012511	Sarcoma 37	D012513	C04.619.857	C04	2
D012512	Sarcoma, Ewing	D012516	C04.557.450.565.575.650	C04	5
D012512	Sarcoma, Ewing	D012516	C04.557.450.795.620	C04	4
D012517	Sarcoma, Yoshida	D012513	C04.557.450.795.830	C04	4
D012517	Sarcoma, Yoshida	D012513	C04.619.857	C04	2
D012515	Mast-Cell Sarcoma	D008415	C04.557.450.565.465	C04	4
D012516	Osteosarcoma	D018213	C04.557.450.565.575	C04	4
D012516	Osteosarcoma	D012509	C04.557.450.795	C04	3
D012510	Sarcoma 180	D012513	C04.557.450.795.830	C04	4
D012510	Sarcoma 180	D012513	C04.619.857	C04	2
D000506	Alopecia Areata	D000505	C17.800.329.937.122	C17	4
D000505	Alopecia	D007039	C17.800.329.937	C17	3
D000505	Alopecia	D020763	C23.300	C23	1
D000507	Mucinosis, Follicular	D017520	C17.300.550	C17	2
D000507	Mucinosis, Follicular	D000505	C17.800.329.937.122	C17	4
D000507	Mucinosis, Follicular	D012625	C17.800.794	C17	2
D000608	Renal Aminoacidurias	D015499	C12.777.419.815	C12	3
D000608	Renal Aminoacidurias	D015499	C13.351.968.419.815	C13	4
D000608	Renal Aminoacidurias	D015499	C16.320.565.861	C16	3
D000608	Renal Aminoacidurias	D015499	C18.452.648.861	C18	3
D048629	Micronuclei, Chromosome-Defective	D002467	A11.284.430.106	A11	3
D048629	Micronuclei, Chromosome-Defective	D002467	A11.284.430.214.190.875.117	A11	6
D048629	Micronuclei, Chromosome-Defective	D002869	C23.550.210	C23	2
D048629	Micronuclei, Chromosome-Defective	D002869	G05.365.590.175	G05	3
D034062	Insomnia, Fatal Familial	D017096	C10.228.228.800	C10	3
D034062	Insomnia, Fatal Familial	D017096	C10.574.843	C10	2
D034062	Insomnia, Fatal Familial	D007319	C10.886.425.800.800	C10	4
D009087	Mucopolysaccharidosis VI	D009083	C16.320.565.202.715	C16	4
D009087	Mucopolysaccharidosis VI	D009083	C16.320.565.595.600	C16	4
D009087	Mucopolysaccharidosis VI	D009083	C17.300.550.575	C17	3
D009087	Mucopolysaccharidosis VI	D009083	C18.452.648.202.715	C18	4
D009087	Mucopolysaccharidosis VI	D009083	C18.452.648.595.600	C18	4
D009085	Mucopolysaccharidosis IV	D009083	C16.320.565.202.715	C16	4
D009085	Mucopolysaccharidosis IV	D009083	C16.320.565.595.600	C16	4
D009085	Mucopolysaccharidosis IV	D009083	C17.300.550.575	C17	3
D009085	Mucopolysaccharidosis IV	D009083	C18.452.648.202.715	C18	4
D009085	Mucopolysaccharidosis IV	D009083	C18.452.648.595.600	C18	4
D009084	Mucopolysaccharidosis III	D009083	C16.320.565.202.715	C16	4
D009084	Mucopolysaccharidosis III	D009083	C16.320.565.595.600	C16	4
D009084	Mucopolysaccharidosis III	D009083	C17.300.550.575	C17	3
D009084	Mucopolysaccharidosis III	D009083	C18.452.648.202.715	C18	4
D009084	Mucopolysaccharidosis III	D009083	C18.452.648.595.600	C18	4
D009083	Mucopolysaccharidoses	D002239	C16.320.565.202	C16	3
D009083	Mucopolysaccharidoses	D016464	C16.320.565.595	C16	3
D009083	Mucopolysaccharidoses	D017520	C17.300.550	C17	2
D009083	Mucopolysaccharidoses	D002239	C18.452.648.202	C18	3
D009083	Mucopolysaccharidoses	D016464	C18.452.648.595	C18	3
D009081	Mucolipidoses	D001851	C05.116.198	C05	2
D009081	Mucolipidoses	D020140	C10.228.140.163.100.435	C10	5
D009081	Mucolipidoses	D020140	C16.320.565.189.435	C16	4
D009081	Mucolipidoses	D002239	C16.320.565.202	C16	3
D009081	Mucolipidoses	D020140	C16.320.565.595.554	C16	4
D009081	Mucolipidoses	D020140	C18.452.132.100.435	C18	4
D009081	Mucolipidoses	D020140	C18.452.648.189.435	C18	4
D009081	Mucolipidoses	D002239	C18.452.648.202	C18	3
D009081	Mucolipidoses	D020140	C18.452.648.595.554	C18	4
D009080	Mucocutaneous Lymph Node Syndrome	D014657	C14.907.940	C14	2
D009080	Mucocutaneous Lymph Node Syndrome	D008206	C15.604	C15	1
D009080	Mucocutaneous Lymph Node Syndrome	D017445	C17.800.862	C17	2
D009091	Mucormycosis	D020096	C01.703.980	C01	2
D010048	Ovarian Cysts	D003560	C04.182	C04	1
D010048	Ovarian Cysts	D010049	C13.351.500.056.630	C13	4
D010048	Ovarian Cysts	D010049	C19.391.630	C19	2
D009069	Movement Disorders	D002493	C10.228	C10	1
D010049	Ovarian Diseases	D000291	C13.351.500.056	C13	3
D010049	Ovarian Diseases	D006058	C19.391	C19	1
D009066	Mouth, Edentulous	D009059	C07.465	C07	1
D009066	Mouth, Edentulous	D014076	C07.793	C07	1
D009062	Mouth Neoplasms	D006258	C04.588.443	C04	2
D009062	Mouth Neoplasms	D009059	C07.465	C07	1
D010040	Otosclerosis	D004427	C09.218	C09	1
D009078	Mucocele	D003560	C04.182	C04	1
D010051	Ovarian Neoplasms	D004701	C04.588.322	C04	2
D010051	Ovarian Neoplasms	D010049	C13.351.500.056.630	C13	4
D010051	Ovarian Neoplasms	D005833	C13.351.937.418	C13	3
D010051	Ovarian Neoplasms	D004701	C19.344	C19	1
D010051	Ovarian Neoplasms	D010049	C19.391.630	C19	2
D009072	Moyamoya Disease	D002340	C10.228.140.300.200	C10	4
D009072	Moyamoya Disease	D002539	C10.228.140.300.510.200	C10	5
D009072	Moyamoya Disease	D001157	C14.907.137	C14	2
D009072	Moyamoya Disease	D002340	C14.907.253.123	C14	3
D009072	Moyamoya Disease	D002539	C14.907.253.560.200	C14	4
D010026	Osteosclerosis	D010009	C05.116.099.708	C05	3
D010025	Osteoradionecrosis	D011832	C26.733	C26	1
D010025	Osteoradionecrosis	D011832	G01.750.748.500	G01	3
D010029	Ostertagiasis	D014252	C03.335.508.700.775.825	C03	5
D009041	Motion Sickness	D012816	C23.888	C23	1
D010020	Osteonecrosis	D001847	C05.116	C05	1
D010020	Osteonecrosis	D009336	C23.550.717	C23	2
D010022	Osteopetrosis	D010026	C05.116.099.708.702	C05	4
D010024	Osteoporosis	D001851	C05.116.198	C05	2
D010024	Osteoporosis	D001851	C18.452.104	C18	2
D010023	Osteopoikilosis	D010026	C05.116.099.708.702	C05	4
D010023	Osteopoikilosis	D003240	C17.300	C17	1
D009059	Mouth Diseases	D009057	C07	C07	0
D009058	Mouth Breathing	D012120	C08.618	C08	1
D009058	Mouth Breathing	D012818	C23.888.852	C23	2
D009057	Stomatognathic Diseases	D009057	C07	C07	0
D010039	Otorhinolaryngologic Neoplasms	D006258	C04.588.443	C04	2
D010039	Otorhinolaryngologic Neoplasms	D010038	C09	C09	0
D009056	Mouth Abnormalities	D009059	C07.465	C07	1
D009056	Mouth Abnormalities	D018640	C07.650	C07	1
D009056	Mouth Abnormalities	D018640	C16.131.850	C16	2
D010038	Otorhinolaryngologic Diseases	D010038	C09	C09	0
D009050	Fluorosis, Dental	D014076	C07.793	C07	1
D010031	Otitis	D004427	C09.218	C09	1
D010033	Otitis Media	D010031	C09.218.705	C09	2
D010032	Otitis Externa	D010031	C09.218.705	C09	2
D010035	Otitis Media, Suppurative	D013492	C01.539.830	C01	2
D010035	Otitis Media, Suppurative	D010033	C09.218.705.663	C09	3
D010034	Otitis Media with Effusion	D010033	C09.218.705.663	C09	3
D000686	Amyloidosis	D057165	C18.452.845	C18	2
D010004	Osteoarthropathy, Primary Hypertrophic	D001847	C05.116	C05	1
D010004	Osteoarthropathy, Primary Hypertrophic	D007592	C05.550	C05	1
D010004	Osteoarthropathy, Primary Hypertrophic	D030342	C16.320	C16	1
D010003	Osteoarthritis	D001168	C05.550.114	C05	2
D010003	Osteoarthritis	D012216	C05.799	C05	1
D010005	Osteoarthropathy, Secondary Hypertrophic	D001847	C05.116	C05	1
D010005	Osteoarthropathy, Secondary Hypertrophic	D007592	C05.550	C05	1
D010008	Osteochondritis Dissecans	D010007	C05.116.791	C05	2
D009021	Morphine Dependence	D009293	C25.775.675	C25	2
D009021	Morphine Dependence	D009293	F03.900.675	F03	2
D010007	Osteochondritis	D001847	C05.116	C05	1
D010007	Osteochondritis	D002357	C05.182	C05	1
D010007	Osteochondritis	D002357	C17.300.182	C17	2
D010009	Osteochondrodysplasias	D001848	C05.116.099	C05	2
D010009	Osteochondrodysplasias	D030342	C16.320	C16	1
D010000	Osteitis	D001847	C05.116	C05	1
D010002	Osteitis Fibrosa Cystica	D001849	C05.116.132	C05	2
D010001	Osteitis Deformans	D001847	C05.116	C05	1
D000699	Pain Insensitivity, Congenital	D010523	C10.668.829	C10	2
D000699	Pain Insensitivity, Congenital	D030342	C16.320	C16	1
D000690	Amyotrophic Lateral Sclerosis	D013118	C10.228.854	C10	2
D000690	Amyotrophic Lateral Sclerosis	D016472	C10.574.562	C10	2
D000690	Amyotrophic Lateral Sclerosis	D057177	C10.574.950	C10	2
D000690	Amyotrophic Lateral Sclerosis	D016472	C10.668.467	C10	2
D000690	Amyotrophic Lateral Sclerosis	D057177	C18.452.845.800	C18	3
D000694	Anal Gland Neoplasms	D009371	C04.588	C04	1
D000694	Anal Gland Neoplasms	D001005	C04.588.274.476.411.307.790.040	C04	7
D000694	Anal Gland Neoplasms	D001005	C06.301.371.411.307.790.040	C06	6
D000694	Anal Gland Neoplasms	D001005	C06.405.249.411.307.790.040	C06	6
D000694	Anal Gland Neoplasms	D001005	C06.405.469.491.307.790.040	C06	6
D000694	Anal Gland Neoplasms	D001005	C06.405.469.860.101.163	C06	5
D000694	Anal Gland Neoplasms	D001005	C06.405.469.860.180.500.040	C06	6
D000694	Anal Gland Neoplasms	D000820	C22	C22	0
D010015	Osteolysis, Essential	D001848	C05.116.099	C05	2
D010015	Osteolysis, Essential	D010014	C05.116.264.579	C05	3
D012678	Sensation Disorders	D009461	C10.597	C10	1
D012678	Sensation Disorders	D009461	C23.888.592	C23	2
D010014	Osteolysis	D001862	C05.116.264	C05	2
D010014	Osteolysis	D001862	G11.427.213.150	G11	3
D010017	Osteoma, Osteoid	D010016	C04.557.450.565.575.625	C04	5
D010016	Osteoma	D018213	C04.557.450.565.575	C04	4
D010019	Osteomyelitis	D001850	C01.539.160	C01	2
D010019	Osteomyelitis	D001850	C05.116.165	C05	2
D010018	Osteomalacia	D012279	C05.116.198.816	C05	3
D010018	Osteomalacia	D012279	C18.452.104.816	C18	3
D010018	Osteomalacia	D012279	C18.452.174.845	C18	3
D010018	Osteomalacia	D012279	C18.654.521.500.133.770.734	C18	6
D010013	Osteogenesis Imperfecta	D010009	C05.116.099.708	C05	3
D010013	Osteogenesis Imperfecta	D030342	C16.320	C16	1
D010013	Osteogenesis Imperfecta	D003095	C17.300.200	C17	2
D012640	Seizures	D009461	C10.597	C10	1
D012640	Seizures	D009461	C23.888.592	C23	2
D009008	Abnormalities, Severe Teratoid	D000013	C16.131	C16	1
D000673	Amputation, Traumatic	D014947	C26	C26	0
D009006	Monosomy	D000782	C23.550.210.050	C23	3
D009006	Monosomy	D000782	G05.365.590.175.050	G05	4
D009006	Monosomy	D000782	G05.700.131	G05	2
D009011	Monteggia's Fracture	D000072039	C05.550.518.336	C05	3
D009011	Monteggia's Fracture	D000072039	C26.289.336	C26	2
D009011	Monteggia's Fracture	D014458	C26.404.937	C26	2
D012652	Self Mutilation	D014947	C26	C26	0
D012652	Self Mutilation	D016728	F01.145.126.980	F01	3
D000648	Amnesia, Retrograde	D000647	C10.597.606.525.100	C10	4
D000648	Amnesia, Retrograde	D000647	C23.888.592.604.529.100	C23	5
D000648	Amnesia, Retrograde	D000647	F01.700.625.100	F01	3
D000648	Amnesia, Retrograde	D000647	F03.615.200	F03	2
D000647	Amnesia	D008569	C10.597.606.525	C10	3
D000647	Amnesia	D008569	C23.888.592.604.529	C23	4
D000647	Amnesia	D008569	F01.700.625	F01	2
D000647	Amnesia	D019965	F03.615	F03	1
D012628	Dermatitis, Seborrheic	D003872	C17.800.174	C17	2
D012628	Dermatitis, Seborrheic	D012625	C17.800.794	C17	2
D012628	Dermatitis, Seborrheic	D017443	C17.800.815	C17	2
D012628	Dermatitis, Seborrheic	D017444	C17.800.859	C17	2
D012625	Sebaceous Gland Diseases	D012871	C17.800	C17	1
D012626	Sebaceous Gland Neoplasms	D012878	C04.588.805	C04	2
D012626	Sebaceous Gland Neoplasms	D012625	C17.800.794	C17	2
D012626	Sebaceous Gland Neoplasms	D012878	C17.800.882	C17	2
D000652	Amniotic Band Syndrome	D007232	C16.614	C16	1
D012607	Scotoma	D014786	C10.597.751.941	C10	3
D012607	Scotoma	D014786	C11.966	C11	1
D012607	Scotoma	D014786	C23.888.592.763.941	C23	4
D012608	Scrapie	D017096	C10.228.228.800	C10	3
D012608	Scrapie	D017096	C10.574.843	C10	2
D012608	Scrapie	D012757	C22.836	C22	1
D012600	Scoliosis	D013121	C05.116.900.800	C05	3
D012618	Sea-Blue Histiocyte Syndrome	D013106	C10.228.140.163.100.435.825	C10	6
D012618	Sea-Blue Histiocyte Syndrome	D015616	C15.604.250.410	C15	3
D012618	Sea-Blue Histiocyte Syndrome	D013106	C16.320.565.189.435.825	C16	5
D012618	Sea-Blue Histiocyte Syndrome	D013106	C16.320.565.398.641.803	C16	5
D012618	Sea-Blue Histiocyte Syndrome	D013106	C16.320.565.595.554.825	C16	5
D012618	Sea-Blue Histiocyte Syndrome	D013106	C18.452.132.100.435.825	C18	5
D012618	Sea-Blue Histiocyte Syndrome	D013106	C18.452.584.687.803	C18	4
D012618	Sea-Blue Histiocyte Syndrome	D013106	C18.452.648.189.435.825	C18	5
D012618	Sea-Blue Histiocyte Syndrome	D013106	C18.452.648.398.641.803	C18	5
D012618	Sea-Blue Histiocyte Syndrome	D013106	C18.452.648.595.554.825	C18	5
D012612	Scrub Typhus	D012288	C01.252.400.780	C01	3
D012610	Screw Worm Infection	D009198	C03.858.211.503	C03	3
D012614	Scurvy	D020141	C14.907.454	C14	2
D012614	Scurvy	D020141	C15.378.463.515	C15	3
D012614	Scurvy	D001206	C18.654.521.500.133.115	C18	5
D000724	Ancylostomiasis	D006725	C03.335.508.700.775.455	C03	5
D012707	Sertoli Cell Tumor	D018310	C04.557.475.750.847	C04	4
D012707	Sertoli Cell Tumor	D018310	C04.588.322.762.500	C04	4
D012707	Sertoli Cell Tumor	D018310	C04.588.945.440.915.500	C04	5
D012707	Sertoli Cell Tumor	D018310	C12.294.260.937.500	C12	4
D012707	Sertoli Cell Tumor	D018310	C12.758.409.937.500	C12	4
D012707	Sertoli Cell Tumor	D018310	C19.344.762.500	C19	3
D012707	Sertoli Cell Tumor	D018310	C19.391.829.782.500	C19	4
D012700	Serositis	D007249	C23.550.470	C23	2
D012719	Setariasis	D006374	C03.335.349	C03	2
D012719	Setariasis	D005368	C03.335.508.700.750.361	C03	5
D012719	Setariasis	D006374	C03.701.377	C03	2
D012719	Setariasis	D006374	C22.674.377	C22	2
D012713	Serum Sickness	D003875	C17.800.174.600	C17	3
D012713	Serum Sickness	D003875	C20.543.206.380	C20	3
D012713	Serum Sickness	D007105	C20.543.520	C20	2
D012713	Serum Sickness	D003875	C25.100.468.380	C25	3
D000708	Anaplasia	D009385	C04.697	C04	1
D000708	Anaplasia	D009385	C23.550.727	C23	2
D000707	Anaphylaxis	D006969	C20.543.480	C20	2
D000711	Anaplasmataceae Infections	D016905	C01.252.400	C01	2
D000712	Anaplasmosis	D000711	C01.252.400.054	C01	3
D000712	Anaplasmosis	D017282	C01.252.400.825	C01	3
D000712	Anaplasmosis	D000820	C22	C22	0
D046110	Hypertension, Pregnancy-Induced	D011248	C13.703	C13	1
D046110	Hypertension, Pregnancy-Induced	D006973	C14.907.489	C14	2
D034081	Wasting Disease, Chronic	D017096	C10.228.228.800	C10	3
D034081	Wasting Disease, Chronic	D017096	C10.574.843	C10	2
D034081	Wasting Disease, Chronic	D000820	C22	C22	0
D046150	Laron Syndrome	D004392	C05.116.099.343	C05	3
D046150	Laron Syndrome	D004392	C16.320.240	C16	2
D046150	Laron Syndrome	D004392	C19.297	C19	1
D046151	Lingual Thyroid	D050033	C16.131.894	C16	2
D046151	Lingual Thyroid	D050033	C19.874.689	C19	2
D046152	Gastrointestinal Stromal Tumors	D009372	C04.557.450.565	C04	3
D046152	Gastrointestinal Stromal Tumors	D005770	C06.301.371	C06	2
D046152	Gastrointestinal Stromal Tumors	D005770	C06.405.249	C06	2
D061686	Premature Ejaculation	D012735	C12.294.644	C12	2
D061686	Premature Ejaculation	D020018	F03.835	F03	1
D010190	Pancreatic Neoplasms	D004067	C04.588.274	C04	2
D010190	Pancreatic Neoplasms	D004701	C04.588.322	C04	2
D010190	Pancreatic Neoplasms	D004067	C06.301	C06	1
D010190	Pancreatic Neoplasms	D010182	C06.689	C06	1
D010190	Pancreatic Neoplasms	D004701	C19.344	C19	1
D010192	Pancreatic Pseudocyst	D010181	C04.182.640	C04	2
D010192	Pancreatic Pseudocyst	D010181	C06.689.500	C06	2
D034161	Pelvic Infection	D007239	C01.539	C01	1
D010182	Pancreatic Diseases	D004066	C06	C06	0
D010185	Pancreatic Fistula	D016154	C06.267	C06	1
D010185	Pancreatic Fistula	D010182	C06.689	C06	1
D010185	Pancreatic Fistula	D016154	C23.300.575.185	C23	3
D010188	Exocrine Pancreatic Insufficiency	D010182	C06.689	C06	1
D034141	Hypoalbuminemia	D007019	C15.378.147.607	C15	3
D010195	Pancreatitis	D010182	C06.689	C06	1
D010198	Pancytopenia	D006402	C15.378	C15	1
D046088	Hearing Loss, Unilateral	D034381	C09.218.458.341	C09	3
D046088	Hearing Loss, Unilateral	D034381	C10.597.751.418.341	C10	4
D046088	Hearing Loss, Unilateral	D034381	C23.888.592.763.393.341	C23	5
D046089	Hearing Loss, Mixed Conductive-Sensorineural	D034381	C09.218.458.341	C09	3
D046089	Hearing Loss, Mixed Conductive-Sensorineural	D034381	C10.597.751.418.341	C10	4
D046089	Hearing Loss, Mixed Conductive-Sensorineural	D034381	C23.888.592.763.393.341	C23	5
D058070	Asymptomatic Diseases	D020969	C23.550.291	C23	2
D058069	Neglected Diseases	D020969	C23.550.291	C23	2
D009188	Myelitis, Transverse	D020361	C04.588.614.550	C04	3
D009188	Myelitis, Transverse	D020361	C04.730.856	C04	2
D009188	Myelitis, Transverse	D020278	C10.114.375	C10	2
D009188	Myelitis, Transverse	D009187	C10.228.228.618	C10	3
D009188	Myelitis, Transverse	D009187	C10.228.854.525	C10	3
D009188	Myelitis, Transverse	D020278	C10.314.350	C10	2
D009188	Myelitis, Transverse	D020361	C10.574.781	C10	2
D009188	Myelitis, Transverse	D020278	C20.111.258.250	C20	3
D009187	Myelitis	D002494	C10.228.228	C10	2
D009187	Myelitis	D013118	C10.228.854	C10	2
D058066	Digital Dermatitis	D017192	C01.252.825	C01	2
D058066	Digital Dermatitis	D017192	C01.539.800.720	C01	3
D058066	Digital Dermatitis	D017192	C17.800.838.765	C17	3
D058066	Digital Dermatitis	D000820	C22	C22	0
D058065	Diabetic Cardiomyopathies	D009202	C14.280.238	C14	2
D058065	Diabetic Cardiomyopathies	D048909	C19.246.099	C19	2
D009182	Mycosis Fungoides	D016410	C04.557.386.480.750.800	C04	5
D009182	Mycosis Fungoides	D016410	C15.604.515.569.480.750.800	C15	6
D009182	Mycosis Fungoides	D016410	C20.683.515.761.480.750.800	C20	6
D009181	Mycoses	D001423	C01	C01	0
D009180	Mycoplasmatales Infections	D016905	C01.252.400	C01	2
D010167	Pallor	D012877	C23.888.885	C23	2
D010181	Pancreatic Cyst	D003560	C04.182	C04	1
D010181	Pancreatic Cyst	D010182	C06.689	C06	1
D009198	Myiasis	D004478	C03.858.211	C03	2
D009196	Myeloproliferative Disorders	D001855	C15.378.190	C15	2
D009190	Myelodysplastic Syndromes	D001855	C15.378.190	C15	2
D010178	Pancoast Syndrome	D008175	C04.588.894.797.520	C04	4
D010178	Pancoast Syndrome	D008175	C08.381.540	C08	2
D010178	Pancoast Syndrome	D008175	C08.785.520	C08	2
D010146	Pain	D009461	C23.888.592	C23	2
D010146	Pain	D012677	F02.830.816	F02	2
D010146	Pain	D012677	G11.561.790	G11	2
D010149	Pain, Postoperative	D011183	C23.550.767	C23	2
D010149	Pain, Postoperative	D010146	C23.888.592.612	C23	3
D010148	Pain, Intractable	D010146	C23.888.592.612	C23	3
D009165	Mycobacterium Infections, Nontuberculous	D009164	C01.252.410.040.552	C01	4
D058088	Sarcoglycanopathies	D049288	C05.651.534.500.280	C05	4
D058088	Sarcoglycanopathies	D012120	C08.618	C08	1
D058088	Sarcoglycanopathies	D049288	C10.668.491.175.500.149	C10	5
D058088	Sarcoglycanopathies	D009202	C14.280.238	C14	2
D058088	Sarcoglycanopathies	D049288	C16.320.577.280	C16	3
D009164	Mycobacterium Infections	D000193	C01.252.410.040	C01	3
D010145	Paget Disease, Extramammary	D000230	C04.557.470.200.025	C04	4
D010145	Paget Disease, Extramammary	D018299	C04.557.470.615	C04	3
D010144	Paget's Disease, Mammary	D000071960	C04.557.470.200.240.187	C04	5
D010144	Paget's Disease, Mammary	D002285	C04.557.470.615.275	C04	4
D022125	Lacerations	D014947	C26	C26	0
D022124	Hyperammonemia	D010335	C23.550	C23	1
D010157	Palatal Neoplasms	D007573	C04.588.149.721.450	C04	4
D010157	Palatal Neoplasms	D009062	C04.588.443.591	C04	3
D010157	Palatal Neoplasms	D007573	C05.116.231.754.450	C05	4
D010157	Palatal Neoplasms	D007573	C05.500.499	C05	2
D010157	Palatal Neoplasms	D007573	C07.320.515	C07	2
D010157	Palatal Neoplasms	D009062	C07.465.565	C07	2
D009175	Mycoplasma Infections	D009180	C01.252.400.610	C01	3
D009139	Musculoskeletal Abnormalities	D009140	C05	C05	0
D009139	Musculoskeletal Abnormalities	D000013	C16.131	C16	1
D009137	Muscular Dystrophy, Animal	D000820	C22	C22	0
D009145	Mushroom Poisoning	D005517	C25.723.415	C25	2
D009145	Mushroom Poisoning	D015651	C25.723.680	C25	2
D009140	Musculoskeletal Diseases	D009140	C05	C05	0
D012784	Shoulder Fractures	D050723	C26.404	C26	1
D012784	Shoulder Fractures	D000070599	C26.803	C26	1
D010123	Oxyuriasis	D017194	C03.335.508.700.550	C03	4
D012783	Shoulder Dislocation	D004204	C05.550.518	C05	2
D012783	Shoulder Dislocation	D004204	C26.289	C26	1
D012783	Shoulder Dislocation	D000070599	C26.803	C26	1
