DO_ID	DO_NAME	UMLS_CUI
DOID:767	muscular atrophy	C0026846
DOID:9076	discoid lupus erythematosus of eyelid	C0155180
DOID:9074	systemic lupus erythematosus	C0024141
DOID:6809	vaginal tubular adenoma	C1519932
DOID:771	retinal cell cancer	C1335765
DOID:6804	colon Kaposi sarcoma	C1333091
DOID:9146	visceral leishmaniasis	C0023290
DOID:9140	xeroderma of eyelid	C0155179
DOID:9149	hard palate cancer	C0153375
DOID:9132	liver carcinoma in situ	C0496854
DOID:9138	stomach carcinoma in situ	C0154060
DOID:9169	Wiskott-Aldrich syndrome	C0043194
DOID:9164	achalasia	C0014848
DOID:9165	neurotic excoriation	C1274184
DOID:9155	mucocutaneous leishmaniasis	C1328252
DOID:9153	variola minor	C0001906
DOID:9159	gas gangrene	C0017105
DOID:9108	uterus carcinoma in situ	C0154086
DOID:701	dentin dysplasia	C0011430
DOID:700	mitochondrial metabolism disease	C0751651
DOID:709	splenic manifestation of hairy cell leukemia	C0153832
DOID:709	splenic manifestation of hairy cell leukemia	C1336064
DOID:707	B-cell lymphoma	C0079731
DOID:706	mature B-cell neoplasm	C1334633
DOID:705	Leber hereditary optic neuropathy	C0917796
DOID:9125	lower gum cancer	C0432581
DOID:9123	eczema herpeticum	C0153037
DOID:9123	eczema herpeticum	C0854331
DOID:9123	eczema herpeticum	C0936250
DOID:9120	amyloidosis	C0002726
DOID:9113	granuloma inguinale	C0018190
DOID:9111	cutaneous leishmaniasis	C0023283
DOID:9119	acute myeloid leukemia	C0023467
DOID:13964	Morgagni cataract	C0152258
DOID:11302	cercarial dermatitis	C0546996
DOID:13963	nuclear senile cataract	C0271166
DOID:12637	perineocele	C1456251
DOID:12638	hypertrophic pyloric stenosis	C0700639
DOID:12639	pyloric stenosis	C0034194
DOID:12641	displacement of cardia through esophageal hiatus	C0158674
DOID:12642	hiatus hernia	C0267725
DOID:12642	hiatus hernia	C0376710
DOID:12642	hiatus hernia	C3489393
DOID:13972	female breast lower-outer quadrant cancer	C0153553
DOID:11312	Mobitz type II atrioventricular block	C0155700
DOID:0060600	hereditary motor and sensory neuropathy with agenesis of the corpus callosum	C0795950
DOID:11315	African histoplasmosis	C0153270
DOID:13976	peptic esophagitis	C0014869
DOID:11316	histoplasmosis retinitis	C0153278
DOID:11320	Kyasanur forest disease	C0022810
DOID:13942	acute gonococcal salpingitis	C0275654
DOID:13941	benign paroxysmal positional nystagmus	C0155502
DOID:0060614	ulnar-mammary syndrome	C1866994
DOID:13943	acute gonococcal prostatitis	C0153192
DOID:13945	CADASIL	C0751587
DOID:13948	bladder neck obstruction	C0005694
DOID:13949	interstitial cystitis	C0282488
DOID:0060610	megacystis-microcolon-intestinal hypoperistalsis syndrome	C1608393
DOID:13951	uterine corpus epithelioid leiomyoma	C1519850
DOID:13953	uterine corpus dissecting leiomyoma	C1519847
DOID:13955	uterus interstitial leiomyoma	C0153994
DOID:13957	uterine corpus lipoleiomyoma	C1519856
DOID:13956	uterine corpus myxoid leiomyoma	C1519860
DOID:13958	uterine corpus bizarre leiomyoma	C1519853
DOID:13922	eosinophilic esophagitis	C0341106
DOID:13921	bacterial esophagitis	C0341108
DOID:13924	necrotizing ulcerative gingivitis	C0017575
DOID:13924	necrotizing ulcerative gingivitis	C1527368
DOID:4293	clear cell basal cell carcinoma	C1516599
DOID:13929	lacrimal duct obstruction	C0022906
DOID:4290	adamantinoid basal cell epithelioma	C1304295
DOID:4291	fibroepithelial basal cell carcinoma	C0346013
DOID:4292	morpheaform basal cell carcinoma	C0555191
DOID:4297	scimitar syndrome	C0036400
DOID:0060644	chondrodysplasia-pseudohermaphroditism syndrome	C1838654
DOID:12603	acute leukemia	C0085669
DOID:12603	acute leukemia	C1378511
DOID:13934	facial paralysis	C0015469
DOID:13938	amenorrhea	C0002453
DOID:4283	anal margin basal cell carcinoma	C1332269
DOID:4284	anal margin carcinoma	C0349534
DOID:0060640	ethylmalonic encephalopathy	C1865349
DOID:0060643	primary sclerosing cholangitis	C0566602
DOID:4280	nodular basal cell carcinoma	C1304300
DOID:4287	external ear basal cell carcinoma	C1333491
DOID:4288	external ear carcinoma	C1333492
DOID:13902	white piedra	C0031898
DOID:13902	white piedra	C0040249
DOID:0060650	dicarboxylic aminoaciduria	C1857253
DOID:13909	red-green color blindness	C0155016
DOID:13911	achromatopsia	C0152200
DOID:13910	red color blindness	C0155015
DOID:13913	lumbosacral plexus lesion	C0154735
DOID:13912	acquired color blindness	C0155018
DOID:13919	irregular astigmatism	C0152194
DOID:13918	somatization disorder	C0520482
DOID:0060799	syndromic X-linked intellectual disability Lubs type	C1846058
DOID:11269	chronic apical periodontitis	C0392492
DOID:4131	erythrasma	C0014752
DOID:4136	myxosarcoma	C0027155
DOID:5467	conjunctival cancer	C0009761
DOID:5467	conjunctival cancer	C0153628
DOID:4137	common bile duct disease	C0009440
DOID:5468	biliary papillomatosis	C1266038
DOID:4138	bile duct disease	C0005395
DOID:5463	cochlear disease	C0009197
DOID:5465	conjunctival intraepithelial neoplasm	C1333148
DOID:11277	Plummer's disease	C0342127
DOID:6788	vagina botryoid rhabdomyosarcoma	C1511275
DOID:5457	laryngeal neuroendocrine tumor	C1334374
DOID:6787	childhood vagina botryoid rhabdomyosarcoma	C1332945
DOID:6789	vulvar childhood botryoid-type embryonal rhabdomyosarcoma	C1332946
DOID:5453	pulmonary venoocclusive disease	C0034091
DOID:4123	nail disease	C0027339
DOID:6786	childhood botryoid rhabdomyosarcoma	C1332944
DOID:11282	solar retinopathy	C0152131
DOID:11283	peripheral scars of retina	C0154888
DOID:11285	tick paralysis	C0040197
DOID:11289	ventilation pneumonitis	C0155891
DOID:11246	DIC in newborn	C0158992
DOID:12577	urethral obstruction	C0041972
DOID:11247	disseminated intravascular coagulation	C0012739
DOID:11249	vitamin K deficiency hemorrhagic disease	C0042880
DOID:4151	skull base chordoma	C1335975
DOID:5482	cystadenofibroma	C0334317
DOID:4152	chondroid chordoma	C1266173
DOID:5484	fibrous synovial sarcoma	C1333616
DOID:4159	skin cancer	C0007114
DOID:4154	dentinogenesis imperfecta	C0011436
DOID:5485	synovial sarcoma	C0039101
DOID:4156	primary syphilis	C0153139
DOID:5487	spindle cell synovial sarcoma	C0334505
DOID:4157	secondary syphilis	C0149985
DOID:5488	mediastinum synovial sarcoma	C1334681
DOID:12580	Cri-Du-Chat syndrome	C0010314
DOID:12581	olecranon bursitis	C0263962
DOID:11252	microcytic anemia	C0085576
DOID:12583	velocardiofacial syndrome	C0220704
DOID:11254	Brill-Zinsser disease	C0006181
DOID:11256	typhus	C0041471
DOID:11256	typhus	C0041472
DOID:11256	typhus	C0041473
DOID:11257	social phobia	C0031572
DOID:11258	cat-scratch disease	C0007361
DOID:4140	biliary dyskinesia	C0005416
DOID:4141	intraorbital meningioma	C1334261
DOID:4147	gastrointestinal adenoma	C0948101
DOID:5478	fallopian tube adenofibroma	C1517109
DOID:4148	gastrointestinal neuroendocrine benign tumor	C1333799
DOID:5479	papillary adenofibroma	C1377850
DOID:4143	orbital cancer	C0029185
DOID:4143	orbital cancer	C0153626
DOID:5474	ovarian serous adenofibroma	C1518729
DOID:5475	uterine corpus adenofibroma	C1336901
DOID:5476	cervical adenofibroma	C1516402
DOID:5477	clear cell adenofibroma	C0334317
DOID:11260	rabies	C0034494
DOID:11262	ornithosis	C0029291
DOID:12594	Potter's syndrome	C0178426
DOID:11265	trachoma	C0040592
DOID:11265	trachoma	C0153107
DOID:11265	trachoma	C0153108
DOID:11266	hemorrhagic fever with renal syndrome	C0019101
DOID:11267	keratomalacia	C0152455
DOID:12556	acute kidney tubular necrosis	C0022672
DOID:12557	Duane retraction syndrome	C0013261
DOID:11227	acute hemorrhagic conjunctivitis	C0009765
DOID:12558	chronic progressive external ophthalmoplegia	C0162674
DOID:12559	idiopathic juvenile osteoporosis	C0158447
DOID:6755	amyloid tumor	C0333572
DOID:5425	ovarian hyperstimulation syndrome	C0085083
DOID:5426	premature ovarian failure	C0085215
DOID:5421	lung combined type small cell carcinoma	C1333125
DOID:6752	internal auditory canal lipoma	C1334226
DOID:11230	acute orbital inflammation	C0155256
DOID:13891	bird fancier's lung	C0005592
DOID:11231	orbital periostitis	C0155257
DOID:5427	urinary bladder villous adenoma	C1336893
DOID:6759	bone lymphoma	C1332582
DOID:11232	orbital osteomyelitis	C0155258
DOID:6758	chest wall lymphoma	C0346948
DOID:6758	chest wall lymphoma	C1332933
DOID:11233	orbital tenonitis	C0155259
DOID:5429	bladder flat intraepithelial lesion	C1332559
DOID:11234	orbital cellulitis	C0149507
DOID:11235	adhesive otitis media	C0155478
DOID:12566	ulceration of vulva	C0156340
DOID:11239	appendix cancer	C0496779
DOID:5414	lung occult small cell carcinoma	C1335099
DOID:6740	cervix small cell carcinoma	C0279674
DOID:5410	pulmonary neuroendocrine tumor	C1334452
DOID:6742	synchronous bilateral breast carcinoma	C1515107
DOID:5411	lung oat cell carcinoma	C0262584
DOID:6741	bilateral breast cancer	C0281267
DOID:12570	phacolytic glaucoma	C0152137
DOID:11240	appendiceal neoplasm	C0003614
DOID:12571	phacogenic glaucoma	C0154959
DOID:11241	appendix lymphoma	C1332328
DOID:11242	plethora of newborn	C0272153
DOID:12573	neonatal thyrotoxicosis	C0158983
DOID:11243	anemia of prematurity	C0158996
DOID:12574	posterior uveitis	C0042167
DOID:11244	neonatal anemia	C0002891
DOID:5418	schizoaffective disorder	C0036337
DOID:11245	transient neonatal neutropenia	C0158997
DOID:5419	schizophrenia	C0029838
DOID:5419	schizophrenia	C0220702
DOID:11202	primary hyperparathyroidism	C0221002
DOID:11202	primary hyperparathyroidism	C0271846
DOID:13865	facial neuralgia	C0015467
DOID:11203	Angelucci's syndrome	C0001309
DOID:13864	trochlear nerve disease	C0271375
DOID:13864	trochlear nerve disease	C0423092
DOID:13864	trochlear nerve disease	C0751939
DOID:11204	allergic conjunctivitis	C0009766
DOID:13867	focal labyrinthitis	C0155505
DOID:13866	multiple cranial nerve palsy	C0154733
DOID:11206	opioid abuse	C0029095
DOID:12537	hypermobility of coccyx	C0158295
DOID:13868	hypoactive sexual desire disorder	C0020594
DOID:4114	uterine body mixed cancer	C1334628
DOID:5445	syringocystadenoma papilliferum	C0406803
DOID:6777	villoglandular endometrial endometrioid adenocarcinoma	C1336962
DOID:4115	ovarian mesodermal adenosarcoma	C1335169
DOID:5446	eccrine papillary adenoma	C0334350
DOID:6776	breast myoepithelial carcinoma	C1518167
DOID:4117	vaginal adenosarcoma	C1519914
DOID:4110	parasitic ectoparasitic infectious disease	C0013578
DOID:4111	cervical adenosarcoma	C1516426
DOID:5442	eccrine acrospiroma	C0206671
DOID:4112	cervical carcinosarcoma	C1332917
DOID:4112	cervical carcinosarcoma	C1516420
DOID:4112	cervical carcinosarcoma	C1518168
DOID:5443	clear cell hidradenoma	C1370701
DOID:4113	uterine corpus adenosarcoma	C1336917
DOID:5444	spiradenoma	C0334347
DOID:6774	polyembryoma of the ovary	C1514199
DOID:4118	colon neuroendocrine neoplasm	C1333097
DOID:4119	intestinal neuroendocrine benign tumor	C1334231
DOID:11211	buphthalmos	C0311251
DOID:11212	hydrophthalmos	C0020302
DOID:11213	acute contagious conjunctivitis	C1313983
DOID:12546	atrophic nonflaccid tympanic membrane	C0155471
DOID:11217	chronic tympanitis	C0395849
DOID:12549	hepatitis A	C0019159
DOID:11219	conjunctival folliculosis	C0155143
DOID:6760	lung lymphoma	C0519063
DOID:5434	scrapie	C0036457
DOID:5435	variant Creutzfeldt-Jakob disease	C0085209
DOID:5437	intrahepatic bile duct adenoma	C1331535
DOID:6762	sternum lymphoma	C1336504
DOID:5432	bladder papillary transitional cell neoplasm	C1511197
DOID:5433	urinary tract papillary transitional cell benign neoplasm	C1334282
DOID:5433	urinary tract papillary transitional cell benign neoplasm	C1335329
DOID:12550	hepatic coma	C0019147
DOID:5438	extrahepatic bile duct adenoma	C1331534
DOID:5439	papillary hidradenoma	C0334348
DOID:4109	tick infestation	C0040196
DOID:11223	small intestine diverticulitis	C0156164
DOID:12554	hemolytic-uremic syndrome	C0019061
DOID:13884	sick sinus syndrome	C0037052
DOID:857	multiple carboxylase deficiency	C0026755
DOID:856	biotinidase deficiency	C0220754
DOID:854	collagen disease	C0009326
DOID:853	polymyalgia rheumatica	C0032533
DOID:851	Bartholin's duct cyst	C0004767
DOID:859	holocarboxylase synthetase deficiency	C0268581
DOID:6713	cerebrovascular disease	C0007820
DOID:6713	cerebrovascular disease	C0038454
DOID:6712	anterior spinal artery syndrome	C0221069
DOID:869	cholesteatoma	C0008373
DOID:867	maxillary sinus cholesteatoma	C1334644
DOID:866	vein disease	C0155774
DOID:865	vasculitis	C0042384
DOID:864	phlebitis	C0031542
DOID:863	nervous system disease	C0027765
DOID:862	diplegia of upper limb	C0154701
DOID:6700	gastric fundus carcinoma	C0345799
DOID:6707	malignant triton tumor	C0334616
DOID:870	neuropathy	C0442874
DOID:6703	gastric pylorus carcinoma	C1333787
DOID:6706	tubular variant testicular seminoma	C1515294
DOID:6705	gastric body carcinoma	C0345804
DOID:833	auditory system cancer	C0013449
DOID:5401	water-clear cell adenoma	C0334321
DOID:6733	intrahepatic bile duct cystadenoma	C1334257
DOID:5402	vaginal adenoma	C1519913
DOID:5403	microcystic adenoma	C0205648
DOID:6735	schwannoma of jugular foramen	C1334300
DOID:5409	lung small cell carcinoma	C0149925
DOID:5408	Paget's disease of bone	C0029401
DOID:845	cyclothymic disorder	C0010598
DOID:841	extrinsic allergic alveolitis	C0002390
DOID:840	cork-handlers' disease	C0152108
DOID:848	arthritis	C0003864
DOID:6721	Littre gland carcinoma	C1516285
DOID:6723	malignant type AB thymoma	C1266093
DOID:850	lung disease	C0024115
DOID:6726	fibrillary astrocytoma	C0334582
DOID:6725	spinal stenosis	C0037944
DOID:6725	spinal stenosis	C0158280
DOID:6725	spinal stenosis	C0158288
DOID:6727	colon small cell carcinoma	C1333099
