ORPHANET_ID	ORPHANET_NAME	PARENT_ORPHANET_ID
166311	Benign partial infantile seizures	
461	Recessive X-linked ichthyosis	89826
166421	Orgasm-induced seizures	98006
166418	Eating reflex epilepsy	98006
166415	Audiogenic seizures	98006
584	Mucopolysaccharidosis type 7	68367
166412	Hot water reflex epilepsy	98006
166433	Reading seizures	98006
166430	Micturation-induced seizures	98006
881	Turner syndrome	93890
166427	Startle epilepsy	98006
166424	Thinking seizures	98006
95	Friedreich ataxia	98006
166466	Neurocutaneous syndrome with epilepsy	
848	Beta-thalassemia	97992
166469	Chromosomal anomaly with epilepsy as a major feature	
846	Alpha-thalassemia	97992
586	Cystic fibrosis	97955
166463	Epilepsy syndrome	
262	Duchenne and Becker muscular dystrophy	
166478	Cerebral malformation with epilepsy	
166481	Metabolic diseases with epilepsy	
166472	Monogenic disease with epilepsy	
166475	Idiopathic or cryptogenic familial epilepsy syndrome with identified loci/genes	
261	Emery-Dreifuss muscular dystrophy	98006
166490	Infectious disease with epilepsy	
166484	Inflammatory and autoimmune disease with epilepsy	
166487	Cerebral diseases of vascular origin with epilepsy	
550	MELAS	98006
269	Facioscapulohumeral dystrophy	98006
480	Kearns-Sayre syndrome	68367
163898	Classic paraneoplastic limbic encephalitis	98006
593	Myofibrillar myopathy	
163895	Paraneoplastic limbic encephalitis	
163908	Limbic encephalitis with LGI1 antibodies	98006
163903	Limbic encephalitis associated with antibodies to cell membrane antigens	
551	MERRF	98006
597	Central core disease	98006
607	Nemaline myopathy	
163892	Limbic encephalitis	
163746	Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease	98006
684	Paramyotonia congenita of Von Eulenburg	98006
163931	Acrodermatitis continua of Hallopeau	89826
273	Steinert myotonic dystrophy	98006
163927	Pustulosis palmaris et plantaris	89826
163937	X-linked intellectual disability, Najm type	93890
163934	Atopic keratoconjunctivitis	97966
163918	Non-paraneoplastic limbic encephalitis	
163924	Non-herpetic acute limbic encephalitis	98006
614	Thomsen and Becker disease	98006
163921	Posttransplant acute limbic encephalitis	98006
163966	X-linked dominant chondrodysplasia, Chassaing-Lacombe type	93419
163971	X-linked intellectual disability, Cilliers type	93890
163976	X-linked intellectual disability, Van Esch type	93890
163979	X-linked intellectual disability-craniofacioskeletal syndrome	93890
163953	X-linked intellectual disability, Raymond type	
163956	X-linked intellectual disability, Nascimento type	93890
163961	X-linked cerebral-cerebellar-coloboma syndrome	93890
164004	Middle ear anomaly	
164726	Acute myeloid leukemia and myelodysplastic syndromes related to radiation	250908
324	Fabry disease	68367
163982	X-linked intellectual disability-spastic quadriparesis syndrome	
163985	Hyperekplexia-epilepsy syndrome	93890
778	Rett syndrome	98006
164001	Rare odontal or periodontal disorder	
72	Angelman syndrome	98006
165661	Genetic pancreatic disease	
307	Juvenile myoclonic epilepsy	98006
165658	Genetic gastro-esophageal disease	
165655	Genetic intestinal disease	
165652	Rare genetic gastroenterological disease	
1941	Juvenile absence epilepsy	98006
892	Von Hippel-Lindau disease	250908
164823	Rare acquired aplastic anemia	
731	Autosomal recessive polycystic kidney disease	93626
164736	Familial advanced sleep-phase syndrome	98006
138	CHARGE syndrome	93890
558	Marfan syndrome	98023
165805	Familial mesial temporal lobe epilepsy with febrile seizures	98006
803	Amyotrophic lateral sclerosis	98006
165711	Rare abdominal surgical disease	
165707	Syndromic urogenital tract malformation	
100	Ataxia-telangiectasia	98006
165704	Non-syndromic urogenital tract malformation	
733	Familial adenomatous polyposis	97935
399	Huntington disease	98006
165955	Wound myiasis	68416
501	Lafora disease	98006
870	Down syndrome	93890
165958	Cavitary myiasis	68416
512	Metachromatic leukodystrophy	98006
166011	Multiple epiphyseal dysplasia, Beighton type	93419
567	22q11.2 deletion syndrome	93890
166016	Multiple epiphyseal dysplasia, Lowry type	93419
232	Sickle cell anemia	97992
165994	Pituitary resistance to thyroid hormone	97978
536	Systemic lupus erythematosus	98023
166002	Multiple epiphyseal dysplasia due to collagen 9 anomaly	93419
534	Oculocerebrorenal syndrome of Lowe	93890
165988	Diazoxide-resistant diffuse hyperinsulinism	
790	Retinoblastoma	250908
165991	Exercise-induced hyperinsulinism	68367
652	Multiple endocrine neoplasia type 1	250908
165985	Diazoxide-sensitive diffuse hyperinsulinism	
908	Fragile X syndrome	93890
3099	Rheumatic fever	98023
739	Prader-Willi syndrome	93890
47	X-linked agammaglobulinemia	98004
580	Mucopolysaccharidosis type 2	68367
579	Mucopolysaccharidosis type 1	68367
905	Wilson disease	57146
163209	Non-syndromic cerebral malformation due to abnormal neuronal migration	
792	X-linked retinoschisis	97966
383	X-linked mixed deafness with perilymphatic gusher	98036
163525	Subacute cutaneous lupus erythematosus	89826
827	Stargardt disease	97966
163582	Rare bacterial infectious disease	
163531	Chronic cutaneous lupus erythematosus	
906	Wiskott-Aldrich syndrome	98004
904	Williams syndrome	93890
280	Wolf-Hirschhorn syndrome	93890
162516	Isolated congenital nasal pyriform aperture stenosis	93890
15	Achondroplasia	93419
96	Ataxia with vitamin E deficiency	98006
162526	Isolated congenital auditory ossicle malformation	98036
101	Dentatorubral pallidoluysian atrophy	98006
783	Rubinstein-Taybi syndrome	93890
163649	Spondyloepiphyseal dysplasia, Nishimura type	93419
631	Non-acquired isolated growth hormone deficiency	97978
276	T-B+ severe combined immunodeficiency due to gamma chain deficiency	98004
163654	Spondyloepiphyseal dysplasia, Cantu type	93419
481	Kennedy disease	98006
664	Ornithine transcarbamylase deficiency	68367
163668	Spondyloepiphyseal dysplasia, MacDermot type	93419
163673	Spondyloepiphyseal dysplasia, Byers type	
163662	Spondyloepiphyseal dysplasia, Reardon type	93419
394	Classic homocystinuria	68367
163665	Spondyloepiphyseal dysplasia tarda, Kohn type	93419
508	Leprechaunism	97978
163591	Rare mycosis	
436	Hypophosphatasia	93419
163596	Hb Bart's hydrops fetalis	97992
163585	Rare viral disease	
429	Hypochondroplasia	93419
163588	Rare parasitic disease	
437	Hypophosphatemic rickets	
163637	Rare disorder related with pregnancy, childbirth and puerperium	
104	Leber hereditary optic neuropathy	97966
163631	Bile acid synthesis defect with cholestasis and malabsorption	
2182	Hydrocephalus with stenosis of the aqueduct of Sylvius	93890
163634	Maffucci syndrome	93419
163717	Benign familial mesial temporal lobe epilepsy	98006
163708	Cryptogenic late-onset epileptic spasms	98006
636	Neurofibromatosis type 1	93890
163703	Febrile infection-related epilepsy syndrome	98006
649	Norrie disease	93890
163727	Rolandic epilepsy-paroxysmal exercise-induced dystonia-writer's cramp syndrome	98006
163721	Rolandic epilepsy-speech dyspraxia syndrome	93890
163684	Leukoencephalopathy-dystonia-motor neuropathy syndrome	98006
163681	Cortical dysplasia-focal epilepsy syndrome	98006
379	Chronic granulomatous disease	98004
16	Blue cone monochromatism	97966
163699	Alveolar soft tissue sarcoma	250908
644	NARP syndrome	98006
637	Neurofibromatosis type 2	98036
163696	Action myoclonus-renal failure syndrome	98006
181	X-linked hypohidrotic ectodermal dysplasia	93890
163693	2p21 microdeletion syndrome	68367
163690	Hypotonia-cystinuria syndrome	68367
337	Fibrodysplasia ossificans progressiva	93419
3444	Watson syndrome	
377	Gorlin syndrome	93890
648	Noonan syndrome	93890
281	Monosomy 5p	93890
752	46,XY disorder of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency	93890
214	Cystinuria	93626
510	Lesch-Nyhan syndrome	93890
524	Li-Fraumeni syndrome	250908
699	Pearson syndrome	68367
640	Hereditary neuropathy with liability to pressure palsies	98006
60	Alpha-1-antitrypsin deficiency	97955
895	Waardenburg syndrome type 2	93890
896	Waardenburg syndrome type 3	93890
857	Townes-Brocks syndrome	93890
894	Waardenburg syndrome type 1	93890
682	Hyperkalemic periodic paralysis	98006
800	Schwartz-Jampel syndrome	93419
628	Diastrophic dwarfism	93419
673	Malaria	68416
681	Hypokalemic periodic paralysis	98006
126	Blepharophimosis-epicanthus inversus-ptosis syndrome	93890
107	BOR syndrome	93890
774	Hereditary hemorrhagic telangiectasia	93890
794	Saethre-Chotzen syndrome	93890
710	Pfeiffer syndrome	93890
2869	Peutz-Jeghers syndrome	97935
893	WAGR syndrome	93890
912	Zellweger syndrome	68367
50	Aicardi syndrome	93890
53	Albers-Schönberg osteopetrosis	93419
14	Abetalipoproteinemia	97978
52	Alagille syndrome	93890
167	Chédiak-Higashi syndrome	98004
195	Cat-eye syndrome	93890
207	Crouzon disease	93890
205	Crigler-Najjar syndrome	57146
160148	Cap polyposis	97935
201	Cowden syndrome	93890
192	Coffin-Lowry syndrome	93890
2442	X-linked lymphoproliferative disease	98004
169808	Mild hemophilia A	97992
169826	Congenital vitamin K-dependent coagulation factors deficiency	
169802	Severe hemophilia A	97992
169805	Moderately severe hemophilia A	97992
562	McCune-Albright syndrome	93419
565	Menkes disease	68367
2443	Mitochondrial oxidative phosphorylation disorder due to nuclear DNA anomalies	
474	Jeune syndrome	93419
540	Familial hemophagocytic lymphohistiocytosis	98004
568	Microphthalmia, Lenz type	93890
564	Meckel syndrome	93890
289	Ellis Van Creveld syndrome	93419
258	Congenital muscular dystrophy type 1A	98006
1247	Schistosomiasis	68416
112	Bartter syndrome	93626
169443	Specific antibody deficiency with normal immunoglobulin concentrations and normal numbers of B cells	
1646	Partial chromosome Y deletion	98047
169464	Primary CD59 deficiency	98004
99	Autosomal dominant cerebellar ataxia	
116	Beckwith-Wiedemann syndrome	93890
87	Apert syndrome	93890
169618	Secondary central precocious puberty	97978
169615	Idiopathic central precocious puberty	97978
97	Familial paroxysmal ataxia	98006
169467	Recurrent Neisseria infections due to factor D deficiency	98004
313	Lamellar ichthyosis	89826
169799	Mild hemophilia B	97992
169796	Moderately severe hemophilia B	97992
169793	Severe hemophilia B	97992
171220	Rectal duplication	93890
1000	Ocular albinism with late-onset sensorineural deafness	97966
999	Ermine phenotype	93890
171430	Severe congenital nemaline myopathy	98006
171433	Intermediate nemaline myopathy	98006
171436	Typical nemaline myopathy	98006
171439	Childhood-onset nemaline myopathy	98006
55	Oculocutaneous albinism	89826
171442	Adult-onset nemaline myopathy	98006
171445	Muscle filaminopathy	98006
171607	X-linked spastic paraplegia type 34	98006
2771	Bruck syndrome	93419
171612	Autosomal dominant spastic paraplegia type 37	98006
171617	Autosomal dominant spastic paraplegia type 38	98006
1349	Mitochondrial DNA-related cardiomyopathy and hearing loss	97929
171622	Autosomal recessive spastic paraplegia type 32	98006
171629	Autosomal recessive spastic paraplegia type 35	98006
861	Treacher-Collins syndrome	93890
308	Unverricht-Lundborg disease	98006
1991	Cleft lip with or without cleft palate	
199	Cornelia de Lange syndrome	93890
171201	High isolated anorectal malformation	93890
2162	Holoprosencephaly	93890
930	Idiopathic achalasia	97935
171215	Low isolated anorectal malformation	93890
998	Albinism-deafness syndrome	93890
171208	Intermediate isolated anorectal malformation	93890
1727	22q11.2 microduplication syndrome	93890
169079	Cernunnos-XLF deficiency	98004
1716	Distal trisomy 18q	93890
1715	Trisomy 18p	93890
3380	Trisomy 18	93890
168984	CLAPO syndrome	93890
1707	Distal trisomy 15q	93890
168999	Malignant melanoma of the mucosa	250908
3378	Trisomy 13	93890
168972	Kahrizi syndrome	
169110	Immunoglobulin heavy chain deficiency	98004
169100	Immunodeficiency due to CD25 deficiency	98004
169105	Good syndrome	98004
169090	Combined immunodeficiency due to CRAC channel dysfunction	98004
236	Trisomy 9p	93890
169095	Alymphoid cystic thymic dysgenesis	98004
169082	Combined immunodeficiency due to CD3gamma deficiency	98004
169085	Susceptibility to respiratory infections associated with CD8alpha chain mutation	98004
168829	Primary peritoneal carcinoma	250908
168816	Peritoneal cystic mesothelioma	250908
753	46,XY disorder of sex development due to 5-alpha-reductase 2 deficiency	93890
868	Triose phosphate-isomerase deficiency	68367
168811	Malignant peritoneal mesothelioma	250908
168807	Primary malignant peritoneal tumor	
168803	Primary peritoneal tumor	
218	Darier disease	89826
168796	Heart-hand syndrome, Slovenian type	93890
1465	Coffin-Siris syndrome	93890
168782	Childhood disintegrative disorder	98006
1642	Distal monosomy 9p	93890
168966	Composite lymphoma	250908
168960	Refractory anemia with excess blasts in transformation	250908
8	47,XYY syndrome	93890
1636	Distal monosomy 7q36	93890
168956	Hypereosinophilic syndrome	97992
168953	Myeloid/lymphoid neoplasm associated with FGFR1 rearrangement	250908
1600	Monosomy 18q	93890
168950	Myeloid/lymphoid neoplasm associated with PDGFRB rearrangement	250908
168947	Myeloid/lymphoid neoplasm associated with PDGFRA rearrangement	250908
1598	Monosomy 18p	93890
168943	Myeloid/lymphoid neoplasms associated with eosinophilia and abnormality of PDGFRA, PDGFRB or FGFR1	
168940	Chronic eosinophilic leukemia	250908
2773	Osteogenesis imperfecta-retinopathy-seizures-intellectual disability syndrome	93419
2772	Congenital osteogenesis imperfecta-microcephaly-cataracts syndrome	93419
2609	Isolated complex I deficiency	68367
169361	Immune dysregulation disease with immunodeficiency	
626	Large congenital melanocytic nevus	89826
773	Refsum disease	98006
11	Pentasomy X	93890
169154	T-B+ severe combined immunodeficiency due to IL-7Ralpha deficiency	98004
370	Glycogen storage disease due to phosphorylase kinase deficiency	68367
169150	Immunodeficiency due to a late component of complement deficiency	98004
169160	T-B+ severe combined immunodeficiency due to CD3delta/CD3epsilon/CD3zeta	98004
385	Neurodegeneration with brain iron accumulation	
169157	T-B+ severe combined immunodeficiency due to CD45 deficiency	98004
169139	Transient hypogammaglobulinemia of infancy	98004
1947	Progressive epilepsy-intellectual disability syndrome, Finnish type	98006
169147	Immunodeficiency due to a classical component pathway complement deficiency	98004
169142	Recurrent infection due to specific granule deficiency	98004
352	Galactosemia	68367
596	X-linked centronuclear myopathy	98006
169349	Immuno-osseous dysplasia	
169346	DNA repair defect other than combined T-cell and B-cell immunodeficiencies	
169355	Immunodeficiency syndrome with autoimmunity	
610	Bethlem myopathy	98006
169186	Autosomal recessive centronuclear myopathy	98006
464	Incontinentia pigmenti	93890
3307	Tetrasomy 18p	93890
169163	Familial scaphocephaly syndrome	
169189	Autosomal dominant centronuclear myopathy	98006
3084	Mirhosseini-Holmes-Walton syndrome	
44	Neonatal adrenoleukodystrophy	68367
56	Alkaptonuria	68367
963	Acromegaly	97978
1059	Blue rubber bleb nevus	93890
1006	Alopecia antibody deficiency	89826
1046	Lethal hemolytic anemia-genital anomalies syndrome	93890
22	Succinic semialdehyde dehydrogenase deficiency	68367
29	Mevalonic aciduria	68367
245	Nager syndrome	93890
30	Hereditary orotic aciduria	68367
36	Acrocallosal syndrome	93890
915	Aarskog-Scott syndrome	93890
2614	Nail-patella syndrome	93890
33	Isovaleric acidemia	68367
168194	Rare cardiac tumor	
819	Smith-Magenis syndrome	93890
3085	Retinitis pigmentosa-intellectual disability-deafness-hypogonadism syndrome	93890
9	Tetrasomy X	93890
168615	Hereditary persistence of alpha-fetoprotein	98053
168612	Congenital deficiency in alpha-fetoprotein	98053
1442	Ring chromosome 18 syndrome	93890
168621	Dysplasia of head of femur, Meyer type	93419
1452	Cleidocranial dysplasia	93419
1455	Autosomal dominant coarctation of aorta	93890
168629	Autosomal thrombocytopenia with normal platelets	97992
168624	Familial scaphocephaly syndrome, McGillivray type	93890
193	Cohen syndrome	93890
168778	Rare pervasive developmental disorder	
1488	Cooper-Jabs syndrome	93890
168632	Generalized basaloid follicular hamartoma syndrome	89826
1334	Chronic mucocutaneous candidiasis	98004
168583	Hereditary North American Indian childhood cirrhosis	57146
1369	Congenital cataract-hypertrophic cardiomyopathy-mitochondrial myopathy syndrome	68367
168577	Hereditary cryohydrocytosis with reduced stomatin	97992
168593	Sudden infant death-dysgenesis of the testes syndrome	93890
1406	Charlie M syndrome	93890
168588	Hyperandrogenism due to cortisone reductase deficiency	97978
168601	Congenital enteropathy due to enteropeptidase deficiency	97935
1414	Cholestasis-lymphedema syndrome	93890
168598	Brain demyelination due to methionine adenosyltransferase deficiency	98006
168609	Mitochondrial non-syndromic sensorineural deafness with susceptibility to aminoglycoside exposure	98036
168606	Seborrhea-like dermatitis with psoriasiform elements	89826
168549	Axial spondylometaphyseal dysplasia	93419
168552	Spondylometaphyseal dysplasia-bowed forearms-facial dysmorphism syndrome	93419
1154	Arthrogryposis-oculomotor limitation-electroretinal anomalies syndrome	93890
168555	Spondylometaphyseal dysplasia, A4 type	93419
168558	46,XY disorder of sex development-adrenal insufficiency due to CYP11A1 deficiency	93890
168563	46,XY gonadal dysgenesis-motor and sensory neuropathy syndrome	93890
124	Blackfan-Diamond anemia	97992
168566	Fatal mitochondrial disease due to combined oxidative phosphorylation defect type 3	68367
1310	Caffey disease	93419
168569	H syndrome	89826
168572	Native American myopathy	98006
125	Bloom syndrome	93890
90	Argininemia	68367
168443	Spondyloepimetaphyseal dysplasia-hypotrichosis syndrome	93419
1065	Aniridia-cerebellar ataxia-intellectual disability syndrome	93890
168448	Spondyloepimetaphyseal dysplasia, Bieganski type	93419
168451	Spondyloepimetaphyseal dysplasia-abnormal dentition syndrome	93419
1135	Arrhinia-choanal atresia-microphthalmia syndrome	93890
168454	Spondyloepimetaphyseal dysplasia, Geneviève type	93419
1146	Digitotalar dysmorphism	93890
1143	Neurogenic arthrogryposis multiplex congenita	93890
168486	Congenital neuronal ceroid lipofuscinosis	98006
168491	Late infantile neuronal ceroid lipofuscinosis	98006
168544	Spondylometaphyseal dysplasia, Golden type	93419
1147	Sheldon-Hall syndrome	93890
246	Postaxial acrofacial dysostosis	93890
1770	XY type gonadal dysgenesis-associated anomalies syndrome	93890
1775	Dyskeratosis congenita	98004
1764	Familial dysautonomia	98006
235	Dubowitz syndrome	93890
239	Dyggve-Melchior-Clausen disease	93419
167762	Rare disease with dentinogenesis imperfecta	
1672	Diencephalic syndrome	97978
167759	Hereditary dentin defect	
833	Encephalopathy due to sulfite oxidase deficiency	68367
167714	Unclassified acute myeloid leukemia	
167635	Scleromyxedema	89826
765	Pyruvate dehydrogenase deficiency	68367
395	Homocystinuria due to methylene tetrahydrofolate reductase deficiency	68367
408	Isolated glycerol kinase deficiency	68367
148	Multiple carboxylase deficiency	
147	Carbamoyl-phosphate synthetase 1 deficiency	68367
23	Argininosuccinic aciduria	68367
45	Adenosine monophosphate deaminase deficiency	68367
166775	Rare hemorrhagic disorder due to an acquired coagulation factor defect	
226	Dihydropteridine reductase deficiency	68367
217	Isolated Dandy-Walker malformation	93890
1564	Dandy-Walker malformation-facial hemangioma syndrome	
1556	Cutis marmorata telangiectatica congenita	93890
1538	Craniosynostosis-Dandy-Walker malformation-hydrocephalus syndrome	93890
1496	Corpus callosum agenesis-neuronopathy syndrome	98006
417	Neonatal severe primary hyperparathyroidism	93419
2233	Hypogonadism-mitral valve prolapse-intellectual disability syndrome	97978
2248	Hypoplastic left heart syndrome	93890
446	Neonatal hemochromatosis	57146
2135	Hennekam-Beemer syndrome	93890
2140	Congenital diaphragmatic hernia	93890
2185	Congenital hydrocephalus	93890
2113	Congenital hypothalamic hamartoma syndrome	
2116	Hartnup disease	68367
2118	Hawkinsinuria	68367
167848	Rare cardiomyopathy	
351	Galactosialidosis	68367
374	Goldenhar syndrome	93890
2020	Congenital fiber-type disproportion myopathy	98006
2053	Freeman-Sheldon syndrome	93890
1931	Frontal encephalocele	93890
295	Fetal parvovirus syndrome	93890
1933	Mitochondrial DNA depletion syndrome, encephalomyopathic form with methylmalonic aciduria	68367
1880	Ebstein malformation	93890
255	Dopa-responsive dystonia	
1915	Fetal alcohol syndrome	93890
1885	Isolated ectopia lentis	97966
1851	Multicystic dysplastic kidney	93626
660	Omphalocele	93890
180312	Rare vulvovaginal tumor	
635	Neuroblastoma	250908
2612	Linear nevus sebaceus syndrome	93890
2635	Metatropic dysplasia	93419
2655	Thanatophoric dysplasia	93419
180303	Rare non-malformative uterine adnexal disease	
606	Proximal myotonic myopathy	98006
705	Pendred syndrome	98036
180779	Syndromic diaphragmatic or thoracic malformation	
180776	Non-syndromic diaphragmatic or thoracic malformation	
2801	Juvenile Paget disease	93419
884	Tetrasomy 12p	93890
180772	Rare disease with autism	
180766	Malformative syndrome with dentinogenesis imperfecta	
2785	Osteopetrosis with renal tubular acidosis	93419
2744	Horizontal gaze palsy with progressive scoliosis	97966
2746	Opsismodysplasia	93419
2971	Peroxisomal acyl-CoA oxidase deficiency	68367
2970	Prune belly syndrome	93890
744	Proteus syndrome	93890
2903	Familial spontaneous pneumothorax	97955
2901	Neuralgic amyotrophy	98006
718	Isolated Pierre Robin syndrome	93890
180821	Rare gastroesophageal tumor	
180824	Rare tumor of pancreas	
717	Catecholamine-producing tumor	
181387	Rare disorder with hypogonadotropic hypogonadism	
290	Congenital rubella syndrome	93890
3071	Costello syndrome	93890
181390	Hypogonadotropic hypogonadism associated with other endocrinopathies	
181381	Other rare diabetes mellitus	
181384	Rare hypothalamic or pituitary disease	
181371	Rare diabetes mellitus type 1	
763	Pycnodysostosis	93419
181376	Rare diabetes mellitus type 2	
2983	Disorder of sex development-intellectual disability syndrome	93890
2982	46,XX disorder of sex development	
181368	Rare insulin-resistance syndrome	
2981	Pseudo-Zellweger syndrome	
180202	Rare non-malformative breast disease	
2301	Congenital short bowel syndrome	93890
180199	Rare non-malformative gynecologic or obstetric disease	
469	Hereditary fructose intolerance	68367
180208	Anomaly of puberty or/and menstrual cycle	
2308	Jacobsen syndrome	93890
180205	Rare non-malformative uterovaginal or vulvovaginal disease	
2318	Joubert syndrome with oculorenal defect	93890
2253	Foveal hypoplasia-presenile cataract syndrome	97966
180188	Isolated congenital breast hypoplasia/aplasia	93890
180182	Supernumerary breasts	93890
180193	Syndromic breast hypoplasia/aplasia	
2300	Multiple intestinal atresia	93890
180226	Embryonal carcinoma	250908
502	Trichorhinophalangeal syndrome type 2	93890
180229	Polyembryoma	250908
2370	Larsen-like osseous dysplasia-short stature syndrome	93419
477	KID syndrome	93890
2343	Isolated cloverleaf skull syndrome	93890
180220	Rare uterine adnexal tumor	
2346	Angioosteohypertrophic syndrome	93890
180247	Vaginal carcinoma	250908
506	Leigh syndrome	68367
180250	Rare breast tumor	
2430	Congenital macroglossia	93890
180253	Rare benign breast tumor	
2414	Congenital pulmonary lymphangiectasia	93890
2373	Congenital laryngomalacia	98036
180234	Mixed germ cell tumor	250908
180237	Benign tumor of fallopian tubes	250908
2377	Laurence-Moon syndrome	93890
2374	Congenital laryngeal web	98036
180242	Malignant tumor of fallopian tubes	250908
2466	MASA syndrome	93890
180275	Paget disease of the nipple	250908
560	Marshall syndrome	93419
587	Muir-Torre syndrome	250908
570	Moebius syndrome	93890
1505	Short rib-polydactyly syndrome	
180257	Rare malignant breast tumor	
180261	Phyllodes tumor of the breast	250908
2431	Central bilateral macrogyria	93890
180267	Giant adenofibroma of the breast	250908
2444	Congenital pulmonary airway malformation	93890
612	Potassium-aggravated myotonia	
179494	Obesity due to leptin receptor gene deficiency	97978
716	Phenylketonuria	68367
179490	Obesity due to congenital leptin resistance	
180071	Unilateral aplasia of the Müllerian ducts	
180068	Partial bilateral aplasia of the Müllerian ducts	
180065	Non-syndromic uterovaginal malformation	
287	Classical Ehlers-Danlos syndrome	98023
180062	Uterovaginal malformation	
180106	Bicervical bicornuate uterus and blind hemivagina	93890
180086	Didelphys uterus	93890
180079	Pseudounicornuate uterus	93890
180074	True unicornuate uterus	93890
180122	Septate uterus	
180118	Cordiform uterus	93890
180114	Unicervical bicornuate uterus	
180111	Bicervical bicornuate uterus with patent cervix and vagina	93890
180134	Bicornuate uterus	
180139	Uterine hypoplasia	93890
180126	Complete septate uterus	93890
180129	Partial septate uterus	93890
180148	Syndromic uterovaginal malformation	
1020	Early-onset autosomal dominant Alzheimer disease	98006
180151	Rare vaginal malformation	
63	Alport syndrome	93626
54	X-linked recessive ocular albinism	97966
180142	Agenesis and aplasia of uterine body	93890
180145	Uterine cervical aplasia and agenesis	93890
180160	Transverse vaginal septum	93890
154	Familial isolated dilated cardiomyopathy	97929
180163	Rare breast malformation	
84	Fanconi anemia	93890
180154	Septate vagina	93890
70	Proximal spinal muscular atrophy	98006
69	Amyloidosis	
180157	Longitudinal vaginal septum	93890
180173	Deficient breast volume or number	
180176	Familial juvenile hypertrophy of the breast	96344
191	Cockayne syndrome	93890
166	Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy	
180170	Excess breast volume or number	
178551	Aggressive primary cutaneous T-cell lymphoma	
178548	Indolent primary cutaneous T-cell lymphoma	
834	Free sialic acid storage disease	68367
178557	Indolent primary cutaneous B-cell lymphoma	
178554	Aggressive primary cutaneous B-cell lymphoma	
3135	Familial Scheuermann disease	93419
799	Schizencephaly	93890
178563	Primary cutaneous B-cell lymphoma	
3151	Multiple sclerosis-ichthyosis-factor VIII deficiency syndrome	97992
178566	Mycosis fungoides and variants	
813	Silver-Russell syndrome	93890
3169	Sirenomelia	93890
816	Sjögren-Larsson syndrome	89826
821	Sotos syndrome	93890
3173	Infantile spasms-broad thumbs syndrome	98006
3204	Stormorken-Sjaastad-Langslet syndrome	97992
3205	Sturge-Weber syndrome	93890
3320	Thrombocytopenia-absent radius syndrome	93890
178996	Acquired neutropenia	
3346	Tracheal agenesis	93890
179006	Primary immunodeficiency due to a defect in adaptive immunity	
