ORPHANET_ID	ORPHANET_NAME	MESH_ID
977	Adrenomyodystrophy	C538051
988	Tibial hemimelia-polysyndactyly-triphalangeal thumb syndrome	C535564
983	Testicular regression syndrome	C537770
40	Acromesomelic dysplasia, Maroteaux type	C535661
969	Acromicric dysplasia	C535662
974	Adams-Oliver syndrome	C538225
965	Acromegaloid facial appearance syndrome	C535655
1028	Ameloonychohypohidrotic syndrome	C538245
1031	Enamel-renal syndrome	C538241
1021	Amaurosis-hypertrichosis syndrome	C536604
1023	Congenital generalized hypertrichosis, Ambras type	C536605
1008	Alopecia-epilepsy-pyorrhea-intellectual disability syndrome	C537057
701	Alopecia universalis	C537055
1011	Alopecia-hypogonadism-extrapyramidal syndrome	C537053
1001	2q37 microdeletion syndrome	C538317
59	Allan-Herndon-Dudley syndrome	C537047
1003	Scalp defects-postaxial polydactyly syndrome	C536622
1005	Alopecia-contractures-dwarfism-intellectual disability syndrome	C537051
127	Borjeson-Forssman-Lehmann syndrome	C536575
1263	Boomerang dysplasia	C536573
1259	Blepharoptosis-myopia-ectopia lentis syndrome	C536236
1231	Barber-Say syndrome	C537908
1240	Metaphyseal acroscyphodysplasia	C537350
1237	Beemer-Ertbruggen syndrome	C537668
114	Auriculoosteodysplasia	C538271
115	Congenital contractural arachnodactyly	C536211
1292	Brachymorphism-onychodysplasia-dysphalangism syndrome	C536242
1293	Brachyolmia	C537098
1296	Lambert syndrome	C538396
1270	Bowen-Conradi syndrome	C537081
137605	Legius syndrome	C548032
1166	Congenital unilateral hypoplasia of depressor anguli oris	C535349
1174	Cerebellar ataxia-ectodermal dysplasia syndrome	C535350
1133	AREDYLD syndrome	C537427
137675	Histiocytoid cardiomyopathy	C535584
137678	Czech dysplasia, metatarsal type	C535766
1145	Infantile-onset X-linked spinal muscular atrophy	C535380
1144	Arthrogryposis-like hand anomaly-sensorineural deafness syndrome	C535386
1150	Arthrogryposis multiplex congenita-whistling face syndrome	C538401
1159	Progressive pseudorheumatoid arthropathy of childhood	C535387
1215	Autosomal dominant optic atrophy plus syndrome	C535351
1221	Cheilitis glandularis	C535921
1225	Baller-Gerold syndrome	C536788
1226	Bamforth-Lazarus syndrome	C537901
1227	Bangstad syndrome	C537902
137888	Auriculocondylar syndrome	C538270
1186	Infantile onset spinocerebellar ataxia	C535523
1187	Lethal ataxia with deafness and optic atrophy	C535388
1190	Atelosteogenesis type I	C535396
1200	Choanal atresia-hearing loss-cardiac defects-craniofacial dysmorphism syndrome	C537411
1203	Duodenal atresia	C535720
1449	Ring chromosome 7 syndrome	C537813
1440	Ring chromosome 14 syndrome	C535487
1458	CODAS syndrome	C536434
1426	Greenberg dysplasia	C537299
1484	Contractures-ectodermal dysplasia-cleft lip/palate syndrome	C535465
1484	Contractures-ectodermal dysplasia-cleft lip/palate syndrome	C538135
1490	Corneal dystrophy-perceptive deafness syndrome	C535473
1486	Lethal congenital contracture syndrome type 1	C537194
141327	Orofaciodigital syndrome type 12	C548034
141330	Orofaciodigital syndrome type 13	C548035
1471	Coloboma of macula-brachydactyly type B syndrome	C535969
1409	Woolly hair-hypotrichosis-everted lower lip-outstanding ears syndrome	C536746
1410	Uncombable hair syndrome	C536939
1412	Tarsal-carpal coalition syndrome	C536943
1399	Richards-Rundle syndrome	C535674
174	Metaphyseal chondrodysplasia, Schmid type	C537352
1425	Desbuquois syndrome	C535943
141127	Congenital tracheal stenosis	C536975
141148	Hemifacial myohyperplasia	C535862
163	Hereditary hyperferritinemia-cataract syndrome	C538137
1368	Cataract-ataxia-deafness syndrome	C538283
1366	Autosomal recessive palmoplantar keratoderma and congenital alopecia	C535336
1388	Catel-Manzke syndrome	C535347
156731	Dyssegmental dysplasia, Rolland-Desbuquois type	C537999
1377	Cataract-microcornea syndrome	C538287
1325	Camptodactyly-taurinuria syndrome	C537972
1326	Camptodactyly syndrome, Guadalajara type 2	C537971
1327	Camptodactyly syndrome, Guadalajara type 1	C537970
1321	Camptodactyly-fibrous tissue hyperplasia-skeletal dysplasia syndrome	C537287
1321	Camptodactyly-fibrous tissue hyperplasia-skeletal dysplasia syndrome	C537974
1318	Campomelia, Cumming type	C537966
1319	Camptobrachydactyly	C537967
1338	Heart defect-tongue hamartoma-polysyndactyly syndrome	C535849
1340	Cardiofaciocutaneous syndrome	C535579
156207	Macroglossia	C531735
2856	Persistent Müllerian duct syndrome	C536665
1766	Dysequilibrium syndrome	C535731
1777	Temtamy syndrome	C536959
1790	Hypomandibular faciocranial dysostosis	C537154
1786	Acrofacial dysostosis, Catania type	C538182
1788	Acrofacial dysostosis, Rodríguez type	C538183
1617	2q24 microdeletion syndrome	C538316
1647	Oculocerebrocutaneous syndrome	C538088
139491	Hemochromatosis type 4	C537249
1657	Dermatoosteolysis, Kirghizian type	C535373
1659	Dermatoleukodystrophy	C538220
1667	Wolcott-Rallison syndrome	C536739
1545	Crisponi syndrome	C536214
1540	Jackson-Weiss syndrome	C537559
140989	Primary angiitis of the central nervous system	C535276
1566	Dandy-Walker malformation-postaxial polydactyly syndrome	C535771
140976	RHYNS syndrome	C537612
1563	Dahlberg-Borer-Newcomer syndrome	C535769
140969	Saldino-Mainzer syndrome	C535463
1562	Dacryocystitis-osteopoikilosis syndrome	C536061
382	Guanidinoacetate methyltransferase deficiency	C537622
1571	Knobloch syndrome	C537209
1551	Familial benign copper deficiency	C535468
1569	De Sanctis-Cacchione syndrome	C535992
1512	Crane-Heise syndrome	C536452
1507	Autosomal recessive Robinow syndrome	C535863
1517	Hypertrichotic osteochondrodysplasia, Cantu type	C535572
1520	Craniofrontonasal dysplasia	C536456
1516	Craniofacial dyssynostosis	C536455
1528	Craniotelencephalic dysplasia	C535597
1529	Craniofacial-deafness-hand syndrome	C536453
1969	Facial dysmorphism-anorexia-cachexia-eye and skin anomalies syndrome	C536384
1973	Faciocardiorenal syndrome	C536388
1822	Dysplasia epiphysealis hemimelica	C537997
1824	Lowry-Wood syndrome	C537038
1952	Pacman dysplasia	C538095
1954	Congenital lethal erythroderma	C535513
1955	Spinocerebellar ataxia type 34	C535514
1955	Spinocerebellar ataxia type 34	C535738
1912	Fetal hydantoin syndrome	C537922
1913	Fetal trimethadione syndrome	C537798
1906	Fetal valproate syndrome	C536525
1807	Focal facial dermal dysplasia type III	C536385
1837	Ulna metaphyseal dysplasia syndrome	C536935
1836	Mesomelic dysplasia, Kantaputra type	C535547
1834	Axial mesodermal dysplasia spectrum	C537790
1831	De Hauwere syndrome	C535537
1830	Schimke immuno-osseous dysplasia	C536629
1811	Odontomicronychial dysplasia	C537741
1808	Hidrotic ectodermal dysplasia, Christianson-Fourie type	C536180
1801	Kyphomelic dysplasia	C538128
1794	Oculomaxillofacial dysostosis	C537736
2139	Hernández-Aguirre Negrete syndrome	C538112
2143	Donnai-Barrow syndrome	C536390
2087	Glomerulonephritis-sparse hair-telangiectasis syndrome	C536825
376	Gordon syndrome	C537288
380	Greig cephalopolysyndactyly syndrome	C537300
2095	Gorlin-Chaudhry-Moss syndrome	C537290
2097	Grant syndrome	C537293
2101	Grubben-de Cock-Borghgraef syndrome	C537621
2069	Gastrocutaneous syndrome	C535651
157846	Neuroferritinopathy	C548080
2065	Galloway-Mowat syndrome	C537548
2075	Genitopalatocardiac syndrome	C537683
2074	Gemignani syndrome	C537678
2078	Geroderma osteodysplastica	C537799
1826	Frontometaphyseal dysplasia	C538064
2047	Flynn-Aird syndrome	C537066
2048	Foix-Chavany-Marie syndrome	C537069
2050	Cole-Carpenter syndrome	C535963
2064	Posterior fusion of lumbosacral vertebrae-blepharoptosis syndrome	C536344
250	Frontonasal dysplasia	C538065
2059	Fryns syndrome	C538070
2019	Femur-fibula-ulna complex	C537918
2045	FLOTCH syndrome	C537065
2044	Floating-Harbor syndrome	C537062
2036	Scalp-ear-nipple syndrome	C536623
158687	Lethal acantholytic epidermolysis bullosa	C535493
158668	Epidermolysis bullosa simplex due to plakophilin deficiency	C536183
2017	Sternal cleft	C537489
1984	Fechtner syndrome	C537078
1988	Femoral-facial syndrome	C537916
2340	Keratosis follicularis spinulosa decalvans	C536159
2342	Haim-Munk syndrome	C537627
485	Kniest dysplasia	C537207
2347	Lethal Kniest-like dysplasia	C537208
2333	Kenny-Caffey syndrome	C537020
2332	KBG syndrome	C537015
247604	Juvenile primary lateral sclerosis	C536416
2339	Keratosis follicularis-dwarfism-cerebral atrophy syndrome	C536158
2322	Kabuki syndrome	C537705
2321	Jung syndrome	C537694
2324	Osteopenia-intellectual disability-sparse hair syndrome	C537706
2329	Karsch-Neugebauer syndrome	C537319
2328	Kapur-Toriello syndrome	C537008
2409	Lowry-MacLean syndrome	C537037
2400	Peripheral motor neuropathy-dysautonomia syndrome	C536988
2396	Encephalocraniocutaneous lipomatosis	C535736
2387	Leukonychia totalis	C535889
2391	Congenitally short costocoracoid ligament	C536448
2371	Lethal Larsen-like syndrome	C537872
2378	Laurin-Sandrow syndrome	C535689
1019	Epstein syndrome	C535507
243367	Acute fatty liver of pregnancy	C537957
2481	Neurocutaneous melanocytosis	C537387
2482	Melhem-Fahl syndrome	C537238
2475	White forelock with malformations	C536700
2473	McKusick-Kaufman syndrome	C538159
2471	McDonough syndrome	C538158
561	Marshall-Smith syndrome	C536026
2462	Shprintzen-Goldberg syndrome	C537328
2461	Marden-Walker syndrome	C535910
2189	Hydrolethalus	C536079
2150	Hirschsprung disease-type D brachydactyly syndrome	C538319
2152	Mowat-Wilson syndrome	C536990
2158	Histidinuria-renal tubular defect syndrome	C538321
2167	Holzgreve syndrome	C535327
2222	Hypertrichosis lanuginosa congenita	C538389
2224	Hypertryptophanemia	C538393
2238	Familial isolated hypoparathyroidism	C537156
2201	Palmoplantar keratoderma-spastic paralysis syndrome	C536153
2202	Palmoplantar keratoderma-deafness syndrome	C536152
2273	Ichthyosis follicularis-alopecia-photophobia syndrome	C536085
165	Neutral lipid storage disease	C536560
2249	Ulna hypoplasia-intellectual disability syndrome	C536934
2251	Thumb deformity-alopecia-pigmentation anomaly syndrome	C536904
2319	Juberg-Hayward syndrome	C537690
2316	Johnson neuroectodermal syndrome	C535882
2315	Johanson-Blizzard syndrome	C535880
2278	Ichthyosis-intellectual disability-dwarfism-renal impairment syndrome	C536274
2289	Neuronal intranuclear inclusion disease	C537395
2287	Fused mandibular incisors	C535997
2674	Cyprus facial-neuromusculoskeletal syndrome	C536229
2673	Neurofaciodigitorenal syndrome	C537388
2672	Neuhauser-Eichner-Opitz syndrome	C536407
2668	Nephropathy-deafness-hyperparathyroidism syndrome	C536401
2663	Nathalie syndrome	C538342
2661	Dwarfism-tall vertebrae syndrome	C535725
2671	Neu-Laxova syndrome	C536405
2670	Pierson syndrome	C537185
2669	Nephrosis-deafness-urinary tract-digital malformations syndrome	C536402
2697	Arthrogryposis-renal dysfunction-cholestasis syndrome	C535382
2695	Bifid nose	C535441
2691	Nevo syndrome	C536113
2712	Oculofaciocardiodental syndrome	C537465
2712	Oculofaciocardiodental syndrome	C537735
2704	Ochoa syndrome	C536480
2707	Oculocerebrofacial syndrome, Kaufman type	C537013
2709	Oculodental syndrome, Rutherfurd type	C537732
2731	Taurodontia-absent teeth-sparse hair syndrome	C536945
2720	Oculocerebral hypopigmentation syndrome, Preus type	C537866
2721	Odonto-onycho-dermal dysplasia	C537742
2751	Orofaciodigital syndrome type 2	C538585
2736	Lethal omphalocele-cleft palate syndrome	C537747
2770	Nasu-Hakola disease	C536329
2768	Blount disease	C536237
2760	OSLAM syndrome	C537138
2788	Osteoporosis-pseudoglioma syndrome	C536063
1306	Buschke-Ollendorff syndrome	C537415
2783	Autosomal dominant osteopetrosis type 1	C536056
2780	Osteopathia striata-cranial sclerosis syndrome	C536053
675	Annular pancreas	C536376
2500	Acrogeria	C538187
2501	Metaphyseal chondrodysplasia, Spahr type	C537353
2505	Multiple benign circumferential skin creases on limbs	C537575
2515	Microcephaly-cardiomyopathy syndrome	C537324
2515	Microcephaly-cardiomyopathy syndrome	C536711
2514	Autosomal dominant primary microcephaly	C537323
2513	Microcephaly-albinism-digital anomalies syndrome	C537322
2524	Pontocerebellar hypoplasia type 2	C548070
2522	Microcephaly-cervical spine fusion anomalies syndrome	C537325
2526	Microcephaly-lymphedema-chorioretinopathy syndrome	C537711
2528	Microcephaly-microcornea syndrome, Seemanova type	C537536
2528	Microcephaly-microcornea syndrome, Seemanova type	C537539
2536	Microcornea-glaucoma-absent frontal sinuses syndrome	C537552
2554	Ear-patella-short stature syndrome	C538012
2561	Pyramidal molars-abnormal upper lip syndrome	C538170
2565	Mononen-Karnes-Senac syndrome	C535914
2573	Moyamoya disease	C536991
2579	Muscular atrophy-ataxia-retinitis pigmentosa-diabetes mellitus syndrome	C538193
2576	Mulibrey nanism	C538604
2608	N syndrome	C536108
2617	Microcephalic primordial dwarfism, Montreal type	C535448
2623	Geleophysic dysplasia	C537677
2632	Langer mesomelic dysplasia	C537267
2634	Mesomelic dwarfism, Reinhardt-Pfeiffer type	C537349
2646	Parastremmatic dwarfism	C537172
2645	Osteoglosphonic dysplasia	C536050
2643	Microcephalic primordial dwarfism, Toriello type	C537321
2658	Lenz-Majewski hyperostotic dwarfism	C537115
3026	Radial ray hypoplasia-choanal atresia syndrome	C536263
3026	Radial ray hypoplasia-choanal atresia syndrome	C537280
3021	RAPADILINO syndrome	C535288
3022	Rapp-Hodgkin syndrome	C535289
3023	External auditory canal atresia-vertical talus-hypertelorism syndrome	C535290
3018	Retinal ischemic syndrome-digestive tract small vessel hyalinosis-diffuse cerebral calcifications syndrome	C535283
3019	Ramon syndrome	C535285
3015	Radio-renal syndrome	C536267
3016	Absent radius-anogenital anomalies syndrome	C535281
3010	Qazi-Markouizos syndrome	C536259
3003	Pyknoachondrogenesis	C536251
3005	Pyle disease	C536252
3138	Ulnar-mammary syndrome	C536937
3144	Schneckenbecken dysplasia	C536637
3132	Say-Barber-Miller syndrome	C536618
3130	Satoyoshi syndrome	C536616
3133	Say-Field-Coldwell syndrome	C536619
3134	SCARF syndrome	C536625
3123	Brittle hair syndrome, Sabinas type	C536320
3112	Patella aplasia-coxa vara-tarsal synostosis syndrome	C536307
3110	Rombo syndrome	C535870
431	Ichthyosis-male hypogonadism syndrome	C535878
431	Ichthyosis-male hypogonadism syndrome	C537365
3101	Richieri Costa-da Silva syndrome	C535675
3102	Richieri Costa-Pereira syndrome	C535677
3104	Robin sequence-oligodactyly syndrome	C535688
3106	Robinow-Sorauf syndrome	C537183
3086	Autosomal dominant vitreoretinochoroidopathy	C536352
3098	Rhizomelic syndrome, Urbach type	C537611
2886	TARP syndrome	C536942
2881	Cutaneous photosensitivity-lethal colitis syndrome	C536224
2891	Pili torti-developmental delay-neurological abnormalities syndrome	C537398
2890	Pili torti-onychodysplasia syndrome	C537399
2874	Phakomatosis pigmentokeratotica	C537893
2871	Pfeiffer-Palm-Teller syndrome	C537889
2867	Short stature, Brussels type	C537121
2842	Penoscrotal transposition	C536650
2840	Pelvic dysplasia-arthrogryposis of lower limbs syndrome	C535548
2840	Pelvic dysplasia-arthrogryposis of lower limbs syndrome	C535292
2854	Fuhrmann syndrome	C538189
708	Peters anomaly	C537884
2853	Serpentine fibula-polycystic kidneys syndrome	C537586
2825	PARC syndrome	C537174
2826	Spastic paraplegia-precocious puberty syndrome	C536874
2829	Partington-Anderson syndrome	C536299
2821	Spastic paraplegia-neuropathy-poikiloderma syndrome	C536870
2822	Autosomal recessive spastic paraplegia type 11	C537483
2822	Autosomal recessive spastic paraplegia type 11	C538335
2836	PEHO syndrome	C536317
2834	Wrinkly skin syndrome	C536750
2962	De Barsy syndrome	C535990
2972	Non-eruption of teeth-maxillary hypoplasia-genu valgum syndrome	C536952
2972	Non-eruption of teeth-maxillary hypoplasia-genu valgum syndrome	C537496
750	Pseudoachondroplasia	C535819
2976	Pseudoleprechaunism syndrome, Patterson type	C536310
1848	Renal agenesis, bilateral	C536482
2950	Triphalangeal thumb-polysyndactyly syndrome	C536563
2947	Triphalangeal thumbs-brachyectrodactyly syndrome	C536564
2956	Acrodysplasia scoliosis	C538180
2956	Acrodysplasia scoliosis	C538277
2959	Progeria-short stature-pigmented nevi syndrome	C536422
2957	Guttmacher syndrome	C538278
2924	Isolated polycystic liver disease	C536330
2896	Pitt-Hopkins syndrome	C537403
2900	Leri pleonosteosis	C537118
3408	Upington disease	C536472
3403	Uhl anomaly	C536932
1747	Mosaic trisomy 7	C537822
3328	Absent tibia-polydactyly-arachnoid cyst syndrome	C536918
3326	Thymic-renal-anal-lung dysplasia	C536907
3322	Hoyeraal-Hreidarsson syndrome	C536068
3317	Thoracolaryngopelvic dysplasia	C536517
3316	Thomas syndrome	C536514
3351	Trichodental syndrome	C536551
3352	Tricho-dento-osseous syndrome	C536549
3349	Treft-Sanborn-Carey syndrome	C536544
3344	Weismann-Netter syndrome	C537082
3341	Torticollis-keloids-cryptorchidism-renal dysplasia syndrome	C536970
3469	XK aprosencephaly syndrome	C536767
3472	Yunis-Varon syndrome	C536719
3471	Young syndrome	C536718
3319	Congenital amegakaryocytic thrombocytopenia	C535982
3460	Torg-Winchester syndrome	C536051
3464	Woodhouse-Sakati syndrome	C536742
3466	WT limb-blood syndrome	C536751
3465	Worster-Drought syndrome	C536747
1827	Acromelic frontonasal dysplasia	C535657
2352	Kozlowski-Brown-Hardwick syndrome	C537506
3423	Vasquez-Hurst-Sotos syndrome	C536533
3429	Verloove Vanhorick-Brubakk syndrome	C536541
3453	Autoimmune polyendocrinopathy type 1	C538275
3456	Wildervanck syndrome	C536706
3454	Intellectual disability-developmental delay-contractures syndrome	C536703
3455	Wiedemann-Rautenstrauch syndrome	C536423
1856	Spondyloperipheral dysplasia-short ulna syndrome	C535799
3181	Sprengel deformity	C535802
3194	Corneodermatoosseous syndrome	C537488
3194	Corneodermatoosseous syndrome	C536444
3184	Steatocystoma multiplex-natal teeth syndrome	C537487
3214	Deaf blind hypopigmentation syndrome, Yemenite type	C536771
3210	Summitt syndrome	C538142
3220	Deafness-enamel hypoplasia-nail defects syndrome	C535994
3219	Fountain syndrome	C537270
647	Nijmegen breakage syndrome	C531759
3152	Sclerosteosis	C537525
3168	Sillence syndrome	C537338
3163	SHORT syndrome	C537327
3156	Senior-Loken syndrome	C537580
3180	Spondylocamptodactyly syndrome	C535779
3177	Spinocerebellar degeneration-corneal dystrophy syndrome	C535472
1855	Spondyloenchondrodysplasia	C535782
3289	Taurodontism	C536946
3291	Teebi-Shaltout syndrome	C536950
3292	Tel Hashomer camptodactyly syndrome	C536953
3301	Tetraamelia-multiple malformations syndrome	C536500
3230	Deafness-oligodontia syndrome	C538049
3236	Conductive deafness-ptosis-skeletal anomalies syndrome	C535993
3250	Proximal symphalangism	C536223
3255	Filippi syndrome	C538152
3253	Zlotogora-Ogur syndrome	C536726
943	Malonic aciduria	C535702
