DO_ID	DO_NAME	PARENT_DO_ID	LEVEL
DOID:10011	thyroid lymphoma	DOID:1781	5
DOID:12678	hypercalcemia	DOID:10575	4
DOID:12679	nephrocalcinosis	DOID:182	5
DOID:12679	nephrocalcinosis	DOID:557	3
DOID:5545	anal neuroendocrine tumor	DOID:4551	6
DOID:5546	femoral cancer	DOID:184	6
DOID:5547	pulmonary artery choriocarcinoma	DOID:175	5
DOID:5540	fallopian tube squamous cell carcinoma	DOID:1963	7
DOID:6872	spinal cord primitive neuroectodermal neoplasm	DOID:5612	6
DOID:4210	clear cell meningioma	DOID:3565	6
DOID:6871	spinal cord neuroblastoma	DOID:6872	7
DOID:4211	posterior cranial fossa meningioma	DOID:3565	6
DOID:6873	skin tag	DOID:2053	4
DOID:12680	pseudobulbar palsy	DOID:231	5
DOID:12680	pseudobulbar palsy	DOID:936	4
DOID:12683	vestibular neuronitis	DOID:12657	6
DOID:4217	malignant ovarian Brenner tumor	DOID:2151	8
DOID:11353	bladder diverticulum	DOID:365	3
DOID:11354	stone in bladder diverticulum	DOID:11353	4
DOID:11354	stone in bladder diverticulum	DOID:11355	4
DOID:12685	mixed receptive-expressive language disorder	DOID:2033	4
DOID:10003	sensorineural hearing loss	DOID:2952	5
DOID:11355	bladder calculus	DOID:9590	3
DOID:12689	acoustic neuroma	DOID:3192	6
DOID:4202	brain stem glioma	DOID:4203	8
DOID:5533	endometrial squamous cell carcinoma	DOID:2871	8
DOID:6865	oxyphilic endometrial endometrioid adenocarcinoma	DOID:2870	9
DOID:4203	brain stem cancer	DOID:4706	7
DOID:5534	renal pelvis squamous cell carcinoma	DOID:4919	6
DOID:5535	gallbladder squamous cell carcinoma	DOID:4948	7
DOID:6867	mediastinal gray zone lymphoma	DOID:5822	7
DOID:6867	mediastinal gray zone lymphoma	DOID:6868	6
DOID:4205	cerebellum cancer	DOID:4706	7
DOID:5536	sarcomatoid squamous cell skin carcinoma	DOID:3151	7
DOID:5530	thymus squamous cell carcinoma	DOID:3284	6
DOID:5531	ovarian squamous cell carcinoma	DOID:4001	9
DOID:4201	peroneal neuropathy	DOID:1188	5
DOID:5532	ovarian squamous cell neoplasm	DOID:2152	7
DOID:11360	Phlebotomus fever	DOID:934	2
DOID:4206	childhood brain stem neoplasm	DOID:4203	8
DOID:5537	squamous cell bile duct carcinoma	DOID:4897	7
DOID:6869	parasagittal meningioma	DOID:6114	10
DOID:11364	lens subluxation	DOID:110	6
DOID:4207	childhood infratentorial neoplasm	DOID:4203	8
DOID:5538	external ear squamous cell carcinoma	DOID:4288	8
DOID:6868	mediastinal malignant lymphoma	DOID:5559	5
DOID:5539	ureter squamous cell carcinoma	DOID:4939	6
DOID:12697	locked-in syndrome	DOID:863	2
DOID:4209	brainstem intraparenchymal clear cell meningioma	DOID:4210	7
DOID:10035	asymptomatic neurosyphilis	DOID:9988	6
DOID:10034	eye accommodation disease	DOID:5614	5
DOID:10033	cycloplegia	DOID:10034	6
DOID:10032	hyperlucent lung	DOID:9675	7
DOID:12657	vestibulocochlear nerve disease	DOID:2889	5
DOID:12657	vestibulocochlear nerve disease	DOID:5656	5
DOID:10031	compensatory emphysema	DOID:9675	7
DOID:10030	interstitial emphysema	DOID:9675	7
DOID:11328	schizophreniform disorder	DOID:2468	3
DOID:11329	ainhum	DOID:65	3
DOID:5560	mediastinal mesenchymal tumor	DOID:5559	5
DOID:4230	smooth muscle cancer	DOID:4045	5
DOID:5561	gastric teratoma	DOID:0050624	4
DOID:4235	spindle cell sarcoma	DOID:1115	4
DOID:5566	mature teratoma	DOID:3307	6
DOID:6898	ovary mixed epithelial carcinoma	DOID:4001	9
DOID:4236	carcinosarcoma	DOID:154	4
DOID:5567	ovarian germ cell teratoma	DOID:2156	7
DOID:5568	mediastinum teratoma	DOID:5559	5
DOID:5569	malignant syringoma	DOID:4921	7
DOID:6899	malignant ovarian mixed epithelial neoplasm	DOID:6211	7
DOID:4231	histiocytoma	DOID:201	5
DOID:4232	extraosseous Ewing's sarcoma	DOID:3369	7
DOID:5563	malignant teratoma	DOID:3307	6
DOID:4233	clear cell sarcoma	DOID:1115	4
DOID:5564	fallopian tube teratoma	DOID:5324	7
DOID:5565	adult teratoma	DOID:3307	6
DOID:11330	erysipelas	DOID:2723	4
DOID:12661	tooth ankylosis	DOID:214	5
DOID:4239	alveolar soft part sarcoma	DOID:4043	6
DOID:10027	tabes dorsalis	DOID:9988	6
DOID:12662	paracoccidioidomycosis	DOID:0050292	4
DOID:12663	blastomycosis	DOID:0050292	4
DOID:13994	cleidocranial dysplasia	DOID:2256	6
DOID:10024	migraine with aura	DOID:6364	5
DOID:11335	sarcoidosis	DOID:2916	4
DOID:13996	small intestine lymphoma	DOID:10154	6
DOID:10022	ampulla of Vater neoplasm	DOID:1737	7
DOID:11336	rhinoscleroma	DOID:0050338	3
DOID:12667	binocular vision disease	DOID:540	7
DOID:13999	contact blepharoconjunctivitis	DOID:2456	8
DOID:10021	duodenum cancer	DOID:10154	6
DOID:11337	Lemierre's syndrome	DOID:0050339	3
DOID:12668	abnormal retinal correspondence	DOID:12667	8
DOID:10020	ampulla of Vater cancer	DOID:10021	7
DOID:11338	tetanus	DOID:0050338	3
DOID:11339	pneumocystosis	DOID:2473	4
DOID:5550	choriocarcinoma of ovary	DOID:2155	8
DOID:6880	small bowel fibrosarcoma	DOID:5272	7
DOID:5556	testicular malignant germ cell cancer	DOID:5557	7
DOID:6886	ureter small cell carcinoma	DOID:4939	6
DOID:4226	endometrial stromal sarcoma	DOID:5166	8
DOID:5557	testicular germ cell cancer	DOID:2998	6
DOID:4227	uterine corpus endometrial stromal sarcoma	DOID:5165	8
DOID:6888	ureter transitional cell carcinoma	DOID:4939	6
DOID:5551	choriocarcinoma of the testis	DOID:3594	7
DOID:5553	pineal region choriocarcinoma	DOID:1660	6
DOID:4223	pyoderma	DOID:2723	4
DOID:10017	multiple endocrine neoplasia type 1	DOID:0050736	4
DOID:5559	mediastinal cancer	DOID:5093	4
DOID:10016	multiple endocrine neoplasia type 2B	DOID:0050736	4
DOID:11342	arcus senilis	DOID:1237	7
DOID:11343	scleral disease	DOID:5614	5
DOID:0111030	hemochromatosis type 3	DOID:2352	4
DOID:0111031	hemochromatosis type 5	DOID:2352	4
DOID:736	male urethral cancer	DOID:734	5
DOID:0111032	hemochromatosis type 2B	DOID:0111034	5
DOID:0111033	African iron overload	DOID:2352	4
DOID:734	urethra cancer	DOID:3996	4
DOID:0111034	hemochromatosis type 2	DOID:2352	4
DOID:0111035	CADASIL 1	DOID:13945	7
DOID:732	urethral disease	DOID:18	2
DOID:0111036	CADASIL 2	DOID:13945	7
DOID:731	urinary system benign neoplasm	DOID:0060085	3
DOID:0111037	glycine N-methyltransferase deficiency	DOID:0050544	4
DOID:730	urethral benign neoplasm	DOID:731	4
DOID:738	female urethral cancer	DOID:734	5
DOID:5500	cellular ependymoma	DOID:4844	5
DOID:5501	Pediculus humanus capitis infestation	DOID:5502	4
DOID:5502	lice infestation	DOID:4110	3
DOID:5503	spinal cord ependymoma	DOID:3185	7
DOID:0111027	hemochromatosis type 2A	DOID:0111034	5
DOID:5508	brain stem ependymoma	DOID:4202	9
DOID:0111028	hemochromatosis type 4	DOID:2352	4
DOID:5509	pediatric ependymoma	DOID:5074	5
DOID:6839	breast intraductal proliferative lesion	DOID:3013	6
DOID:0111029	hemochromatosis type 1	DOID:2352	4
DOID:5504	tanycytic ependymoma	DOID:4844	5
DOID:5505	papillary ependymoma	DOID:4844	5
DOID:6838	rete ovarii cystadenofibroma	DOID:4895	6
DOID:5507	clear cell ependymoma	DOID:4844	5
DOID:6837	rete ovarii adenoma	DOID:4895	6
DOID:0111020	cone-rod dystrophy 9	DOID:0050572	8
DOID:9095	esophagus carcinoma in situ	DOID:8719	3
DOID:0111021	cone-rod dystrophy 15	DOID:0050572	8
DOID:746	adenomatoid tumor	DOID:2645	4
DOID:0111022	cone-rod dystrophy 16	DOID:0050572	8
DOID:745	epididymis adenomatoid tumor	DOID:0060087	5
DOID:0111023	cone-rod dystrophy 17	DOID:0050572	8
DOID:0111024	cone-rod dystrophy 18	DOID:0050572	8
DOID:743	dermatographia	DOID:0060220	5
DOID:9091	REM sleep behavior disorder	DOID:535	2
DOID:0111025	cone-rod dystrophy 19	DOID:0050572	8
DOID:0111026	cone-rod dystrophy 20	DOID:0050572	8
DOID:9098	sebaceous gland disease	DOID:37	3
DOID:749	active peptic ulcer disease	DOID:750	3
DOID:9097	erythematosquamous dermatosis	DOID:37	3
DOID:6823	pancreatoblastoma	DOID:4905	6
DOID:0111016	cone-rod dystrophy 13	DOID:0050572	8
DOID:0111017	cone-rod dystrophy 10	DOID:0050572	8
DOID:750	peptic ulcer disease	DOID:77	2
DOID:0111018	cone-rod dystrophy 11	DOID:0050572	8
DOID:0111019	cone-rod dystrophy 12	DOID:0050572	8
DOID:6827	pancreatic solid pseudopapillary carcinoma	DOID:4905	6
DOID:715	T-cell leukemia	DOID:10747	8
DOID:0111010	cone-rod dystrophy 5	DOID:0050572	8
DOID:713	HCL-V	DOID:285	9
DOID:0111011	cone-rod dystrophy 6	DOID:0050572	8
DOID:712	refractory hematologic cancer	DOID:2531	5
DOID:0111012	cone-rod dystrophy 7	DOID:0050572	8
DOID:711	refractory hairy cell leukemia	DOID:285	9
DOID:711	refractory hairy cell leukemia	DOID:712	6
DOID:0111013	cone-rod dystrophy 3	DOID:0050572	8
DOID:710	splenic manifestation of leukemia	DOID:672	6
DOID:0111014	cone-rod dystrophy 8	DOID:0050572	8
DOID:0111015	Newfoundland cone-rod dystrophy	DOID:0050572	8
DOID:718	autoimmune hemolytic anemia	DOID:0060050	5
DOID:5522	basaloid squamous cell carcinoma	DOID:1749	5
DOID:6854	ethmoid sinus ectopic meningioma	DOID:1364	6
DOID:5524	adenoid squamous cell carcinoma	DOID:1749	5
DOID:6856	pineal region teratoma	DOID:1660	6
DOID:5525	anal squamous cell carcinoma	DOID:4908	8
DOID:5520	head and neck squamous cell carcinoma	DOID:1542	5
DOID:5521	keratinizing squamous cell carcinoma	DOID:1749	5
DOID:0111005	cone-rod dystrophy 2	DOID:0050572	8
DOID:0111006	X-linked cone-rod dystrophy 2	DOID:0050572	8
DOID:0111007	X-linked cone-rod dystrophy 3	DOID:0050572	8
DOID:0111008	X-linked cone-rod dystrophy 1	DOID:0050572	8
DOID:0111009	cone-rod dystrophy 1	DOID:0050572	8
DOID:5526	middle ear squamous cell carcinoma	DOID:4893	8
DOID:6858	pineal region immature teratoma	DOID:6856	7
DOID:5527	ampulla of Vater squamous cell carcinoma	DOID:4932	9
DOID:6857	pineal region mature teratoma	DOID:5566	7
DOID:6857	pineal region mature teratoma	DOID:6856	7
DOID:5528	rectum squamous cell carcinoma	DOID:1993	8
DOID:5529	lacrimal gland squamous cell carcinoma	DOID:293	9
DOID:724	female stress incontinence	DOID:365	3
DOID:0111000	Joubert syndrome 5	DOID:0050777	3
DOID:0111001	Joubert syndrome 6	DOID:0050777	3
DOID:0111002	Joubert syndrome 7	DOID:0050777	3
DOID:0111003	Joubert syndrome 8	DOID:0050777	3
DOID:720	normocytic anemia	DOID:2355	3
DOID:0111004	Joubert syndrome 9	DOID:0050777	3
DOID:728	nodular episcleritis	DOID:11343	6
DOID:727	premenstrual tension	DOID:229	3
DOID:5511	dysgerminoma of ovary	DOID:4441	5
DOID:5513	Pediculus humanus corporis infestation	DOID:5502	4
DOID:6845	infiltrating ureter transitional cell carcinoma	DOID:6888	7
DOID:5514	breast squamous cell carcinoma	DOID:4680	7
DOID:6844	kidney pelvis sarcomatoid transitional cell carcinoma	DOID:0050620	8
DOID:6841	flat ductal epithelial atypia	DOID:6839	7
DOID:5510	pineal dysgerminoma	DOID:1660	6
DOID:5519	colon squamous cell carcinoma	DOID:1520	8
DOID:5515	nasal cavity squamous cell carcinoma	DOID:4931	6
DOID:6847	adult botryoid rhabdomyosarcoma	DOID:3255	9
DOID:5516	gastric squamous cell carcinoma	DOID:5517	6
DOID:6846	familial melanoma	DOID:1909	4
DOID:5517	stomach carcinoma	DOID:10534	5
DOID:5518	penis squamous cell carcinoma	DOID:3449	7
DOID:6848	adult vagina botryoid rhabdomyosarcoma	DOID:6788	8
DOID:0111074	progressive familial heart block type IA	DOID:0111073	5
DOID:0111075	progressive familial heart block type II	DOID:0111073	5
DOID:0111076	progressive familial heart block type IB	DOID:0111073	5
DOID:0111077	pyruvate kinase deficiency of red cells	DOID:2861	7
DOID:778	delusional disorder	DOID:2468	3
DOID:9060	pityriasis versicolor	DOID:0050133	3
DOID:0111078	tibial muscular dystrophy	DOID:11720	7
DOID:0111079	birdshot chorioretinopathy	DOID:12574	9
DOID:10095	intracranial abscess	DOID:331	3
DOID:775	intraocular lymphoma	DOID:6903	7
DOID:774	retina lymphoma	DOID:4645	7
DOID:0111070	congenital bile acid synthesis defect 3	DOID:0050674	5
DOID:9065	leishmaniasis	DOID:2789	3
DOID:0111071	congenital bile acid synthesis defect 1	DOID:0050674	5
DOID:0111072	myostatin-related muscle hypertrophy	DOID:66	4
DOID:9063	Ritter's disease	DOID:0050339	3
DOID:0111073	progressive familial heart block	DOID:10273	4
DOID:784	chronic kidney disease	DOID:1074	4
DOID:783	end stage renal failure	DOID:784	5
DOID:782	renal infectious disease	DOID:557	3
DOID:780	placenta disease	DOID:345	4
DOID:0111063	hyperphosphatemic familial tumoral calcinosis	DOID:182	5
DOID:0111064	autosomal recessive distal spinal muscular atrophy 1	DOID:12377	6
DOID:0111065	autosomal recessive distal spinal muscular atrophy 2	DOID:12377	6
DOID:0111066	congenital bile acid synthesis defect 5	DOID:0050674	5
DOID:10087	gastric leiomyoma	DOID:0050624	4
DOID:0111067	congenital bile acid synthesis defect 6	DOID:0050674	5
DOID:0111068	congenital bile acid synthesis defect 4	DOID:0050674	5
DOID:0111069	congenital bile acid synthesis defect 2	DOID:0050674	5
DOID:786	laryngeal disease	DOID:974	3
DOID:10081	syphilitic encephalitis	DOID:9588	5
DOID:10080	sparganosis	DOID:883	3
DOID:0111060	Ambras type hypertrichosis universalis congenita	DOID:420	4
DOID:0111061	familial hypobetalipoproteinemia 2	DOID:1390	5
DOID:0111062	familial hypobetalipoproteinemia 1	DOID:1390	5
DOID:9053	bladder carcinoma in situ	DOID:8719	3
DOID:790	ocular hypotension	DOID:5614	5
DOID:0111052	Scott syndrome	DOID:2214	4
DOID:0111053	platelet-type bleeding disorder 15	DOID:2214	4
DOID:758	situs inversus	DOID:0050545	2
DOID:0111054	von Willebrand's disease 3	DOID:12531	5
DOID:0111055	platelet-type bleeding disorder 20	DOID:2214	4
DOID:0111056	platelet-type bleeding disorder 3	DOID:2214	4
DOID:0111057	platelet-type bleeding disorder 11	DOID:2214	4
DOID:754	bladder tuberculosis	DOID:2149	6
DOID:9080	macroglobulinemia	DOID:2345	3
DOID:0111058	platelet-type bleeding disorder 12	DOID:2214	4
DOID:0111059	Bernard-Soulier syndrome type A2	DOID:2217	5
DOID:752	peptic ulcer perforation	DOID:750	3
DOID:9087	anal carcinoma in situ	DOID:8719	3
DOID:9088	parapsoriasis	DOID:8893	4
DOID:0111050	Quebec platelet disorder	DOID:2214	4
DOID:0111051	platelet-type bleeding disorder 18	DOID:2214	4
DOID:6812	childhood pilocytic astrocytoma	DOID:4851	6
DOID:6811	juvenile pilocytic astrocytoma	DOID:6812	7
DOID:0111049	platelet-type bleeding disorder 17	DOID:2214	4
DOID:0111041	glycogen storage disease IXb	DOID:0050594	6
DOID:9072	lethal midline granuloma	DOID:2825	4
DOID:0111042	glycogen storage disease IXa	DOID:0050594	6
DOID:769	neuroblastoma	DOID:2621	6
DOID:0111043	glycogen storage disease IXc	DOID:0050594	6
DOID:768	retinoblastoma	DOID:771	8
DOID:0111044	gray platelet syndrome	DOID:2214	4
DOID:767	muscular atrophy	DOID:423	5
DOID:0111045	platelet-type bleeding disorder 9	DOID:2214	4
DOID:0111046	platelet-type bleeding disorder 10	DOID:2214	4
DOID:0111047	platelet-type bleeding disorder 14	DOID:2214	4
DOID:0111048	platelet-type bleeding disorder 19	DOID:2214	4
DOID:9076	discoid lupus erythematosus of eyelid	DOID:1894	8
DOID:9074	systemic lupus erythematosus	DOID:65	3
DOID:9074	systemic lupus erythematosus	DOID:8857	5
DOID:0111040	glycogen storage disease IXd	DOID:0050594	6
DOID:0111038	hypermethioninemia due to adenosine kinase deficiency	DOID:0050544	4
DOID:0111039	hypermethioninemia with deficiency of S-adenosylhomocysteine hydrolase	DOID:0050544	4
DOID:6809	vaginal tubular adenoma	DOID:5402	7
DOID:771	retinal cell cancer	DOID:4645	7
DOID:6804	colon Kaposi sarcoma	DOID:5260	8
DOID:9146	visceral leishmaniasis	DOID:9065	4
DOID:9140	xeroderma of eyelid	DOID:1894	8
DOID:9149	hard palate cancer	DOID:8618	5
DOID:9132	liver carcinoma in situ	DOID:8719	3
DOID:9138	stomach carcinoma in situ	DOID:8719	3
DOID:9169	Wiskott-Aldrich syndrome	DOID:0050735	3
DOID:9164	achalasia	DOID:6050	3
DOID:9165	neurotic excoriation	DOID:2723	4
DOID:9155	mucocutaneous leishmaniasis	DOID:9065	4
DOID:9153	variola minor	DOID:8736	3
DOID:9159	gas gangrene	DOID:0050339	3
DOID:9108	uterus carcinoma in situ	DOID:8719	3
DOID:701	dentin dysplasia	DOID:214	5
DOID:700	mitochondrial metabolism disease	DOID:655	2
DOID:709	splenic manifestation of hairy cell leukemia	DOID:710	7
DOID:707	B-cell lymphoma	DOID:0060060	7
DOID:706	mature B-cell neoplasm	DOID:707	8
DOID:705	Leber hereditary optic neuropathy	DOID:1891	6
DOID:9125	lower gum cancer	DOID:8602	6
DOID:9123	eczema herpeticum	DOID:8566	3
DOID:9120	amyloidosis	DOID:0060158	2
DOID:9113	granuloma inguinale	DOID:0050338	3
DOID:9111	cutaneous leishmaniasis	DOID:9065	4
DOID:9119	acute myeloid leukemia	DOID:8692	7
DOID:13964	Morgagni cataract	DOID:9669	8
DOID:11302	cercarial dermatitis	DOID:1395	4
DOID:13963	nuclear senile cataract	DOID:9669	8
DOID:12637	perineocele	DOID:1284	4
DOID:12638	hypertrophic pyloric stenosis	DOID:12639	5
DOID:12639	pyloric stenosis	DOID:3122	4
DOID:12641	displacement of cardia through esophageal hiatus	DOID:12642	4
DOID:12642	hiatus hernia	DOID:76	3
DOID:13972	female breast lower-outer quadrant cancer	DOID:0050671	6
DOID:0060601	alpha-2-plasmin inhibitor deficiency	DOID:2213	4
DOID:11312	Mobitz type II atrioventricular block	DOID:0050822	6
DOID:0060600	hereditary motor and sensory neuropathy with agenesis of the corpus callosum	DOID:870	4
DOID:0060603	isolated anhidrosis with normal sweat glands	DOID:11156	5
DOID:0060602	alpha-methylacyl-CoA racemase deficiency	DOID:906	3
DOID:11315	African histoplasmosis	DOID:1731	5
DOID:13976	peptic esophagitis	DOID:11963	4
DOID:13976	peptic esophagitis	DOID:750	3
DOID:0060605	anterior segment mesenchymal dysgenesis	DOID:5614	5
DOID:11316	histoplasmosis retinitis	DOID:3612	7
DOID:0060604	ankyloglossia	DOID:10944	4
DOID:0060606	fetal nicotine spectrum disorder	DOID:0060038	3
DOID:0060609	microcephalic osteodysplastic primordial dwarfism type II	DOID:2256	6
DOID:0060608	microcephalic osteodysplastic primordial dwarfism type I	DOID:2256	6
DOID:11320	Kyasanur forest disease	DOID:934	2
DOID:0060612	abdominal obesity-metabolic syndrome 3	DOID:0060611	5
DOID:13942	acute gonococcal salpingitis	DOID:10973	6
DOID:0060611	abdominal obesity-metabolic syndrome	DOID:654	4
DOID:13941	benign paroxysmal positional nystagmus	DOID:9847	7
DOID:0060614	ulnar-mammary syndrome	DOID:225	1
DOID:0060613	X-linked cleft palate with or without ankyloglossia	DOID:674	3
DOID:13943	acute gonococcal prostatitis	DOID:14654	5
DOID:13945	CADASIL	DOID:10579	6
DOID:13948	bladder neck obstruction	DOID:365	3
DOID:13949	interstitial cystitis	DOID:1679	4
DOID:0060610	megacystis-microcolon-intestinal hypoperistalsis syndrome	DOID:225	1
DOID:13951	uterine corpus epithelioid leiomyoma	DOID:13223	7
DOID:13953	uterine corpus dissecting leiomyoma	DOID:13223	7
DOID:13955	uterus interstitial leiomyoma	DOID:13223	7
DOID:13957	uterine corpus lipoleiomyoma	DOID:13223	7
DOID:13956	uterine corpus myxoid leiomyoma	DOID:13223	7
DOID:13958	uterine corpus bizarre leiomyoma	DOID:0060095	6
DOID:13922	eosinophilic esophagitis	DOID:11963	4
DOID:13921	bacterial esophagitis	DOID:11963	4
DOID:0060638	neonatal diabetes mellitus with congenital hypothyroidism	DOID:11717	6
DOID:13924	necrotizing ulcerative gingivitis	DOID:3087	7
DOID:0060639	permanent neonatal diabetes mellitus	DOID:11717	6
