ORPHANET_ID	ORPHANET_NAME	ICD10CM_ID
870	Down syndrome	Q90.0
870	Down syndrome	Q90.1
870	Down syndrome	Q90.2
870	Down syndrome	Q90.9
165958	Cavitary myiasis	B87.8
512	Metachromatic leukodystrophy	E75.2
166011	Multiple epiphyseal dysplasia, Beighton type	Q77.3
567	22q11.2 deletion syndrome	D82.1
166016	Multiple epiphyseal dysplasia, Lowry type	Q78.8
232	Sickle cell anemia	D57.0
232	Sickle cell anemia	D57.1
232	Sickle cell anemia	D57.2
165994	Pituitary resistance to thyroid hormone	E05.8
536	Systemic lupus erythematosus	M32.0
536	Systemic lupus erythematosus	M32.1
536	Systemic lupus erythematosus	M32.8
536	Systemic lupus erythematosus	M32.9
166002	Multiple epiphyseal dysplasia due to collagen 9 anomaly	Q77.3
534	Oculocerebrorenal syndrome of Lowe	E72.0
165988	Diazoxide-resistant diffuse hyperinsulinism	E16.1
790	Retinoblastoma	C69.2
165991	Exercise-induced hyperinsulinism	E16.1
652	Multiple endocrine neoplasia type 1	D44.8
165985	Diazoxide-sensitive diffuse hyperinsulinism	E16.1
908	Fragile X syndrome	Q99.2
3099	Rheumatic fever	I00
3099	Rheumatic fever	I01.0
3099	Rheumatic fever	I01.1
3099	Rheumatic fever	I01.2
3099	Rheumatic fever	I01.8
3099	Rheumatic fever	I01.9
739	Prader-Willi syndrome	Q87.1
47	X-linked agammaglobulinemia	D80.0
580	Mucopolysaccharidosis type 2	E76.1
579	Mucopolysaccharidosis type 1	E76.0
905	Wilson disease	E83.0
163209	Non-syndromic cerebral malformation due to abnormal neuronal migration	Q04.8
792	X-linked retinoschisis	Q14.1
383	X-linked mixed deafness with perilymphatic gusher	H90.8
163525	Subacute cutaneous lupus erythematosus	L93.1
827	Stargardt disease	H35.5
163531	Chronic cutaneous lupus erythematosus	L93.0
163531	Chronic cutaneous lupus erythematosus	L93.2
906	Wiskott-Aldrich syndrome	D82.0
904	Williams syndrome	Q93.8
280	Wolf-Hirschhorn syndrome	Q93.3
162516	Isolated congenital nasal pyriform aperture stenosis	Q30.8
15	Achondroplasia	Q77.4
96	Ataxia with vitamin E deficiency	G11.1
162526	Isolated congenital auditory ossicle malformation	Q16.3
101	Dentatorubral pallidoluysian atrophy	G11.8
783	Rubinstein-Taybi syndrome	Q87.2
163649	Spondyloepiphyseal dysplasia, Nishimura type	Q77.7
631	Non-acquired isolated growth hormone deficiency	E23.0
276	T-B+ severe combined immunodeficiency due to gamma chain deficiency	D81.2
163654	Spondyloepiphyseal dysplasia, Cantu type	Q77.7
481	Kennedy disease	G12.2
664	Ornithine transcarbamylase deficiency	E72.4
163668	Spondyloepiphyseal dysplasia, MacDermot type	Q77.7
163662	Spondyloepiphyseal dysplasia, Reardon type	Q77.7
394	Classic homocystinuria	E72.1
163665	Spondyloepiphyseal dysplasia tarda, Kohn type	Q77.7
508	Leprechaunism	E34.8
436	Hypophosphatasia	E83.3
163596	Hb Bart's hydrops fetalis	D56.0
429	Hypochondroplasia	Q77.4
437	Hypophosphatemic rickets	E83.3
104	Leber hereditary optic neuropathy	H47.2
163631	Bile acid synthesis defect with cholestasis and malabsorption	K76.8
2182	Hydrocephalus with stenosis of the aqueduct of Sylvius	Q03.0
163634	Maffucci syndrome	Q78.4
636	Neurofibromatosis type 1	Q85.0
163703	Febrile infection-related epilepsy syndrome	G40.5
649	Norrie disease	H35.5
163684	Leukoencephalopathy-dystonia-motor neuropathy syndrome	E75.2
163681	Cortical dysplasia-focal epilepsy syndrome	Q04.8
379	Chronic granulomatous disease	D71
16	Blue cone monochromatism	H53.5
163699	Alveolar soft tissue sarcoma	C49.9
644	NARP syndrome	G31.8
637	Neurofibromatosis type 2	Q85.0
181	X-linked hypohidrotic ectodermal dysplasia	Q82.4
163693	2p21 microdeletion syndrome	Q93.5
163690	Hypotonia-cystinuria syndrome	E72.0
337	Fibrodysplasia ossificans progressiva	M61.1
3444	Watson syndrome	Q85.0
377	Gorlin syndrome	Q87.8
648	Noonan syndrome	Q87.1
281	Monosomy 5p	Q93.4
752	46,XY disorder of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency	E29.1
214	Cystinuria	E72.0
510	Lesch-Nyhan syndrome	E79.1
524	Li-Fraumeni syndrome	D48.9
699	Pearson syndrome	D64.0
640	Hereditary neuropathy with liability to pressure palsies	G60.0
60	Alpha-1-antitrypsin deficiency	E88.0
895	Waardenburg syndrome type 2	E70.3
896	Waardenburg syndrome type 3	E70.3
857	Townes-Brocks syndrome	Q87.8
894	Waardenburg syndrome type 1	E70.3
682	Hyperkalemic periodic paralysis	G72.3
800	Schwartz-Jampel syndrome	Q78.8
800	Schwartz-Jampel syndrome	G71.1
628	Diastrophic dwarfism	Q77.5
673	Malaria	B54
673	Malaria	B51.8
673	Malaria	B51.9
673	Malaria	B52.0
673	Malaria	B52.8
673	Malaria	B52.9
673	Malaria	B53.0
673	Malaria	B53.1
673	Malaria	B53.8
673	Malaria	B50.0
673	Malaria	B50.8
673	Malaria	B50.9
673	Malaria	B51.0
681	Hypokalemic periodic paralysis	G72.3
126	Blepharophimosis-epicanthus inversus-ptosis syndrome	Q10.3
107	BOR syndrome	Q87.8
774	Hereditary hemorrhagic telangiectasia	I78.0
794	Saethre-Chotzen syndrome	Q87.0
710	Pfeiffer syndrome	Q87.0
2869	Peutz-Jeghers syndrome	Q85.8
893	WAGR syndrome	Q87.8
912	Zellweger syndrome	Q87.8
50	Aicardi syndrome	Q04.0
53	Albers-Schönberg osteopetrosis	Q78.2
14	Abetalipoproteinemia	E78.6
52	Alagille syndrome	Q44.7
167	Chédiak-Higashi syndrome	E70.3
195	Cat-eye syndrome	Q92.8
207	Crouzon disease	Q75.1
205	Crigler-Najjar syndrome	E80.5
160148	Cap polyposis	D12.6
201	Cowden syndrome	Q85.8
192	Coffin-Lowry syndrome	Q87.0
2442	X-linked lymphoproliferative disease	D82.3
169808	Mild hemophilia A	D66
169826	Congenital vitamin K-dependent coagulation factors deficiency	D68.2
169802	Severe hemophilia A	D66
169805	Moderately severe hemophilia A	D66
562	McCune-Albright syndrome	Q78.1
565	Menkes disease	E83.0
474	Jeune syndrome	Q77.2
540	Familial hemophagocytic lymphohistiocytosis	D76.1
568	Microphthalmia, Lenz type	Q11.2
564	Meckel syndrome	Q61.9
289	Ellis Van Creveld syndrome	Q77.6
258	Congenital muscular dystrophy type 1A	G71.2
1247	Schistosomiasis	B65.0
1247	Schistosomiasis	B65.1
1247	Schistosomiasis	B65.2
1247	Schistosomiasis	B65.3
1247	Schistosomiasis	B65.8
1247	Schistosomiasis	B65.9
112	Bartter syndrome	E26.8
169443	Specific antibody deficiency with normal immunoglobulin concentrations and normal numbers of B cells	D80.6
1646	Partial chromosome Y deletion	Q98.6
169464	Primary CD59 deficiency	D84.1
99	Autosomal dominant cerebellar ataxia	G11.8
116	Beckwith-Wiedemann syndrome	Q87.3
87	Apert syndrome	Q87.0
169618	Secondary central precocious puberty	E22.8
169615	Idiopathic central precocious puberty	E22.8
97	Familial paroxysmal ataxia	G11.8
169467	Recurrent Neisseria infections due to factor D deficiency	D84.1
313	Lamellar ichthyosis	Q80.2
169799	Mild hemophilia B	D67
169796	Moderately severe hemophilia B	D67
169793	Severe hemophilia B	D67
171220	Rectal duplication	Q43.4
1000	Ocular albinism with late-onset sensorineural deafness	E70.3
999	Ermine phenotype	E70.3
171430	Severe congenital nemaline myopathy	G71.2
171433	Intermediate nemaline myopathy	G71.2
171436	Typical nemaline myopathy	G71.2
171439	Childhood-onset nemaline myopathy	G71.2
55	Oculocutaneous albinism	E70.3
171442	Adult-onset nemaline myopathy	G71.2
171445	Muscle filaminopathy	G71.8
171607	X-linked spastic paraplegia type 34	G11.4
2771	Bruck syndrome	M21.8
171612	Autosomal dominant spastic paraplegia type 37	G11.4
171617	Autosomal dominant spastic paraplegia type 38	G11.4
1349	Mitochondrial DNA-related cardiomyopathy and hearing loss	I42.8
171622	Autosomal recessive spastic paraplegia type 32	G11.4
171629	Autosomal recessive spastic paraplegia type 35	G11.4
861	Treacher-Collins syndrome	Q75.4
308	Unverricht-Lundborg disease	G40.3
1991	Cleft lip with or without cleft palate	Q37.0
1991	Cleft lip with or without cleft palate	Q37.1
1991	Cleft lip with or without cleft palate	Q37.2
1991	Cleft lip with or without cleft palate	Q37.3
1991	Cleft lip with or without cleft palate	Q37.4
1991	Cleft lip with or without cleft palate	Q37.5
1991	Cleft lip with or without cleft palate	Q37.8
1991	Cleft lip with or without cleft palate	Q37.9
1991	Cleft lip with or without cleft palate	Q36.0
1991	Cleft lip with or without cleft palate	Q36.1
1991	Cleft lip with or without cleft palate	Q36.9
199	Cornelia de Lange syndrome	Q87.1
171201	High isolated anorectal malformation	Q42.0
171201	High isolated anorectal malformation	Q42.1
2162	Holoprosencephaly	Q04.2
930	Idiopathic achalasia	K22.0
171215	Low isolated anorectal malformation	Q42.2
171215	Low isolated anorectal malformation	Q42.3
998	Albinism-deafness syndrome	H90.5
171208	Intermediate isolated anorectal malformation	Q42.1
171208	Intermediate isolated anorectal malformation	Q42.0
1727	22q11.2 microduplication syndrome	Q92.3
169079	Cernunnos-XLF deficiency	D81.1
1716	Distal trisomy 18q	Q92.3
1715	Trisomy 18p	Q92.2
3380	Trisomy 18	Q91.0
3380	Trisomy 18	Q91.1
3380	Trisomy 18	Q91.2
3380	Trisomy 18	Q91.3
168984	CLAPO syndrome	Q87.3
1707	Distal trisomy 15q	Q92.3
3378	Trisomy 13	Q91.4
3378	Trisomy 13	Q91.5
3378	Trisomy 13	Q91.6
3378	Trisomy 13	Q91.7
169110	Immunoglobulin heavy chain deficiency	D80.8
169100	Immunodeficiency due to CD25 deficiency	D81.2
169090	Combined immunodeficiency due to CRAC channel dysfunction	D81.8
236	Trisomy 9p	Q92.2
169095	Alymphoid cystic thymic dysgenesis	D82.8
169082	Combined immunodeficiency due to CD3gamma deficiency	D81.2
169085	Susceptibility to respiratory infections associated with CD8alpha chain mutation	D84.8
168829	Primary peritoneal carcinoma	C48.2
168816	Peritoneal cystic mesothelioma	C45.1
753	46,XY disorder of sex development due to 5-alpha-reductase 2 deficiency	E29.1
868	Triose phosphate-isomerase deficiency	D55.2
168811	Malignant peritoneal mesothelioma	C45.1
168807	Primary malignant peritoneal tumor	C45.1
168807	Primary malignant peritoneal tumor	C48.1
168807	Primary malignant peritoneal tumor	C48.2
218	Darier disease	Q82.8
168796	Heart-hand syndrome, Slovenian type	Q87.2
1465	Coffin-Siris syndrome	Q87.1
168782	Childhood disintegrative disorder	F84.3
1642	Distal monosomy 9p	Q93.5
168960	Refractory anemia with excess blasts in transformation	D46.3
8	47,XYY syndrome	Q98.5
1636	Distal monosomy 7q36	Q93.5
168956	Hypereosinophilic syndrome	D47.5
168953	Myeloid/lymphoid neoplasm associated with FGFR1 rearrangement	D47.1
1600	Monosomy 18q	Q93.5
168950	Myeloid/lymphoid neoplasm associated with PDGFRB rearrangement	D47.1
168947	Myeloid/lymphoid neoplasm associated with PDGFRA rearrangement	D47.1
1598	Monosomy 18p	Q93.5
168940	Chronic eosinophilic leukemia	D47.5
2773	Osteogenesis imperfecta-retinopathy-seizures-intellectual disability syndrome	Q87.8
2772	Congenital osteogenesis imperfecta-microcephaly-cataracts syndrome	Q78.0
2609	Isolated complex I deficiency	G71.3
626	Large congenital melanocytic nevus	Q82.5
773	Refsum disease	G60.1
11	Pentasomy X	Q97.1
169154	T-B+ severe combined immunodeficiency due to IL-7Ralpha deficiency	D81.2
370	Glycogen storage disease due to phosphorylase kinase deficiency	E74.0
169150	Immunodeficiency due to a late component of complement deficiency	D84.1
169160	T-B+ severe combined immunodeficiency due to CD3delta/CD3epsilon/CD3zeta	D81.2
385	Neurodegeneration with brain iron accumulation	G23.0
169157	T-B+ severe combined immunodeficiency due to CD45 deficiency	D81.2
169139	Transient hypogammaglobulinemia of infancy	D80.7
1947	Progressive epilepsy-intellectual disability syndrome, Finnish type	E75.4
169147	Immunodeficiency due to a classical component pathway complement deficiency	D84.1
169142	Recurrent infection due to specific granule deficiency	D71
352	Galactosemia	E74.2
596	X-linked centronuclear myopathy	G71.2
610	Bethlem myopathy	G71.0
169186	Autosomal recessive centronuclear myopathy	G71.2
464	Incontinentia pigmenti	Q82.3
3307	Tetrasomy 18p	Q99.8
169163	Familial scaphocephaly syndrome	Q75.0
169189	Autosomal dominant centronuclear myopathy	G71.2
44	Neonatal adrenoleukodystrophy	E71.3
56	Alkaptonuria	E70.2
963	Acromegaly	E22.0
1059	Blue rubber bleb nevus	Q27.8
1046	Lethal hemolytic anemia-genital anomalies syndrome	D58.8
22	Succinic semialdehyde dehydrogenase deficiency	E72.8
29	Mevalonic aciduria	E88.8
245	Nager syndrome	Q75.4
30	Hereditary orotic aciduria	E79.8
36	Acrocallosal syndrome	Q04.0
915	Aarskog-Scott syndrome	Q87.1
2614	Nail-patella syndrome	Q87.2
33	Isovaleric acidemia	E71.1
819	Smith-Magenis syndrome	Q93.5
3085	Retinitis pigmentosa-intellectual disability-deafness-hypogonadism syndrome	Q87.8
9	Tetrasomy X	Q97.1
1442	Ring chromosome 18 syndrome	Q93.2
168621	Dysplasia of head of femur, Meyer type	Q78.8
1452	Cleidocranial dysplasia	Q74.0
1455	Autosomal dominant coarctation of aorta	Q25.1
168629	Autosomal thrombocytopenia with normal platelets	D69.4
168624	Familial scaphocephaly syndrome, McGillivray type	Q87.0
193	Cohen syndrome	Q87.8
168778	Rare pervasive developmental disorder	F84.9
168778	Rare pervasive developmental disorder	F84.0
168778	Rare pervasive developmental disorder	F84.1
168778	Rare pervasive developmental disorder	F84.2
168778	Rare pervasive developmental disorder	F84.3
168778	Rare pervasive developmental disorder	F84.4
168778	Rare pervasive developmental disorder	F84.5
168778	Rare pervasive developmental disorder	F84.8
1488	Cooper-Jabs syndrome	Q87.8
168632	Generalized basaloid follicular hamartoma syndrome	Q82.5
1334	Chronic mucocutaneous candidiasis	B37.2
168583	Hereditary North American Indian childhood cirrhosis	K74.6
1369	Congenital cataract-hypertrophic cardiomyopathy-mitochondrial myopathy syndrome	Q87.8
168577	Hereditary cryohydrocytosis with reduced stomatin	D58.8
168593	Sudden infant death-dysgenesis of the testes syndrome	G90.8
1406	Charlie M syndrome	Q87.0
168588	Hyperandrogenism due to cortisone reductase deficiency	E25.8
168601	Congenital enteropathy due to enteropeptidase deficiency	K90.8
1414	Cholestasis-lymphedema syndrome	Q82.0
168598	Brain demyelination due to methionine adenosyltransferase deficiency	E72.1
168549	Axial spondylometaphyseal dysplasia	Q77.8
168552	Spondylometaphyseal dysplasia-bowed forearms-facial dysmorphism syndrome	Q77.8
1154	Arthrogryposis-oculomotor limitation-electroretinal anomalies syndrome	Q68.8
168555	Spondylometaphyseal dysplasia, A4 type	Q77.8
168558	46,XY disorder of sex development-adrenal insufficiency due to CYP11A1 deficiency	Q56.1
168563	46,XY gonadal dysgenesis-motor and sensory neuropathy syndrome	Q56.1
124	Blackfan-Diamond anemia	D61.0
168566	Fatal mitochondrial disease due to combined oxidative phosphorylation defect type 3	E88.8
1310	Caffey disease	M89.8
168569	H syndrome	D76.3
168572	Native American myopathy	G71.2
125	Bloom syndrome	Q82.2
90	Argininemia	E72.2
168443	Spondyloepimetaphyseal dysplasia-hypotrichosis syndrome	Q77.7
1065	Aniridia-cerebellar ataxia-intellectual disability syndrome	G11.0
168451	Spondyloepimetaphyseal dysplasia-abnormal dentition syndrome	Q77.7
1135	Arrhinia-choanal atresia-microphthalmia syndrome	Q87.0
168454	Spondyloepimetaphyseal dysplasia, Geneviève type	Q77.7
1146	Digitotalar dysmorphism	Q68.8
1143	Neurogenic arthrogryposis multiplex congenita	Q74.3
168486	Congenital neuronal ceroid lipofuscinosis	E75.4
168491	Late infantile neuronal ceroid lipofuscinosis	E75.4
168544	Spondylometaphyseal dysplasia, Golden type	Q77.8
1147	Sheldon-Hall syndrome	Q68.8
246	Postaxial acrofacial dysostosis	Q75.4
1770	XY type gonadal dysgenesis-associated anomalies syndrome	Q99.1
1775	Dyskeratosis congenita	Q82.8
1764	Familial dysautonomia	G90.1
235	Dubowitz syndrome	Q87.1
239	Dyggve-Melchior-Clausen disease	Q77.7
1672	Diencephalic syndrome	C72.8
167759	Hereditary dentin defect	K00.5
833	Encephalopathy due to sulfite oxidase deficiency	E72.1
167635	Scleromyxedema	L98.5
765	Pyruvate dehydrogenase deficiency	E74.4
395	Homocystinuria due to methylene tetrahydrofolate reductase deficiency	E72.1
408	Isolated glycerol kinase deficiency	E74.8
148	Multiple carboxylase deficiency	E53.8
147	Carbamoyl-phosphate synthetase 1 deficiency	E72.2
23	Argininosuccinic aciduria	E72.2
45	Adenosine monophosphate deaminase deficiency	G71.3
226	Dihydropteridine reductase deficiency	E70.1
217	Isolated Dandy-Walker malformation	Q03.1
1556	Cutis marmorata telangiectatica congenita	Q82.8
1538	Craniosynostosis-Dandy-Walker malformation-hydrocephalus syndrome	Q03.1
1538	Craniosynostosis-Dandy-Walker malformation-hydrocephalus syndrome	Q75.0
1496	Corpus callosum agenesis-neuronopathy syndrome	G60.0
417	Neonatal severe primary hyperparathyroidism	E21.0
2233	Hypogonadism-mitral valve prolapse-intellectual disability syndrome	Q87.8
2248	Hypoplastic left heart syndrome	Q23.4
446	Neonatal hemochromatosis	E83.1
2135	Hennekam-Beemer syndrome	Q82.2
2140	Congenital diaphragmatic hernia	Q79.0
2185	Congenital hydrocephalus	Q03.1
2185	Congenital hydrocephalus	Q03.8
2185	Congenital hydrocephalus	Q03.9
2185	Congenital hydrocephalus	Q03.0
2116	Hartnup disease	E72.0
2118	Hawkinsinuria	E70.2
351	Galactosialidosis	E77.1
374	Goldenhar syndrome	Q87.0
2020	Congenital fiber-type disproportion myopathy	G71.2
2053	Freeman-Sheldon syndrome	Q87.0
1931	Frontal encephalocele	Q01.0
295	Fetal parvovirus syndrome	P35.8
1933	Mitochondrial DNA depletion syndrome, encephalomyopathic form with methylmalonic aciduria	G71.3
1880	Ebstein malformation	Q22.5
255	Dopa-responsive dystonia	G24.8
1915	Fetal alcohol syndrome	Q86.0
1885	Isolated ectopia lentis	Q12.1
1851	Multicystic dysplastic kidney	Q61.4
660	Omphalocele	Q79.2
635	Neuroblastoma	C74.9
2612	Linear nevus sebaceus syndrome	Q85.8
2635	Metatropic dysplasia	Q77.8
2655	Thanatophoric dysplasia	Q77.1
606	Proximal myotonic myopathy	G71.1
705	Pendred syndrome	E07.1
2801	Juvenile Paget disease	M88.0
2801	Juvenile Paget disease	M88.8
2801	Juvenile Paget disease	M88.9
884	Tetrasomy 12p	Q99.8
2785	Osteopetrosis with renal tubular acidosis	Q78.2
2744	Horizontal gaze palsy with progressive scoliosis	H49.4
2746	Opsismodysplasia	Q78.8
2971	Peroxisomal acyl-CoA oxidase deficiency	E71.3
2970	Prune belly syndrome	Q79.4
744	Proteus syndrome	Q87.3
2903	Familial spontaneous pneumothorax	J93.1
2901	Neuralgic amyotrophy	G54.5
718	Isolated Pierre Robin syndrome	Q87.0
290	Congenital rubella syndrome	P35.0
3071	Costello syndrome	Q87.8
763	Pycnodysostosis	Q78.8
2983	Disorder of sex development-intellectual disability syndrome	Q56.3
2982	46,XX disorder of sex development	Q56.2
2301	Congenital short bowel syndrome	Q43.8
469	Hereditary fructose intolerance	E74.1
2308	Jacobsen syndrome	Q93.5
2318	Joubert syndrome with oculorenal defect	Q04.3
2253	Foveal hypoplasia-presenile cataract syndrome	H26.0
180188	Isolated congenital breast hypoplasia/aplasia	Q83.0
180182	Supernumerary breasts	Q83.1
2300	Multiple intestinal atresia	Q43.8
180226	Embryonal carcinoma	C22.7
180226	Embryonal carcinoma	C71.9
502	Trichorhinophalangeal syndrome type 2	Q87.8
2370	Larsen-like osseous dysplasia-short stature syndrome	Q74.8
477	KID syndrome	Q80.8
2343	Isolated cloverleaf skull syndrome	Q75.0
2346	Angioosteohypertrophic syndrome	Q87.2
180247	Vaginal carcinoma	C52
506	Leigh syndrome	G31.8
2430	Congenital macroglossia	Q38.2
2414	Congenital pulmonary lymphangiectasia	Q33.8
2373	Congenital laryngomalacia	Q31.5
180237	Benign tumor of fallopian tubes	D28.2
2377	Laurence-Moon syndrome	Q87.8
2374	Congenital laryngeal web	Q31.0
180242	Malignant tumor of fallopian tubes	C57.0
2466	MASA syndrome	G11.4
180275	Paget disease of the nipple	C50.0
560	Marshall syndrome	Q87.0
587	Muir-Torre syndrome	L72.8
570	Moebius syndrome	Q87.0
1505	Short rib-polydactyly syndrome	Q77.2
180261	Phyllodes tumor of the breast	D48.6
2431	Central bilateral macrogyria	Q04.8
180267	Giant adenofibroma of the breast	D24
2444	Congenital pulmonary airway malformation	Q33.0
612	Potassium-aggravated myotonia	G71.1
179494	Obesity due to leptin receptor gene deficiency	E66.8
716	Phenylketonuria	E70.0
716	Phenylketonuria	E70.1
179490	Obesity due to congenital leptin resistance	E66.8
180071	Unilateral aplasia of the Müllerian ducts	Q51.4
180068	Partial bilateral aplasia of the Müllerian ducts	Q51.8
287	Classical Ehlers-Danlos syndrome	Q79.6
180106	Bicervical bicornuate uterus and blind hemivagina	Q51.1
180086	Didelphys uterus	Q51.1
180079	Pseudounicornuate uterus	Q51.4
180074	True unicornuate uterus	Q51.4
180122	Septate uterus	Q51.2
180118	Cordiform uterus	Q51.3
180114	Unicervical bicornuate uterus	Q51.3
180111	Bicervical bicornuate uterus with patent cervix and vagina	Q51.1
180134	Bicornuate uterus	Q51.3
180139	Uterine hypoplasia	Q51.8
180126	Complete septate uterus	Q51.2
180129	Partial septate uterus	Q51.2
