ORPHANET_ID	ORPHANET_NAME	UMLS_CUI
565	Menkes disease	C0022716
474	Jeune syndrome	C0265275
540	Familial hemophagocytic lymphohistiocytosis	C0272199
568	Microphthalmia, Lenz type	C0796016
564	Meckel syndrome	C0265215
289	Ellis Van Creveld syndrome	C0013903
258	Congenital muscular dystrophy type 1A	C1263858
1247	Schistosomiasis	C0036323
112	Bartter syndrome	C0004775
1646	Partial chromosome Y deletion	C1507149
1646	Partial chromosome Y deletion	C2931163
116	Beckwith-Wiedemann syndrome	C0004903
87	Apert syndrome	C1510455
87	Apert syndrome	C0001193
169615	Idiopathic central precocious puberty	C0342544
97	Familial paroxysmal ataxia	C1720416
169467	Recurrent Neisseria infections due to factor D deficiency	C0398764
1000	Ocular albinism with late-onset sensorineural deafness	C1845069
999	Ermine phenotype	C1856899
171439	Childhood-onset nemaline myopathy	C0546125
55	Oculocutaneous albinism	C0078918
171442	Adult-onset nemaline myopathy	C0546123
171445	Muscle filaminopathy	C1836050
171607	X-linked spastic paraplegia type 34	C2677897
2771	Bruck syndrome	C0432253
2771	Bruck syndrome	C1836602
2771	Bruck syndrome	C1850168
171612	Autosomal dominant spastic paraplegia type 37	C2936880
171617	Autosomal dominant spastic paraplegia type 38	C2676732
171622	Autosomal recessive spastic paraplegia type 32	C1970009
861	Treacher-Collins syndrome	C0242387
861	Treacher-Collins syndrome	C0265241
308	Unverricht-Lundborg disease	C0751785
1991	Cleft lip with or without cleft palate	C0008924
199	Cornelia de Lange syndrome	C0270972
171201	High isolated anorectal malformation	C0345210
2162	Holoprosencephaly	C0079541
2162	Holoprosencephaly	C3711749
930	Idiopathic achalasia	C0014848
930	Idiopathic achalasia	C0859976
171215	Low isolated anorectal malformation	C0345218
998	Albinism-deafness syndrome	C1845068
1727	22q11.2 microduplication syndrome	C2675369
1715	Trisomy 18p	C2931811
3380	Trisomy 18	C0152096
1707	Distal trisomy 15q	C2931705
3378	Trisomy 13	C2936830
3378	Trisomy 13	C0152095
168972	Kahrizi syndrome	C2675185
169110	Immunoglobulin heavy chain deficiency	C0398692
169105	Good syndrome	C0221027
236	Trisomy 9p	C0265428
169085	Susceptibility to respiratory infections associated with CD8alpha chain mutation	C1837065
168816	Peritoneal cystic mesothelioma	C0206680
753	46,XY disorder of sex development due to 5-alpha-reductase 2 deficiency	C3669122
753	46,XY disorder of sex development due to 5-alpha-reductase 2 deficiency	C0268297
868	Triose phosphate-isomerase deficiency	C1860808
868	Triose phosphate-isomerase deficiency	C0398562
168811	Malignant peritoneal mesothelioma	C0346109
218	Darier disease	C0022595
168796	Heart-hand syndrome, Slovenian type	C1857829
1465	Coffin-Siris syndrome	C0265338
168782	Childhood disintegrative disorder	C0236791
168966	Composite lymphoma	C0545080
168966	Composite lymphoma	C1266191
168960	Refractory anemia with excess blasts in transformation	C0002894
168960	Refractory anemia with excess blasts in transformation	C0280028
8	47,XYY syndrome	C3266843
8	47,XYY syndrome	C0043379
168956	Hypereosinophilic syndrome	C1540912
1600	Monosomy 18q	C0432443
1600	Monosomy 18q	C2931249
168950	Myeloid/lymphoid neoplasm associated with PDGFRB rearrangement	C3472621
1598	Monosomy 18p	C0432442
168940	Chronic eosinophilic leukemia	C0346421
2772	Congenital osteogenesis imperfecta-microcephaly-cataracts syndrome	C1850184
2609	Isolated complex I deficiency	C2936907
626	Large congenital melanocytic nevus	C1318558
626	Large congenital melanocytic nevus	C1842036
773	Refsum disease	C0034960
11	Pentasomy X	C2937419
11	Pentasomy X	C0265497
169154	T-B+ severe combined immunodeficiency due to IL-7Ralpha deficiency	C1837028
370	Glycogen storage disease due to phosphorylase kinase deficiency	C0268147
385	Neurodegeneration with brain iron accumulation	C2931845
169157	T-B+ severe combined immunodeficiency due to CD45 deficiency	C1837028
169139	Transient hypogammaglobulinemia of infancy	C0272238
1947	Progressive epilepsy-intellectual disability syndrome, Finnish type	C1864923
352	Galactosemia	C0016952
596	X-linked centronuclear myopathy	C0410203
169349	Immuno-osseous dysplasia	C0432218
610	Bethlem myopathy	C1834674
169186	Autosomal recessive centronuclear myopathy	C3645536
169186	Autosomal recessive centronuclear myopathy	C0410204
464	Incontinentia pigmenti	C0021171
464	Incontinentia pigmenti	C0022283
464	Incontinentia pigmenti	C2930820
3307	Tetrasomy 18p	C0795868
169163	Familial scaphocephaly syndrome	C3267076
169189	Autosomal dominant centronuclear myopathy	C1834558
3084	Mirhosseini-Holmes-Walton syndrome	C0796072
44	Neonatal adrenoleukodystrophy	C0282525
56	Alkaptonuria	C0002066
56	Alkaptonuria	C2931645
963	Acromegaly	C0001206
1059	Blue rubber bleb nevus	C0346072
1046	Lethal hemolytic anemia-genital anomalies syndrome	C1838120
22	Succinic semialdehyde dehydrogenase deficiency	C0268631
29	Mevalonic aciduria	C0342731
29	Mevalonic aciduria	C1959626
245	Nager syndrome	C0265245
30	Hereditary orotic aciduria	C0220987
30	Hereditary orotic aciduria	C0268130
36	Acrocallosal syndrome	C2931760
36	Acrocallosal syndrome	C0796147
915	Aarskog-Scott syndrome	C0175701
2614	Nail-patella syndrome	C0027341
33	Isovaleric acidemia	C0268575
168194	Rare cardiac tumor	C0018809
819	Smith-Magenis syndrome	C0795864
3085	Retinitis pigmentosa-intellectual disability-deafness-hypogonadism syndrome	C1849401
9	Tetrasomy X	C0265496
168612	Congenital deficiency in alpha-fetoprotein	C1863081
1442	Ring chromosome 18 syndrome	C0265475
1442	Ring chromosome 18 syndrome	C2931809
1452	Cleidocranial dysplasia	C0008928
1455	Autosomal dominant coarctation of aorta	C2930803
168624	Familial scaphocephaly syndrome, McGillivray type	C1865070
193	Cohen syndrome	C0265223
168778	Rare pervasive developmental disorder	C0524528
1488	Cooper-Jabs syndrome	C1859591
168632	Generalized basaloid follicular hamartoma syndrome	C1853919
1334	Chronic mucocutaneous candidiasis	C0006845
168583	Hereditary North American Indian childhood cirrhosis	C1858051
1369	Congenital cataract-hypertrophic cardiomyopathy-mitochondrial myopathy syndrome	C1859317
168577	Hereditary cryohydrocytosis with reduced stomatin	C1837206
168593	Sudden infant death-dysgenesis of the testes syndrome	C1837371
168588	Hyperandrogenism due to cortisone reductase deficiency	C1291245
168601	Congenital enteropathy due to enteropeptidase deficiency	C0268416
1414	Cholestasis-lymphedema syndrome	C0268314
168598	Brain demyelination due to methionine adenosyltransferase deficiency	C0268621
168606	Seborrhea-like dermatitis with psoriasiform elements	C1853258
168549	Axial spondylometaphyseal dysplasia	C1865695
168552	Spondylometaphyseal dysplasia-bowed forearms-facial dysmorphism syndrome	C1843706
1154	Arthrogryposis-oculomotor limitation-electroretinal anomalies syndrome	C1834523
1154	Arthrogryposis-oculomotor limitation-electroretinal anomalies syndrome	C1862472
168555	Spondylometaphyseal dysplasia, A4 type	C1836862
168563	46,XY gonadal dysgenesis-motor and sensory neuropathy syndrome	C2751325
124	Blackfan-Diamond anemia	C1260899
124	Blackfan-Diamond anemia	C2931850
168566	Fatal mitochondrial disease due to combined oxidative phosphorylation defect type 3	C1864840
1310	Caffey disease	C0020497
168572	Native American myopathy	C1850625
125	Bloom syndrome	C0005859
90	Argininemia	C0268548
168443	Spondyloepimetaphyseal dysplasia-hypotrichosis syndrome	C1866728
1065	Aniridia-cerebellar ataxia-intellectual disability syndrome	C0431401
168451	Spondyloepimetaphyseal dysplasia-abnormal dentition syndrome	C1866507
1135	Arrhinia-choanal atresia-microphthalmia syndrome	C1863878
168454	Spondyloepimetaphyseal dysplasia, Geneviève type	C1864872
1146	Digitotalar dysmorphism	C1852085
1146	Digitotalar dysmorphism	C0220662
1143	Neurogenic arthrogryposis multiplex congenita	C1859721
168486	Congenital neuronal ceroid lipofuscinosis	C0027877
168486	Congenital neuronal ceroid lipofuscinosis	C1864670
168491	Late infantile neuronal ceroid lipofuscinosis	C0022340
168544	Spondylometaphyseal dysplasia, Golden type	C0796172
1147	Sheldon-Hall syndrome	C1834523
246	Postaxial acrofacial dysostosis	C0265257
1770	XY type gonadal dysgenesis-associated anomalies syndrome	C1856272
1775	Dyskeratosis congenita	C0265965
1764	Familial dysautonomia	C0013364
235	Dubowitz syndrome	C0175691
239	Dyggve-Melchior-Clausen disease	C0265286
167762	Rare disease with dentinogenesis imperfecta	C0011436
1672	Diencephalic syndrome	C0271889
1672	Diencephalic syndrome	C0342436
167635	Scleromyxedema	C0263390
765	Pyruvate dehydrogenase deficiency	C0034345
765	Pyruvate dehydrogenase deficiency	C2936911
395	Homocystinuria due to methylene tetrahydrofolate reductase deficiency	C1856061
408	Isolated glycerol kinase deficiency	C0574108
408	Isolated glycerol kinase deficiency	C0268418
148	Multiple carboxylase deficiency	C0026755
147	Carbamoyl-phosphate synthetase 1 deficiency	C0751753
23	Argininosuccinic aciduria	C0268547
45	Adenosine monophosphate deaminase deficiency	C0268123
45	Adenosine monophosphate deaminase deficiency	C2931781
226	Dihydropteridine reductase deficiency	C0268465
226	Dihydropteridine reductase deficiency	C2936906
217	Isolated Dandy-Walker malformation	C0010964
1556	Cutis marmorata telangiectatica congenita	C0345419
1496	Corpus callosum agenesis-neuronopathy syndrome	C0795950
417	Neonatal severe primary hyperparathyroidism	C1832615
2233	Hypogonadism-mitral valve prolapse-intellectual disability syndrome	C2931685
2248	Hypoplastic left heart syndrome	C0152101
446	Neonatal hemochromatosis	C0268059
2140	Congenital diaphragmatic hernia	C0235833
2185	Congenital hydrocephalus	C0020256
2113	Congenital hypothalamic hamartoma syndrome	C0342418
2116	Hartnup disease	C0018609
2118	Hawkinsinuria	C2931042
167848	Rare cardiomyopathy	C0878544
351	Galactosialidosis	C0268233
374	Goldenhar syndrome	C0265240
374	Goldenhar syndrome	C0432130
2020	Congenital fiber-type disproportion myopathy	C0546264
2053	Freeman-Sheldon syndrome	C0265224
1931	Frontal encephalocele	C0431289
295	Fetal parvovirus syndrome	C2931167
1880	Ebstein malformation	C0013481
255	Dopa-responsive dystonia	C1851920
1915	Fetal alcohol syndrome	C0814154
1915	Fetal alcohol syndrome	C0015923
1915	Fetal alcohol syndrome	C2985290
1915	Fetal alcohol syndrome	C3146244
1885	Isolated ectopia lentis	C0013581
1885	Isolated ectopia lentis	C1851286
1885	Isolated ectopia lentis	C2746069
1851	Multicystic dysplastic kidney	C3714581
1851	Multicystic dysplastic kidney	C0345335
660	Omphalocele	C0795690
635	Neuroblastoma	C0027819
635	Neuroblastoma	C2931189
2612	Linear nevus sebaceus syndrome	C3854181
2612	Linear nevus sebaceus syndrome	C0265329
2635	Metatropic dysplasia	C0265281
2655	Thanatophoric dysplasia	C0039743
606	Proximal myotonic myopathy	C0752354
606	Proximal myotonic myopathy	C2931689
705	Pendred syndrome	C0271829
2801	Juvenile Paget disease	C0268414
884	Tetrasomy 12p	C0265449
2785	Osteopetrosis with renal tubular acidosis	C1849435
2744	Horizontal gaze palsy with progressive scoliosis	C1846496
2746	Opsismodysplasia	C0432219
2971	Peroxisomal acyl-CoA oxidase deficiency	C0342871
2971	Peroxisomal acyl-CoA oxidase deficiency	C1849678
2970	Prune belly syndrome	C0033770
2970	Prune belly syndrome	C0265363
744	Proteus syndrome	C0085261
2901	Neuralgic amyotrophy	C0221759
2901	Neuralgic amyotrophy	C1510479
718	Isolated Pierre Robin syndrome	C0031900
180824	Rare tumor of pancreas	C0030297
181387	Rare disorder with hypogonadotropic hypogonadism	C0271623
290	Congenital rubella syndrome	C0035921
3071	Costello syndrome	C0587248
181371	Rare diabetes mellitus type 1	C0011854
763	Pycnodysostosis	C0238402
181376	Rare diabetes mellitus type 2	C0011860
2983	Disorder of sex development-intellectual disability syndrome	C2931233
2982	46,XX disorder of sex development	C0238394
2982	46,XX disorder of sex development	C2936403
181368	Rare insulin-resistance syndrome	C3714619
2981	Pseudo-Zellweger syndrome	C1533628
469	Hereditary fructose intolerance	C0016751
2308	Jacobsen syndrome	C0795841
2318	Joubert syndrome with oculorenal defect	C1855675
2253	Foveal hypoplasia-presenile cataract syndrome	C2931644
180188	Isolated congenital breast hypoplasia/aplasia	C0432357
180182	Supernumerary breasts	C0266010
2300	Multiple intestinal atresia	C0220744
180226	Embryonal carcinoma	C0206659
502	Trichorhinophalangeal syndrome type 2	C0023003
502	Trichorhinophalangeal syndrome type 2	C2931237
180229	Polyembryoma	C0334518
477	KID syndrome	C3665333
477	KID syndrome	C0265336
2346	Angioosteohypertrophic syndrome	C0022739
2346	Angioosteohypertrophic syndrome	C2931360
180247	Vaginal carcinoma	C0262659
506	Leigh syndrome	C0023264
506	Leigh syndrome	C0751267
180250	Rare breast tumor	C1458155
2430	Congenital macroglossia	C0009677
180253	Rare benign breast tumor	C0346156
2414	Congenital pulmonary lymphangiectasia	C0265800
2414	Congenital pulmonary lymphangiectasia	C1849554
2373	Congenital laryngomalacia	C0345160
180234	Mixed germ cell tumor	C0334524
180237	Benign tumor of fallopian tubes	C0346190
2377	Laurence-Moon syndrome	C0023138
2374	Congenital laryngeal web	C1835494
2374	Congenital laryngeal web	C0152416
2374	Congenital laryngeal web	C0281890
180242	Malignant tumor of fallopian tubes	C0153579
180242	Malignant tumor of fallopian tubes	C0238122
2466	MASA syndrome	C0795953
180275	Paget disease of the nipple	C0030185
180275	Paget disease of the nipple	C1704323
560	Marshall syndrome	C0265235
587	Muir-Torre syndrome	C1321489
570	Moebius syndrome	C0853240
570	Moebius syndrome	C0221060
1505	Short rib-polydactyly syndrome	C0036996
180257	Rare malignant breast tumor	C0006142
180257	Rare malignant breast tumor	C0678222
180261	Phyllodes tumor of the breast	C0010701
2444	Congenital pulmonary airway malformation	C0158641
2444	Congenital pulmonary airway malformation	C0010668
612	Potassium-aggravated myotonia	C0856123
612	Potassium-aggravated myotonia	C2931826
716	Phenylketonuria	C0031485
287	Classical Ehlers-Danlos syndrome	C0220679
180086	Didelphys uterus	C0266393
180122	Septate uterus	C0152240
180118	Cordiform uterus	C0266397
180134	Bicornuate uterus	C0266387
180139	Uterine hypoplasia	C0266399
1020	Early-onset autosomal dominant Alzheimer disease	C0276496
63	Alport syndrome	C1567741
54	X-linked recessive ocular albinism	C0342684
154	Familial isolated dilated cardiomyopathy	C0340427
180163	Rare breast malformation	C0266008
84	Fanconi anemia	C0015625
180154	Septate vagina	C0266411
69	Amyloidosis	C0002726
191	Cockayne syndrome	C0009207
166	Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy	C0007959
834	Free sialic acid storage disease	C0342853
834	Free sialic acid storage disease	C2931872
3135	Familial Scheuermann disease	C0036310
799	Schizencephaly	C0266484
178563	Primary cutaneous B-cell lymphoma	C1274310
813	Silver-Russell syndrome	C0175693
3169	Sirenomelia	C0037205
816	Sjögren-Larsson syndrome	C0037231
821	Sotos syndrome	C0175695
3204	Stormorken-Sjaastad-Langslet syndrome	C1861451
3205	Sturge-Weber syndrome	C0038505
3320	Thrombocytopenia-absent radius syndrome	C0175703
3346	Tracheal agenesis	C1261567
858	Congenital toxoplasmosis	C0040560
1245	BIDS syndrome	C3495483
887	VACTERL/VATER association	C0220708
887	VACTERL/VATER association	C1735591
909	Cerebrotendinous xanthomatosis	C0238052
3447	Weaver syndrome	C0265210
1422	Chondrodysplasia-disorder of sex development syndrome	C1838654
178478	Infant botulism	C0238027
178481	Intestinal botulism	C1443901
178475	Wound botulism	C1306794
178461	X-linked myopathy with postural muscle atrophy	C2678055
178464	Hereditary myopathy with early respiratory failure	C1863599
178400	Distal myopathy with anterior tibial onset	C1847532
178382	Congenital vertical talus	C0240912
178389	Osteopetrosis-hypogammaglobulinemia syndrome	C2676766
62	Autosomal recessive limb-girdle muscular dystrophy type 2D	C1842550
62	Autosomal recessive limb-girdle muscular dystrophy type 2D	C2936332
178364	Syndromic microphthalmia type 5	C1864690
715	Glycogen storage disease due to muscle phosphorylase kinase deficiency	C1845151
348	Fructose-1,6-bisphosphatase deficiency	C0016756
178345	Aromatase excess syndrome	C1970109
178355	Smith-McCort dysplasia	C1846431
178338	UV-sensitive syndrome	C1833561
3137	Alpha-N-acetylgalactosaminidase deficiency	C1836544
3137	Alpha-N-acetylgalactosaminidase deficiency	C0342850
178342	Inflammatory myofibroblastic tumor	C0334121
178540	Primary cutaneous follicle center lymphoma	C1333171
178540	Primary cutaneous follicle center lymphoma	C1631066
117	Behçet disease	C0004943
732	Polymyositis	C0085655
178536	Primary cutaneous marginal zone B-cell lymphoma	C1275321
221	Dermatomyositis	C0011633
221	Dermatomyositis	C0221056
598	Multiminicore myopathy	C0270962
204	Sporadic Creutzfeldt-Jakob disease	C0022336
178517	Localized pagetoid reticulosis	C1276140
178512	Folliculotropic mycosis fungoides	C1627767
178509	Perry syndrome	C1868594
178503	Dursun syndrome	C2751630
611	Inclusion body myositis	C0238190
611	Inclusion body myositis	C0751713
