id	name	missing_vocabulary	resource_id	resource_code	mapping_distance	similarity	score
D017499	Porokeratosis	ORPHANET	SNOMEDCT	400080004	2	1.0	0.75
D000141	Acidosis, Renal Tubular	ORPHANET	ORPHANET	2785	3	0.8660254037844387	0.599679368558886
D002128	Calcium Metabolism Disorders	ORPHANET	SNOMEDCT	267442002	2	1.0	0.75
D013285	Strabismus	ORPHANET	SNOMEDCT	194124001	2	0.5773502691896258	0.5386751345948129
D014581	Urticaria	ORPHANET	ICD10CM	L50	2	1.0	0.75
D007945	Leukemia, Lymphoid	ORPHANET	SNOMEDCT	32280000	4	1.0	0.625
D060605	Hyalohyphomycosis	ORPHANET	SNOMEDCT	240775001	2	0.7071067811865475	0.6035533905932737
D024821	Metabolic Syndrome	ORPHANET	ICD10CM	E88.81	3	1.0	0.6666666666666666
D013035	Spasm	ORPHANET	ICD10CM	R25.2	3	0.7071067811865475	0.5202200572599404
D005128	Eye Diseases	ORPHANET	SNOMEDCT	79517001	2	0.7071067811865475	0.6035533905932737
D001281	Atrial Fibrillation	ORPHANET	OMIM	613055	3	0.7071067811865475	0.5202200572599404
D018908	Muscle Weakness	ORPHANET	OMIM	300211	3	0.7071067811865475	0.5202200572599404
D055732	Pulmonary Aspergillosis	ORPHANET	ICD10CM	B44.1	3	0.8164965809277261	0.5749149571305298
D055732	Pulmonary Aspergillosis	ORPHANET	ICD10CM	B44.0	3	0.8164965809277261	0.5749149571305298
D001746	Bladder Exstrophy	ORPHANET	SNOMEDCT	429681000124103	4	0.8164965809277261	0.5332482904638631
D051556	Hyperbilirubinemia, Neonatal	ORPHANET	SNOMEDCT	281610001	2	0.5	0.5
D017824	Bone Cysts, Aneurysmal	ORPHANET	SNOMEDCT	203468000	3	0.6666666666666666	0.5
D017180	Tachycardia, Ventricular	ORPHANET	SNOMEDCT	713420008	3	0.7071067811865475	0.5202200572599404
D009102	Multiple Organ Failure	ORPHANET	SNOMEDCT	57653000	2	0.6666666666666666	0.5833333333333333
D002915	Chylous Ascites	ORPHANET	SNOMEDCT	276526002	3	0.8164965809277261	0.5749149571305298
D014096	Tooth, Supernumerary	ORPHANET	SNOMEDCT	2441000124103	3	0.8164965809277261	0.5749149571305298
D003874	Dermatitis Herpetiformis	ORPHANET	SNOMEDCT	7354003	4	0.8164965809277261	0.5332482904638631
D054039	Onycholysis	ORPHANET	SNOMEDCT	238607003	3	0.7071067811865475	0.5202200572599404
D011693	Purpura	ORPHANET	SNOMEDCT	12393003	2	1.0	0.75
D000068116	Gender Dysphoria	ORPHANET	SNOMEDCT	12277671000119109	4	0.8164965809277261	0.5332482904638631
D058674	Chromosome Duplication	ORPHANET	SNOMEDCT	726341009	4	0.8164965809277261	0.5332482904638631
D015419	Spastic Paraplegia, Hereditary	ORPHANET	ICD10CM	G11.4	3	1.0	0.6666666666666666
D017219	Gastric Outlet Obstruction	ORPHANET	SNOMEDCT	244815007	2	0.6666666666666666	0.5833333333333333
D058545	Inhalant Abuse	ORPHANET	ICD10CM	F18.10	3	0.8164965809277261	0.5749149571305298
D011553	Pseudomyxoma Peritonei	ORPHANET	SNOMEDCT	307601000	2	1.0	0.75
D001742	Blackwater Fever	ORPHANET	SNOMEDCT	56625005	2	1.0	0.75
D006313	Hearing Loss, Central	ORPHANET	SNOMEDCT	194427003	2	0.5773502691896258	0.5386751345948129
D002532	Intracranial Aneurysm	ORPHANET	OMIM	300870	3	0.7071067811865475	0.5202200572599404
D007161	Immunoproliferative Small Intestinal Disease	ORPHANET	SNOMEDCT	109985000	3	1.0	0.6666666666666666
D046248	Pyloric Stenosis, Hypertrophic	ORPHANET	OMIM	612017	3	0.7745966692414834	0.5539650012874083
D004404	Dysentery, Amebic	ORPHANET	ICD10CM	A06.0	3	0.8164965809277261	0.5749149571305298
D006550	Hernia, Femoral	ORPHANET	SNOMEDCT	196837002	3	0.8164965809277261	0.5749149571305298
D001506	Beckwith-Wiedemann Syndrome	ORPHANET	ORPHANET	116	4	1.0	0.625
D001064	Appendicitis	ORPHANET	SNOMEDCT	307530000	2	0.7071067811865475	0.6035533905932737
D013586	Synovitis, Pigmented Villonodular	ORPHANET	ORPHANET	66627	4	1.0	0.625
D020773	Headache Disorders	ORPHANET	ORPHANET	98022	2	0.5	0.5
D005184	Fallopian Tube Diseases	ORPHANET	SNOMEDCT	128134005	2	0.8164965809277261	0.6582482904638631
D011906	Rat-Bite Fever	ORPHANET	SNOMEDCT	1685005	4	1.0	0.625
D015479	Leukemia, Myelomonocytic, Acute	ORPHANET	SNOMEDCT	110005000	4	0.8660254037844387	0.5580127018922194
D002972	Cleft Palate	ORPHANET	SNOMEDCT	204605001	2	0.8164965809277261	0.6582482904638631
D002280	Carcinoma, Basal Cell	ORPHANET	SNOMEDCT	275265005	2	0.6666666666666666	0.5833333333333333
D000752	Anemia, Pernicious	ORPHANET	OMIM	170900	4	1.0	0.625
D007024	Hypotension, Orthostatic	ORPHANET	ICD10CM	I95.1	2	1.0	0.75
D055091	Bronchomalacia	ORPHANET	OMIM	211450	2	1.0	0.75
D030401	Cytochrome-c Oxidase Deficiency	ORPHANET	SNOMEDCT	124199009	2	1.0	0.75
D011629	Puberty, Precocious	ORPHANET	ORPHANET	169618	3	0.7071067811865475	0.5202200572599404
D011629	Puberty, Precocious	ORPHANET	ORPHANET	169615	3	0.7071067811865475	0.5202200572599404
D008708	Methemoglobinemia	ORPHANET	ICD10CM	D74	4	1.0	0.625
D002386	Cataract	ORPHANET	OMIM	609741	3	0.7071067811865475	0.5202200572599404
D017492	Keratosis, Seborrheic	ORPHANET	SNOMEDCT	398838000	2	0.5	0.5
D013708	Tendon Injuries	ORPHANET	SNOMEDCT	240037007	2	0.5	0.5
D020179	Jet Lag Syndrome	ORPHANET	SNOMEDCT	724751006	3	0.7071067811865475	0.5202200572599404
D003128	Coma	ORPHANET	SNOMEDCT	230798006	3	0.7071067811865475	0.5202200572599404
D007849	Laurence-Moon Syndrome	ORPHANET	ORPHANET	2377	4	1.0	0.625
D011293	Premenstrual Syndrome	ORPHANET	ICD10CM	N94.3	3	0.7071067811865475	0.5202200572599404
D056929	Liddle Syndrome	ORPHANET	SNOMEDCT	707749005	2	1.0	0.75
D013617	Tachycardia, Supraventricular	ORPHANET	SNOMEDCT	426761007	3	0.8164965809277261	0.5749149571305298
D054537	Atrioventricular Block	ORPHANET	SNOMEDCT	195040005	2	0.8164965809277261	0.6582482904638631
D015434	Panniculitis	ORPHANET	SNOMEDCT	76097009	2	0.5	0.5
D006015	Glycogen Storage Disease Type VIII	ORPHANET	SNOMEDCT	41527003	2	0.6666666666666666	0.5833333333333333
D005183	Failure to Thrive	ORPHANET	SNOMEDCT	432788009	4	0.8164965809277261	0.5332482904638631
D006212	Hallucinations	ORPHANET	SNOMEDCT	7011001	4	1.0	0.625
D000070607	Morton Neuroma	ORPHANET	SNOMEDCT	30085007	2	0.5	0.5
D005885	Gingival Hyperplasia	ORPHANET	SNOMEDCT	109627009	4	0.8164965809277261	0.5332482904638631
D016180	Lentivirus Infections	ORPHANET	SNOMEDCT	24907000	2	0.5	0.5
D038901	Mental Retardation, X-Linked	ORPHANET	OMIM	300387	4	0.8660254037844387	0.5580127018922194
D003286	Contracture	ORPHANET	SNOMEDCT	55033002	3	0.7071067811865475	0.5202200572599404
D002637	Chest Pain	ORPHANET	SNOMEDCT	426396005	3	0.8164965809277261	0.5749149571305298
D008342	Mandibulofacial Dysostosis	ORPHANET	OMIM	610536	3	0.8164965809277261	0.5749149571305298
D013285	Strabismus	ORPHANET	SNOMEDCT	5371001	2	0.7071067811865475	0.6035533905932737
D021501	Flank Pain	ORPHANET	SNOMEDCT	247355005	4	1.0	0.625
D009220	Myositis	ORPHANET	SNOMEDCT	240105009	3	0.7071067811865475	0.5202200572599404
D013130	Spinal Stenosis	ORPHANET	SNOMEDCT	83561009	2	0.8164965809277261	0.6582482904638631
D053632	X-Linked Combined Immunodeficiency Diseases	ORPHANET	OMIM	300400	2	0.75	0.625
D003919	Diabetes Insipidus	ORPHANET	ORPHANET	178029	4	0.8164965809277261	0.5332482904638631
D008637	Mesenchymoma	ORPHANET	SNOMEDCT	44524009	2	1.0	0.75
D003371	Cough	ORPHANET	SNOMEDCT	20670007	3	0.7071067811865475	0.5202200572599404
D014263	Tricuspid Valve Prolapse	ORPHANET	ORPHANET	99056	3	0.6666666666666666	0.5
D015417	Hereditary Sensory and Motor Neuropathy	ORPHANET	OMIM	616505	4	0.8944271909999159	0.5722135954999579
D014096	Tooth, Supernumerary	ORPHANET	SNOMEDCT	2521000124109	3	0.8164965809277261	0.5749149571305298
D017034	Epilepsy, Frontal Lobe	ORPHANET	OMIM	605375	3	0.7745966692414834	0.5539650012874083
D003805	Dentin Dysplasia	ORPHANET	ORPHANET	1653	4	1.0	0.625
D008100	Liver Abscess	ORPHANET	SNOMEDCT	197327006	3	0.8164965809277261	0.5749149571305298
D014069	Tonsillitis	ORPHANET	ICD10CM	J35.01	3	0.7071067811865475	0.5202200572599404
D007039	Hypotrichosis	ORPHANET	OMIM	618275	3	0.7071067811865475	0.5202200572599404
D004476	Ectodermal Dysplasia	ORPHANET	SNOMEDCT	239007005	3	0.7071067811865475	0.5202200572599404
D017544	Aortic Aneurysm, Abdominal	ORPHANET	SNOMEDCT	425771001	4	0.8660254037844387	0.5580127018922194
D016779	Malaria, Cerebral	ORPHANET	SNOMEDCT	53622003	2	1.0	0.75
D000067404	Social Communication Disorder	ORPHANET	ICD10CM	F80.82	2	0.8164965809277261	0.6582482904638631
D055154	Dysphonia	ORPHANET	SNOMEDCT	229637006	3	0.7071067811865475	0.5202200572599404
D017496	Hypopigmentation	ORPHANET	ORPHANET	3214	2	0.5	0.5
D038901	Mental Retardation, X-Linked	ORPHANET	OMIM	300372	4	0.8660254037844387	0.5580127018922194
D018902	Chondrodysplasia Punctata, Rhizomelic	ORPHANET	ORPHANET	468717	4	0.8660254037844387	0.5580127018922194
D007593	Joint Instability	ORPHANET	SNOMEDCT	298203008	2	0.5	0.5
D006332	Cardiomegaly	ORPHANET	SNOMEDCT	443762000	3	0.7071067811865475	0.5202200572599404
D003704	Dementia	ORPHANET	SNOMEDCT	12348006	3	0.7071067811865475	0.5202200572599404
D005334	Fever	ORPHANET	SNOMEDCT	271751000	3	0.7071067811865475	0.5202200572599404
D020236	Amnesia, Transient Global	ORPHANET	ICD10CM	G45.4	3	1.0	0.6666666666666666
D000783	Aneurysm	ORPHANET	SNOMEDCT	195292009	2	0.7071067811865475	0.6035533905932737
D015823	Acanthamoeba Keratitis	ORPHANET	ORPHANET	67043	1	1.0	1.0
D019462	Syncope, Vasovagal	ORPHANET	SNOMEDCT	234166002	3	0.8164965809277261	0.5749149571305298
D016460	Granuloma Annulare	ORPHANET	SNOMEDCT	402364005	4	0.8164965809277261	0.5332482904638631
D011185	Postpericardiotomy Syndrome	ORPHANET	SNOMEDCT	58600007	3	0.7071067811865475	0.5202200572599404
D015419	Spastic Paraplegia, Hereditary	ORPHANET	SNOMEDCT	230260007	4	0.8660254037844387	0.5580127018922194
D000073839	Trisomy 13 Syndrome	ORPHANET	ORPHANET	3378	2	1.0	0.75
D009091	Mucormycosis	ORPHANET	ORPHANET	73263	1	0.0	0.5
D013966	Thyroiditis	ORPHANET	ICD10CM	E06	4	1.0	0.625
D055732	Pulmonary Aspergillosis	ORPHANET	SNOMEDCT	6042001	2	0.5	0.5
D053158	Nocturia	ORPHANET	SNOMEDCT	139394000	3	1.0	0.6666666666666666
D013610	Tachycardia	ORPHANET	ICD10CM	R00.0	3	0.7071067811865475	0.5202200572599404
D005834	Genital Neoplasms, Male	ORPHANET	SNOMEDCT	126895004	2	0.5773502691896258	0.5386751345948129
D007966	Leukodystrophy, Metachromatic	ORPHANET	ORPHANET	512	4	1.0	0.625
D011030	Pneumothorax	ORPHANET	SNOMEDCT	84437006	3	0.7071067811865475	0.5202200572599404
D018761	Multiple Endocrine Neoplasia Type 1	ORPHANET	ICD10CM	E31.21	3	0.6708203932499369	0.5020768632916351
D013275	Stomach Rupture	ORPHANET	SNOMEDCT	50598000	2	1.0	0.75
D015472	Leukemia, Eosinophilic, Acute	ORPHANET	SNOMEDCT	277604002	2	0.6666666666666666	0.5833333333333333
D000026	Abortion, Habitual	ORPHANET	SNOMEDCT	102878001	2	0.5	0.5
D000074270	Meconium Ileus	ORPHANET	SNOMEDCT	722841004	3	0.8164965809277261	0.5749149571305298
D011274	Pregnancy, Tubal	ORPHANET	SNOMEDCT	198620003	4	0.8164965809277261	0.5332482904638631
D001251	Astigmatism	ORPHANET	SNOMEDCT	82649003	2	1.0	0.75
D000071960	Breast Carcinoma In Situ	ORPHANET	ICD10CM	D05.9	4	0.8660254037844387	0.5580127018922194
D011023	Pneumonia, Staphylococcal	ORPHANET	ICD10CM	J15.2	2	0.5	0.5
D005414	Flatulence	ORPHANET	SNOMEDCT	162076009	2	1.0	0.75
D000070603	Coxa Magna	ORPHANET	ICD10CM	M91.4	2	1.0	0.75
D014096	Tooth, Supernumerary	ORPHANET	SNOMEDCT	2281000124105	3	0.8164965809277261	0.5749149571305298
D000430	Alcohol Withdrawal Delirium	ORPHANET	SNOMEDCT	191476005	2	0.6666666666666666	0.5833333333333333
D007160	Immunoproliferative Disorders	ORPHANET	SNOMEDCT	127071007	2	0.7071067811865475	0.6035533905932737
D061205	Vascular Calcification	ORPHANET	SNOMEDCT	234199000	4	0.8164965809277261	0.5332482904638631
D012178	Retinopathy of Prematurity	ORPHANET	ORPHANET	90050	4	1.0	0.625
D014693	Ventricular Fibrillation	ORPHANET	SNOMEDCT	195083004	3	0.8164965809277261	0.5749149571305298
D012448	Sadism	ORPHANET	ICD10CM	F65.52	3	0.7071067811865475	0.5202200572599404
D013120	Spinal Cord Neoplasms	ORPHANET	SNOMEDCT	126962006	2	0.6666666666666666	0.5833333333333333
D020426	Sciatic Neuropathy	ORPHANET	SNOMEDCT	291921000119100	4	0.8164965809277261	0.5332482904638631
D017241	MELAS Syndrome	ORPHANET	ORPHANET	550	4	1.0	0.625
D031300	Retinal Vasculitis	ORPHANET	SNOMEDCT	193367006	2	0.8164965809277261	0.6582482904638631
D020955	Striatonigral Degeneration	ORPHANET	OMIM	500003	3	0.7071067811865475	0.5202200572599404
D005271	Femur Head Necrosis	ORPHANET	OMIM	608805	2	0.5773502691896258	0.5386751345948129
D014946	Wound Infection	ORPHANET	SNOMEDCT	76844004	2	0.5	0.5
D002114	Calcinosis	ORPHANET	SNOMEDCT	6595006	2	1.0	0.75
D005166	Factor V Deficiency	ORPHANET	OMIM	227300	4	0.7745966692414834	0.5122983346207417
D020936	Epilepsy, Benign Neonatal	ORPHANET	ORPHANET	1949	4	0.8660254037844387	0.5580127018922194
D011906	Rat-Bite Fever	ORPHANET	ORPHANET	99905	3	0.8164965809277261	0.5749149571305298
D010026	Osteosclerosis	ORPHANET	OMIM	126250	3	0.7071067811865475	0.5202200572599404
D011906	Rat-Bite Fever	ORPHANET	ORPHANET	99903	4	0.8164965809277261	0.5332482904638631
D006391	Hemangioma	ORPHANET	SNOMEDCT	33929001	2	0.7071067811865475	0.6035533905932737
D008591	Meningomyelocele	ORPHANET	SNOMEDCT	203988006	2	0.7071067811865475	0.6035533905932737
D004697	Endocarditis, Bacterial	ORPHANET	SNOMEDCT	111286002	4	0.8164965809277261	0.5332482904638631
D053206	Nocturnal Enuresis	ORPHANET	SNOMEDCT	111478000	4	0.8164965809277261	0.5332482904638631
D001025	Aortitis	ORPHANET	SNOMEDCT	70933002	2	1.0	0.75
D011535	Prune Belly Syndrome	ORPHANET	ORPHANET	2970	2	1.0	0.75
D007039	Hypotrichosis	ORPHANET	OMIM	607903	3	0.7071067811865475	0.5202200572599404
D005953	Glycogen Storage Disease Type I	ORPHANET	ORPHANET	79201	4	0.8164965809277261	0.5332482904638631
D008108	Liver Diseases, Alcoholic	ORPHANET	SNOMEDCT	713181003	3	0.6666666666666666	0.5
D002908	Chronic Disease	ORPHANET	SNOMEDCT	27624003	2	1.0	0.75
D008850	Microphthalmos	ORPHANET	SNOMEDCT	204107005	2	0.5773502691896258	0.5386751345948129
D000071960	Breast Carcinoma In Situ	ORPHANET	SNOMEDCT	92652009	4	0.8660254037844387	0.5580127018922194
D002547	Cerebral Palsy	ORPHANET	SNOMEDCT	702321005	4	0.8164965809277261	0.5332482904638631
D012593	Sclerema Neonatorum	ORPHANET	ICD10CM	P83.0	2	1.0	0.75
D010698	Phobic Disorders	ORPHANET	ICD10CM	F40.8	3	0.7071067811865475	0.5202200572599404
D000690	Amyotrophic Lateral Sclerosis	ORPHANET	ORPHANET	357043	4	0.8660254037844387	0.5580127018922194
D007516	Adenoma, Islet Cell	ORPHANET	SNOMEDCT	274944000	3	0.6666666666666666	0.5
D006362	Heavy Chain Disease	ORPHANET	SNOMEDCT	61493004	4	0.8164965809277261	0.5332482904638631
D019962	Reactive Attachment Disorder	ORPHANET	SNOMEDCT	7291006	4	0.8164965809277261	0.5332482904638631
D008607	Intellectual Disability	ORPHANET	ORPHANET	3080	4	0.8164965809277261	0.5332482904638631
D008218	Lymphocytosis	ORPHANET	SNOMEDCT	67023009	2	1.0	0.75
D018331	Nevus, Spindle Cell	ORPHANET	SNOMEDCT	254811006	4	0.8660254037844387	0.5580127018922194
D002481	Cellulitis	ORPHANET	SNOMEDCT	200693005	2	0.7071067811865475	0.6035533905932737
D043604	Glomus Tympanicum Tumor	ORPHANET	SNOMEDCT	253031000	2	1.0	0.75
D000070676	Enthesopathy	ORPHANET	SNOMEDCT	23680005	3	1.0	0.6666666666666666
D014141	Trachoma	ORPHANET	SNOMEDCT	186672003	2	0.7071067811865475	0.6035533905932737
D020388	Muscular Dystrophy, Duchenne	ORPHANET	ORPHANET	206644	3	0.6666666666666666	0.5
D020757	Amaurosis Fugax	ORPHANET	SNOMEDCT	12237911000119109	3	0.7071067811865475	0.5202200572599404
D020209	Cranial Nerve Injuries	ORPHANET	SNOMEDCT	17769000	2	0.6666666666666666	0.5833333333333333
D003409	Congenital Hypothyroidism	ORPHANET	SNOMEDCT	278503003	3	0.7071067811865475	0.5202200572599404
D001206	Ascorbic Acid Deficiency	ORPHANET	SNOMEDCT	109859000	3	0.8660254037844387	0.599679368558886
D013613	Tachycardia, Ectopic Junctional	ORPHANET	SNOMEDCT	251155001	2	0.7745966692414834	0.6372983346207417
D055371	Acute Lung Injury	ORPHANET	SNOMEDCT	233811008	4	0.8660254037844387	0.5580127018922194
D014849	Waardenburg Syndrome	ORPHANET	ORPHANET	896	3	0.7071067811865475	0.5202200572599404
D010236	Paraganglioma, Extra-Adrenal	ORPHANET	SNOMEDCT	302834008	2	1.0	0.75
D020277	Polyradiculoneuropathy, Chronic Inflammatory Demyelinating	ORPHANET	SNOMEDCT	716723000	4	0.75	0.5
D000072281	Lymphadenopathy	ORPHANET	SNOMEDCT	445718006	3	0.7071067811865475	0.5202200572599404
D038901	Mental Retardation, X-Linked	ORPHANET	OMIM	300355	4	0.8660254037844387	0.5580127018922194
D003409	Congenital Hypothyroidism	ORPHANET	SNOMEDCT	722938007	4	0.8164965809277261	0.5332482904638631
D038901	Mental Retardation, X-Linked	ORPHANET	OMIM	300354	3	0.7745966692414834	0.5539650012874083
D020069	Shoulder Pain	ORPHANET	SNOMEDCT	162039006	3	0.7071067811865475	0.5202200572599404
D009182	Mycosis Fungoides	ORPHANET	ORPHANET	2584	3	0.8164965809277261	0.5749149571305298
D017699	Pelvic Pain	ORPHANET	SNOMEDCT	162147009	4	0.8164965809277261	0.5332482904638631
D000022	Abortion, Spontaneous	ORPHANET	SNOMEDCT	609525000	2	0.5	0.5
D011475	Prosthesis Failure	ORPHANET	SNOMEDCT	213081005	2	0.5	0.5
D002252	Carbon Tetrachloride Poisoning	ORPHANET	ICD10CM	T53.0	2	0.5773502691896258	0.5386751345948129
D011024	Pneumonia, Viral	ORPHANET	SNOMEDCT	195883000	2	0.8164965809277261	0.6582482904638631
D006475	Vitamin K Deficiency Bleeding	ORPHANET	SNOMEDCT	386074004	3	0.7071067811865475	0.5202200572599404
D065635	Benign Paroxysmal Positional Vertigo	ORPHANET	SNOMEDCT	111541001	4	0.8944271909999159	0.5722135954999579
D003294	Seizures, Febrile	ORPHANET	OMIM	612637	3	0.7071067811865475	0.5202200572599404
D002637	Chest Pain	ORPHANET	SNOMEDCT	34791000119103	3	0.8164965809277261	0.5749149571305298
D001282	Atrial Flutter	ORPHANET	SNOMEDCT	195080001	4	0.8164965809277261	0.5332482904638631
D017600	Neuroectodermal Tumor, Melanotic	ORPHANET	SNOMEDCT	1513001	2	1.0	0.75
D004826	Epiglottitis	ORPHANET	SNOMEDCT	195701009	2	0.5773502691896258	0.5386751345948129
D006073	Gout	ORPHANET	ICD10CM	M10.9	3	0.7071067811865475	0.5202200572599404
D006333	Heart Failure	ORPHANET	SNOMEDCT	42343007	2	0.7071067811865475	0.6035533905932737
D010035	Otitis Media, Suppurative	ORPHANET	SNOMEDCT	194284006	4	0.7745966692414834	0.5122983346207417
D014813	Vitamin K Deficiency	ORPHANET	SNOMEDCT	1286003	4	0.7745966692414834	0.5122983346207417
D020230	Serotonin Syndrome	ORPHANET	ORPHANET	43116	1	1.0	1.0
D014717	Vertigo	ORPHANET	SNOMEDCT	194362009	2	0.5	0.5
D000749	Anemia, Megaloblastic	ORPHANET	ORPHANET	49827	4	0.8164965809277261	0.5332482904638631
D038901	Mental Retardation, X-Linked	ORPHANET	OMIM	300324	4	0.8660254037844387	0.5580127018922194
D056728	von Willebrand Disease, Type 2	ORPHANET	ORPHANET	903	4	0.8164965809277261	0.5332482904638631
D001449	Balkan Nephropathy	ORPHANET	SNOMEDCT	26121002	2	1.0	0.75
D015431	Weight Loss	ORPHANET	SNOMEDCT	422868009	4	0.8164965809277261	0.5332482904638631
D003550	Cystic Fibrosis	ORPHANET	SNOMEDCT	762270003	4	0.8164965809277261	0.5332482904638631
D006335	Heart Injuries	ORPHANET	ICD10CM	S26	2	0.5	0.5
D020370	Osteoarthritis, Knee	ORPHANET	ICD10CM	M17	2	1.0	0.75
D015209	Cholangitis, Sclerosing	ORPHANET	OMIM	613806	4	0.8164965809277261	0.5332482904638631
D017880	Limb Deformities, Congenital	ORPHANET	ORPHANET	294944	2	0.6666666666666666	0.5833333333333333
D007640	Keratoconus	ORPHANET	OMIM	609271	3	0.7071067811865475	0.5202200572599404
D004393	Dwarfism, Pituitary	ORPHANET	SNOMEDCT	38196001	4	0.8164965809277261	0.5332482904638631
D009443	Neuritis	ORPHANET	SNOMEDCT	84299009	4	1.0	0.625
D031368	Zoster Sine Herpete	ORPHANET	SNOMEDCT	449783002	2	1.0	0.75
D056989	Inferior Wall Myocardial Infarction	ORPHANET	SNOMEDCT	311793000	4	0.8164965809277261	0.5332482904638631
D008945	Mitral Valve Prolapse	ORPHANET	OMIM	610840	3	0.7745966692414834	0.5539650012874083
D001264	Athetosis	ORPHANET	SNOMEDCT	44913001	4	1.0	0.625
D017681	Hypereosinophilic Syndrome	ORPHANET	OMIM	607685	2	0.5	0.5
D011015	Pneumonia, Aspiration	ORPHANET	SNOMEDCT	430969000	4	0.8164965809277261	0.5332482904638631
D005084	Exhibitionism	ORPHANET	ICD10CM	F65.2	3	1.0	0.6666666666666666
D009134	Muscular Atrophy, Spinal	ORPHANET	OMIM	181405	4	0.8660254037844387	0.5580127018922194
D019522	Vaginal Discharge	ORPHANET	SNOMEDCT	289554001	4	0.8164965809277261	0.5332482904638631
D009759	Nystagmus, Pathologic	ORPHANET	SNOMEDCT	194172000	2	0.5	0.5
D047688	Breast Cyst	ORPHANET	SNOMEDCT	399253005	4	0.8164965809277261	0.5332482904638631
D044483	Intestinal Polyposis	ORPHANET	SNOMEDCT	76304001	2	0.5	0.5
D008375	Maple Syrup Urine Disease	ORPHANET	SNOMEDCT	23156007	4	0.8660254037844387	0.5580127018922194
D008048	Lip Neoplasms	ORPHANET	SNOMEDCT	363348004	2	0.5	0.5
D056150	Acute Generalized Exanthematous Pustulosis	ORPHANET	ORPHANET	293173	2	1.0	0.75
D008551	Melena	ORPHANET	ICD10CM	K92.1	2	1.0	0.75
D011657	Pulmonary Eosinophilia	ORPHANET	SNOMEDCT	233692000	4	0.8164965809277261	0.5332482904638631
D010146	Pain	ORPHANET	ICD10CM	R10.13	3	0.7071067811865475	0.5202200572599404
D020852	Lyme Neuroborreliosis	ORPHANET	SNOMEDCT	715507005	4	1.0	0.625
D004427	Ear Diseases	ORPHANET	SNOMEDCT	194410006	2	0.5	0.5
D019106	Postoperative Hemorrhage	ORPHANET	SNOMEDCT	110265006	2	0.5	0.5
D009494	Neurosyphilis	ORPHANET	SNOMEDCT	186839001	2	0.5773502691896258	0.5386751345948129
D008010	Lichen Planus	ORPHANET	SNOMEDCT	237112004	4	0.8164965809277261	0.5332482904638631
D008103	Liver Cirrhosis	ORPHANET	SNOMEDCT	197279005	4	0.8164965809277261	0.5332482904638631
D014901	West Nile Fever	ORPHANET	SNOMEDCT	12381007	2	0.8660254037844387	0.6830127018922194
D002293	Adenocarcinoma, Scirrhous	ORPHANET	SNOMEDCT	4584002	2	1.0	0.75
D047688	Breast Cyst	ORPHANET	ICD10CM	N60.09	3	0.7071067811865475	0.5202200572599404
D008607	Intellectual Disability	ORPHANET	ORPHANET	3079	4	0.8164965809277261	0.5332482904638631
D041781	Jaundice, Obstructive	ORPHANET	SNOMEDCT	59848001	2	0.5	0.5
D000141	Acidosis, Renal Tubular	ORPHANET	ORPHANET	47159	4	0.8660254037844387	0.5580127018922194
